sampleID	COG0012	COG0016	COG0018	COG0172	COG0215	COG0495	COG0525	COG0533	COG0541	COG0552
S0001	2338.71008506367	2134.0908849296006	2122.4981910578326	2247.657536590452	1824.497763453432	1969.4987359329348	1738.5596631133178	1942.720059668868	1755.2165702863622	1654.5749438902421
S0002	6480.131730350932	6598.497023695509	5682.199323168933	5681.185805307958	5579.551167931204	5343.207477002712	5340.803899136293	5708.703503339797	5568.741670612079	5502.655789059262
S0003	7357.861368778334	7594.139477043768	7168.7133623524805	7127.8797384253985	7895.696708924489	7368.637479813483	6799.984011405918	7344.760892829116	6640.1629340707295	6196.350649194057
S0004	7745.5853649133915	7224.6650098850405	7302.579647197943	6851.286768417682	7142.56489847604	7699.8392613173955	6234.5746944215825	6895.991425916838	6631.24394016246	6929.915772518647
S0005	8553.580140314189	7438.019862284336	8508.877559408316	7427.807164755305	7744.2186349881995	8361.411420961145	6914.833956606128	7205.446926166366	6683.7521526970695	6919.988128718226
S0006	5687.382412462492	5809.128885441251	4826.175882044091	5184.572495879872	4834.624341751521	5224.074115820765	4746.667587095125	4999.261737181945	4901.563730582376	4840.796823527035
S0008	3664.6233225410833	3438.739226854315	4096.335881351868	3333.708724744776	3506.6489962756923	3318.9349411752696	3523.451055979397	3306.1363647757535	3467.1621439866976	2943.70230461566
S0009	6536.713895391626	5974.623686593541	6210.626244999809	5763.133430773475	6124.799145327499	5514.280517246595	5686.492216667119	5864.7035841060815	5643.726145673044	5424.367561350243
S0010	6616.667921709832	6614.33855892406	6210.3538922440575	6149.99623314834	5753.74036783018	5950.001658189334	6035.069299620372	5300.4315351183495	5386.625328889421	5118.924131528861
S0011	8950.769187001306	8533.352590074355	8740.370464258156	7940.213022413401	8289.292665241577	7668.948120860966	7865.316366452519	7966.375020294232	7911.789807166649	7529.5464639455295
S0012	7799.031625548627	7443.331897283045	7478.805602456488	6928.1475493728485	7124.608248824242	7147.590645953713	6388.770077084097	6280.055360130377	6918.017815472291	7090.506629964845
S0013	8307.145188629756	7658.225635032631	7982.78211002508	7793.394033901246	8140.10072461596	8195.905196776748	7778.501213999043	7615.181697796417	6513.024635074773	7022.845848286114
S0015	7919.899425699094	7520.3814830816045	8089.908601269258	7038.916537195382	7170.536845727492	6628.897579457005	6801.42367006429	7121.101232201404	6538.04322785648	6675.307505074918
S0016	7539.632883567765	7240.163671406131	7618.382496025012	6706.865370878098	6799.144152367494	6924.197968758437	6228.138651584181	6284.23419287822	6732.126338388486	5763.893230538325
S0017	6153.968793885875	5269.823028100576	5555.779780590075	5434.285086941614	5141.829532663054	4563.780479549817	4999.982327281324	5036.988958919472	5013.18083850064	4604.734359849268
S0018	5299.538255436808	5481.808290738577	5007.170288880689	5011.50279118752	5149.564343656777	5030.33446133743	5102.127209693492	4356.696214128498	4375.268117735121	4534.7921965224205
S0019	6040.772146075463	6463.548317644295	5979.017456407222	5897.761000728316	6127.5628500857	5904.715874930141	6466.448532956578	6060.426225526146	5642.425260978566	5809.1045778762
S0020	3772.653354070449	4173.899010592685	3823.5944505596867	3632.26688727422	3928.636695535872	3540.3129710044	3402.2580052372195	3771.868598308428	3700.7697162311324	3456.515177180484
S0021	4335.357648026003	4171.386360240033	4220.624213461926	4170.647375714264	3890.2981403307995	3747.894259128082	3643.7914849588014	3479.382736924674	3945.6931294054616	3449.4218024802376
S0022	4014.9560993689715	4116.759427780533	4091.6727691173833	3806.9408111797993	3765.5299730572106	3664.0042083553913	3773.166233380574	3426.383388710543	3656.1139199857644	3051.047612408156
S0023	5366.333294905349	4935.844599759036	5032.452003685263	4753.3101365158245	4931.943578708525	4539.670178121392	4432.694169003572	4951.96628045207	4109.466650688145	4478.838808629291
S0024	5079.036495521166	4661.387981180013	4631.775620543435	4241.191771966042	4436.172800792247	3622.3934077639788	4586.870655897095	3743.821430628138	4155.398652163577	3850.16291608165
S0025	6092.978788458281	5608.189828884637	5375.633053075636	5299.40196550106	5640.8297827811675	4975.719447009223	5027.475678812504	4737.44424391314	5020.0662627128995	4704.500989324855
S0026	5450.01831645741	5597.242279652473	4617.39600865769	4971.188040740287	4872.822170346583	4721.201571818071	4761.20717491049	4653.229750433403	4830.931870004182	5122.2274265976685
S0027	7908.774420027647	7711.036013982073	7108.43272259562	7994.863240724725	7280.380221605145	6726.972515355063	7445.254920788193	7125.620208393511	6636.126133040765	6866.056710287478
S0028	4088.9477761780886	3976.668297988662	3819.8224716593836	3625.174071306092	3546.4518037284156	3693.682097891544	3638.90360951654	3494.280707093264	3564.027713962508	3482.774656783988
S0029	8355.108102662656	9072.668451894211	8312.676372593496	8056.421845182591	7692.909992922701	7993.873533780249	6919.461268007776	7354.731283776397	7560.458303678597	6682.356753531471
S0030	6679.146053957642	6728.560562973352	6565.446323238336	6749.470636348616	6544.728614253565	6486.596809478542	6388.975505529654	5809.070141350119	5544.437523008405	5519.342546035041
S0031	9679.014521548099	9637.0041970649	8838.59818436548	8962.078211121858	9529.44084391578	8175.062619293241	8184.313081702028	8196.675515792593	8731.438636465122	7856.2122771716495
