sampleID	lat	lon	depth	section	nitrate_dissolved_umol.kg	nitrite_dissolved_umol.kg	oxygen_dissolved_umol.kg	phosphate_dissolved_umol.kg	salinity_dissolved_PSS.1978	silicate_dissolved_umol.kg	temperature_dissolved_deg.c	chla_norm	dcm.layer	dcm.max	hdb_cl	replicate	LongCode	LongWind	LongDesc	synDarwin_umolC.kg	proDarwin_umolC.kg	nitrateDarwin_dissolved_umol.kg	nitriteDarwin_dissolved_umol.kg	phosphateDarwin_dissolved_umol.kg	DOPDarwin_dissolved_umol.kg	DOFe_darwin_clim	POFe_darwin_clim	ironDarwin_dissolved_nmol.kg	DOironDarwin_dissolved_nmol.kg	POironDarwin_dissolved_nmol.kg	ocean	pro_HLI	pro_HLII	pro_HLIII_HLIV	pro_LLI	pro_LLII_LLIII	pro_LLIV	pro_LLVII	pro	pro_LLVIIa	pro_LLVIIb	pro_LLVIIc	pro_LLVIId	pro_LLVIIe	pro_LLVIIf	pel_Ia	pel_Ib	pel_Ic	pel_IIa	pel_IIb	pel_IIIa	pel_IIIb	pel_IV	pel_V	sar11	bacteria	archaea	eukaryotes	viruses
S0001	49.7225	-42.4467	10	GA02	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	A	NADR	Westerlies	N. Atlantic Drift Province (WWDR)	0.103961044125	0.13140639666666667	11.385629983333333	0.26993824499999997	0.4438221875	0.125611067	1.3043284933333333e-4	2.7255431216666666e-6	0.7755153316666666	0.13043284933333332	0.0027255431216666667	atlantic_north	0.03624557260920897	0.09622195985832349	0.005194805194805195	0.07532467532467532	0.045454545454545456	0.3720188902007084	0.22927981109799292	0.0024019592273801797	0.16426364572605562	0.16735324407826982	0.3336766220391349	0.1282183316168898	0.09268795056642637	0.016992790937178166	0.7614146655482512	0.03420790823791038	0.005735130601018278	0.04826092893509939	0.009663890135185222	0.012332481516883521	0.0010143768409964303	0.03833174024149972	0.021079531045783508	0.07268691609987613	0.8050488218772829	0.03307727559405244	0.13968002613513134	0.0069583085669690055
S0002	49.7225	-42.4467	50	GA02	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	A	NADR	Westerlies	N. Atlantic Drift Province (WWDR)	0.04160887083333333	0.053029102	13.260764625	0.36627111166666665	0.5254259425	0.08176925358333333	8.321415416666666e-5	3.8694782983333335e-6	0.8574507658333334	0.08321415416666667	0.0038694782983333337	atlantic_north	0.0624107517849643	0.16421671566568669	0.013187736245275094	0.0986980260394792	0.10835783284334313	0.2658546829063419	0.16598068038639227	0.0012395283024761413	0.18775303643724697	0.17661943319838055	0.3097165991902834	0.12550607287449392	0.09564777327935223	0.013157894736842105	0.7781273916532656	0.03416636456309627	0.005353430192385751	0.04537130852675708	0.008291581070655054	0.007630051713934256	0.0010256028902790818	0.03067435713909468	0.029120460312886343	0.1344113047480025	0.8385566705468085	0.06520887171168395	0.0802246039860648	0.004641385356386512
S0003	49.7225	-42.4467	75	GA02	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	A	NADR	Westerlies	N. Atlantic Drift Province (WWDR)	0.011834099108333333	0.016010128575	15.638730708333334	0.178709045	0.6228820375	0.043214605749999996	4.343105366666667e-5	3.948399704166666e-6	0.9311333658333334	0.04343105366666667	0.003948399704166666	atlantic_north	0.07517084282460136	0.22465831435079728	0.01224373576309795	0.11190205011389522	0.13942672741078208	0.1984624145785877	0.14578587699316628	9.992365362455602e-4	0.19270833333333334	0.13932291666666666	0.3131510416666667	0.15559895833333334	0.08854166666666667	0.009765625	0.7739333911696853	0.03608726846035159	0.005867585074582743	0.04922665672154298	0.009013715856749286	0.006788570233077466	0.0010159262211296735	0.02883820564802676	0.0320355022723319	0.16682261559837064	0.8723030524324145	0.06452207643173163	0.049730511520715476	0.0036601685310672844
S0004	49.7225	-42.4467	101	GA02	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	A	NADR	Westerlies	N. Atlantic Drift Province (WWDR)	0.006274929516666666	0.008830797891666667	16.684749	0.10543759625	0.6951330716666667	0.030351013333333333	3.048208125e-5	3.903111955833333e-6	0.9579356575	0.03048208125	0.0039031119558333334	atlantic_north	0.11551781923807396	0.3347112054519048	0.021226678583398502	0.13160540721707073	0.08803485644062116	0.11797564517930957	0.11853424198413585	8.071345245548429e-4	0.2629594721960415	0.13195098963242224	0.294062205466541	0.10084825636192271	0.10461828463713478	0.007540056550424128	0.7081951045691528	0.05728564718416444	0.012321181439762734	0.0696629779667819	0.021017850811915897	0.007071937746215768	0.001200372169362255	0.019788324176071383	0.04203390196540697	0.2505268556857717	0.8313000474578148	0.14716791905823065	0.00673120075845938	0.0037465794169063977
S0005	49.7225	-42.4467	152	GA02	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	A	NADR	Westerlies	N. Atlantic Drift Province (WWDR)	0.001468454355	0.0021867933616666665	18.142326916666665	0.04249002441666667	0.9001426766666667	0.01548268375	1.5614697291666668e-5	3.7728764566666667e-6	0.9892909883333333	0.015614697291666667	0.003772876456666667	atlantic_north	0.1157092614302462	0.29976553341148887	0.027080890973036342	0.13634232121922626	0.0873388042203986	0.15545134818288395	0.11582649472450175	7.735401040189263e-4	0.2834008097165992	0.13663967611336034	0.2773279352226721	0.10323886639676114	0.08097165991902834	0.011133603238866396	0.6085277242185217	0.08567268477943324	0.03530096406660824	0.08863756938358165	0.05186795208881098	0.00782191060473269	0.0014074203914694711	0.012437277242185218	0.04314437627811861	0.194008483005333	0.8002733054121327	0.17778155227462505	0.007102966258779182	0.003069403505360914
S0006	49.7225	-42.4467	199	GA02	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	A	NADR	Westerlies	N. Atlantic Drift Province (WWDR)	0	5.830453133333334e-5	18.855377166666667	0.012048677166666667	1.0461182083333334	0.005312666383333334	5.515819341666666e-6	3.4191538908333335e-6	1.0116462333333334	0.005515819341666666	0.0034191538908333336	atlantic_north	0.11452466291175968	0.2751322751322751	0.02457757296466974	0.14507595152756442	0.09353131933777095	0.13039767878477557	0.14763611537805085	7.526620651382192e-4	0.29132947976878615	0.12485549132947976	0.25549132947976877	0.08554913294797688	0.10982658959537572	0.012716763005780347	0.4420043593600616	0.12877569199946487	0.10709554372901486	0.07775551690720371	0.11309945279589646	0.009083359709201969	0.0021168673951844734	0.008156669396705028	0.038627323659643616	0.15747812603974373	0.774201637383629	0.20154424828213457	0.007778407244259972	0.0015472029207244775
S0008	46.312	-39.658	10	GA02	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	A	NADR	Westerlies	N. Atlantic Drift Province (WWDR)	0.12491879966666666	0.152757239	12.88171475	0.27695089916666665	0.26839431375	0.1204155925	1.2950031825e-4	3.610965796666667e-6	0.77144051	0.12950031825	0.003610965796666667	atlantic_north	0.08153723343596761	0.1902155319876839	0.010605542251111872	0.09180066142091459	0.07344052913673167	0.22636560611244155	0.18177671342228305	0.0014432455892462814	0.18381430363864493	0.16373902132998747	0.3099121706398996	0.15119196988707653	0.0821831869510665	0.01756587202007528	0.7539573939460454	0.05430719044294324	0.004894348848450318	0.04355526808001887	0.00889552573386044	0.004559263419179029	7.764174580676196e-4	0.02602924933858573	0.036858229674792	0.14096669639619816	0.7655847564035485	0.04017305121933597	0.17792820112414826	0.005206810065160835
S0009	46.312	-39.658	49	GA02	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	A	NADR	Westerlies	N. Atlantic Drift Province (WWDR)	0.05084486541666667	0.06188491175	15.114292625000001	0.3727329175	0.34600983	0.07035845341666667	7.409102025e-5	5.143417005e-6	0.865137845	0.07409102025	0.005143417005	atlantic_north	0.110403704239618	0.3646360873969035	0.018955288670235857	0.10432643611633627	0.07958327304297497	0.13919837939516713	0.11170597598032123	8.132725706968161e-4	0.2616580310880829	0.13212435233160622	0.3329015544041451	0.10362694300518134	0.09196891191709844	0.006476683937823834	0.6815667363593444	0.09498280164564646	0.008862210831591017	0.06655763134821609	0.017750725028663924	0.0032858973494300937	6.926552910231335e-4	0.016058541849328926	0.03903284548458893	0.17448115186979732	0.7943179419155576	0.13456560230065173	0.053775780599277505	0.0035555227103217482
S0010	46.312	-39.658	73	GA02	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	A	NADR	Westerlies	N. Atlantic Drift Province (WWDR)	0.013805294341666666	0.0172221262	17.53849175	0.1803976055	0.4320154475	0.030767361333333333	3.2051814833333337e-5	5.118036405e-6	0.9479155216666667	0.03205181483333334	0.005118036405	atlantic_north	0.10524861878453039	0.3679558011049724	0.013535911602209945	0.10566298342541436	0.07320441988950276	0.13149171270718232	0.11850828729281768	8.06797064685066e-4	0.23193473193473194	0.11771561771561771	0.3333333333333333	0.12004662004662005	0.09090909090909091	0.011655011655011656	0.6514926748558114	0.10770600485921543	0.010921527933284545	0.07280838517837235	0.022899067719836873	0.003220866169858816	7.732480199027316e-4	0.01523202543553735	0.040869279660635374	0.18561915434295295	0.7891636456351164	0.13921495079652266	0.054966950293723164	0.002432091980214305
S0011	46.312	-39.658	100	GA02	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	A	NADR	Westerlies	N. Atlantic Drift Province (WWDR)	0.007499229111666666	0.009577403276666667	18.3230825	0.10267274691666667	0.482930645	0.020604087583333333	2.1477521416666667e-5	4.98196662e-6	0.972783555	0.021477521416666666	0.00498196662	atlantic_north	0.12305470880795764	0.3942724209850794	0.013957965666613188	0.09529921386170384	0.08864110380234237	0.10460452430611263	0.10372212417776351	9.517615108286349e-4	0.2374323279195669	0.13379737045630316	0.30162412993039445	0.1214230471771075	0.08739365815931942	0.020108275328692964	0.642916193624977	0.11971413521087296	0.012151938264857881	0.0684438736228045	0.02568203636848402	0.003149771042164717	8.43991750790683e-4	0.013805976942824264	0.04096029288828172	0.2474116492219048	0.8308854321471384	0.11950439993101142	0.03392625902068123	0.0031695353249269974
