genome	qseqtax
AG-333-M17	acidimicrobiia
AG-913-K07	acidimicrobiia
AG-333-E10	acidimicrobiia
AG-897-I20	acidimicrobiia
AG-911-L17	alphaproteobacteria
AG-360-N07	alphaproteobacteria
AG-447-M09	alphaproteobacteria
AG-426-M11	chloroflexi
AG-410-A08	chloroflexi
AG-439-E13	cyanobiaceae
AG-319-C06	flavobacteriales
AG-439-O14	flavobacteriales
AG-901-D23	flavobacteriales
AG-390-M22	flavobacteriales
AG-891-M22	flavobacteriales
AG-453-E14	gammaproteobacteria
AG-447-D03	gammaproteobacteria
AG-426-E05	gammaproteobacteria
AG-365-L08	gammaproteobacteria
AG-390-N19	gammaproteobacteria
AG-914-M11	gammaproteobacteria
AG-917-P17	gammaproteobacteria
AG-897-C15	gammaproteobacteria
AG-891-D03	gammaproteobacteria
AG-899-I04	gammaproteobacteria
AG-461-G23	marine group II
AG-430-E19	marinisomatale
AG-430-J15	marinisomatale
AG-457-L04	marinisomatale
AG-457-F09	marinisomatale
AG-390-C07	marinisomatale
AG-426-B21	nisaeaceae
AG-313-A07	nisaeaceae
AG-414-B09	nitrosopelagicus
AG-439-M12	nitrosopelagicus
AG-439-O06	nitrosopelagicus
AG-464-N14	nitrosopelagicus
AG-426-M08	nitrosopelagicus
AG-414-B09	nitrosopelagicus
AG-439-M12	nitrosopelagicus
AG-319-N20	nitrosopumilus
AG-319-O22	nitrosopumilus
AG-907-C04	pelagibacterales
AG-910-M21	pelagibacterales
AG-916-G19	pelagibacterales
AG-360-D04	pelagibacterales
AG-410-L19	pelagibacterales
AG-333-I10	pelagibacterales
AG-464-G19	pelagibacterales
AG-470-O10	pelagibacterales
AG-422-D13	pelagibacterales
AG-390-C19	pelagibacterales
AG-325-A21	pelagibacterales
AG-905-C11	pelagibacterales
AG-337-F16	pelagibacterales
AG-914-L03	pelagibacterales
AG-337-C08	pelagibacterales
AG-414-I15	pelagibacterales
AG-439-B12	pelagibacterales
AG-439-C22	pelagibacterales
AG-896-F06	pelagibacterales
AG-898-K21	pelagibacterales
AG-911-F11	pelagibacterales
AG-912-A22	pelagibacterales
AG-916-F19	pelagibacterales
AG-435-B08	pelagibacterales
AG-461-A07	pelagibacterales
AG-912-J18	pelagibacterales
AG-918-M03	pelagibacterales
AG-426-F14	pelagibacterales
AG-390-I17	pelagibacterales
AG-907-A13	pelagibacterales
AG-453-G11	pelagibacterales
AG-333-A18	pelagibacterales
AG-895-P20	pelagibacterales
AG-313-D18	pelagibacterales
AG-343-D15	pelagibacterales
AG-365-K15	pelagibacterales
AG-891-J07	pelagibacterales
AG-918-D07	pelagibacterales
AG-919-P18	pelagibacterales
AG-910-E13	pelagibacterales
AG-903-P17	pelagibacterales
AG-337-C13	pelagibacterales
AG-390-E21	pelagibacterales
AG-447-O06	pelagibacterales
AG-910-D18	pelagibacterales
AG-911-J21	pelagibacterales
AG-447-M20	pelagibacterales
AG-901-D09	pelagibacterales
AG-907-A11	pelagibacterales
AG-914-D21	pelagibacterales
AG-313-I18	pelagibacterales
AG-912-J06	pelagibacterales
AG-904-I05	pelagibacterales
AG-908-F08	pelagibacterales
AG-917-D14	pelagibacterales
AG-457-I17	pelagibacterales
AG-390-M15	pelagibacterales
AG-918-A19	pelagibacterales
AG-390-G10	pelagibacterales
AG-908-P13	pelagibacterales
AG-414-D07	pelagibacterales
AG-891-C19	pelagibacterales
AG-414-I09	pelagibacterales
AG-464-I13	pelagibacterales
AG-905-D17	pelagibacterales
AG-920-F15	pelagibacterales
AG-913-L07	pelagibacterales
AG-333-P08	pelagibacterales
AG-915-K17	pelagibacterales
AG-464-K18	pelagibacterales
AG-430-N16	pelagibacterales
AG-349-M13	pelagibacterales
AG-313-F20	pelagibacterales
AG-447-J03	pelagibacterales
AG-447-P18	pelagibacterales
AG-333-C20	pelagibacterales
AG-333-M03	pelagibacterales
AG-337-K13	pelagibacterales
AG-343-E17	pelagibacterales
AG-365-F20	pelagibacterales
AG-426-G09	pelagibacterales
AG-426-O10	pelagibacterales
AG-430-B09	pelagibacterales
AG-435-G10	pelagibacterales
AG-439-F03	pelagibacterales
AG-457-M22	pelagibacterales
AG-891-A17	pelagibacterales
AG-905-M18	pelagibacterales
AG-913-I14	pelagibacterales
AG-915-A06	pelagibacterales
AG-916-G19	pelagibacterales
AG-916-I05	pelagibacterales
AG-920-L18	pelagibacterales
AG-313-D09	pelagibacterales
AG-337-G09	pelagibacterales
AG-337-L09	pelagibacterales
AG-359-A22	pelagibacterales
AG-422-B15	pelagibacterales
AG-909-G09	pelagibacterales
AG-892-M13	pelagibacterales
AG-893-O09	pelagibacterales
AG-899-M17	pelagibacterales
AG-905-G23	pelagibacterales
AG-909-O17	pelagibacterales
AG-319-D07	pelagibacterales
AG-325-B13	pelagibacterales
AG-325-F23	pelagibacterales
AG-909-B06	pelagibacterales
AG-909-O11	pelagibacterales
AG-910-N14	pelagibacterales
AG-912-F03	pelagibacterales
AG-912-N10	pelagibacterales
AG-891-F11	pelagibacterales
AG-891-G05	pelagibacterales
AG-891-G06	pelagibacterales
AG-891-G17	pelagibacterales
AG-891-G23	pelagibacterales
AG-917-M08	pelagibacterales
AG-917-M17	pelagibacterales
AG-918-C13	pelagibacterales
AG-918-M13	pelagibacterales
AG-903-I23	pelagibacterales
AG-904-J19	pelagibacterales
AG-904-K09	pelagibacterales
AG-904-O04	pelagibacterales
AG-904-O16	pelagibacterales
AG-414-M07	pelagibacterales
AG-414-N04	pelagibacterales
AG-422-A21	pelagibacterales
AG-422-B23	pelagibacterales
AG-426-I15	pelagibacterales
AG-430-F03	pelagibacterales
AG-430-L07	pelagibacterales
AG-333-F08	pelagibacterales
AG-333-G09	pelagibacterales
AG-333-P13	pelagibacterales
AG-349-C11	pelagibacterales
AG-333-B23	pelagibacterales
AG-333-D07	pelagibacterales
AG-333-D11	pelagibacterales
AG-333-G07	pelagibacterales
AG-447-E19	pelagibacterales
AG-447-E20	pelagibacterales
AG-447-F03	pelagibacterales
AG-447-F10	pelagibacterales
AG-896-K07	pelagibacterales
AG-896-L20	pelagibacterales
AG-896-O18	pelagibacterales
AG-896-P03	pelagibacterales
AG-896-P22	pelagibacterales
AG-897-D09	pelagibacterales
AG-897-E03	pelagibacterales
AG-897-E16	pelagibacterales
AG-897-I08	pelagibacterales
AG-897-O11	pelagibacterales
AG-898-C07	pelagibacterales
AG-898-C14	pelagibacterales
AG-898-F08	pelagibacterales
AG-898-G21	pelagibacterales
AG-920-E15	pelagibacterales
AG-920-G14	pelagibacterales
AG-313-D07	pelagibacterales
AG-904-P13	pelagibacterales
AG-910-O11	pelagibacterales
AG-913-J17	pelagibacterales
AG-913-K15	pelagibacterales
AG-920-L14	pelagibacterales
AG-325-D16	pelagibacterales
AG-439-B06	pelagibacterales
AG-439-E20	pelagibacterales
AG-918-F19	pelagibacterales
AG-905-C06	pelagibacterales
AG-914-A07	pelagibacterales
AG-914-O06	pelagibacterales
AG-915-L04	pelagibacterales
AG-918-C02	pelagibacterales
AG-325-A11	pelagibacterales
AG-325-J17	pelagibacterales
AG-325-K07	pelagibacterales
AG-325-K09	pelagibacterales
AG-333-A04	pelagibacterales
AG-333-C07	pelagibacterales
AG-333-C19	pelagibacterales
AG-333-K06	pelagibacterales
AG-337-C09	pelagibacterales
AG-337-L03	pelagibacterales
AG-349-L23	pelagibacterales
AG-349-M18	pelagibacterales
AG-349-O19	pelagibacterales
AG-359-O11	pelagibacterales
AG-360-E10	pelagibacterales
AG-360-M22	pelagibacterales
AG-390-C17	pelagibacterales
AG-390-F16	pelagibacterales
AG-414-B05	pelagibacterales
AG-414-C09	pelagibacterales
AG-414-J19	pelagibacterales
AG-414-K15	pelagibacterales
AG-414-K20	pelagibacterales
AG-422-J18	pelagibacterales
AG-422-N07	pelagibacterales
AG-422-O14	pelagibacterales
AG-426-F23	pelagibacterales
AG-426-J17	pelagibacterales
AG-426-M19	pelagibacterales
AG-435-J18	pelagibacterales
AG-439-G13	pelagibacterales
AG-439-L09	pelagibacterales
AG-447-E22	pelagibacterales
AG-447-E23	pelagibacterales
AG-447-L02	pelagibacterales
AG-447-N15	pelagibacterales
AG-457-C09	pelagibacterales
AG-457-G23	pelagibacterales
AG-457-N18	pelagibacterales
AG-457-P16	pelagibacterales
AG-470-G21	pelagibacterales
AG-470-O11	pelagibacterales
AG-891-N03	pelagibacterales
AG-892-B11	pelagibacterales
AG-892-I03	pelagibacterales
AG-892-J03	pelagibacterales
AG-893-J08	pelagibacterales
AG-894-A03	pelagibacterales
AG-894-B06	pelagibacterales
AG-894-C14	pelagibacterales
AG-894-C21	pelagibacterales
AG-894-N17	pelagibacterales
AG-896-G14	pelagibacterales
AG-896-K17	pelagibacterales
AG-897-G09	pelagibacterales
AG-897-G15	pelagibacterales
AG-897-I05	pelagibacterales
AG-898-A03	pelagibacterales
AG-898-E17	pelagibacterales
AG-898-J19	pelagibacterales
AG-900-C09	pelagibacterales
AG-900-G16	pelagibacterales
AG-903-B06	pelagibacterales
AG-903-I15	pelagibacterales
AG-903-K07	pelagibacterales
AG-905-O09	pelagibacterales
AG-905-P04	pelagibacterales
AG-908-E18	pelagibacterales
AG-908-I21	pelagibacterales
AG-909-D16	pelagibacterales
AG-911-G10	pelagibacterales
AG-911-M05	pelagibacterales
AG-912-I02	pelagibacterales
AG-913-B14	pelagibacterales
AG-913-D16	pelagibacterales
AG-913-G10	pelagibacterales
AG-913-I22	pelagibacterales
AG-913-N11	pelagibacterales
AG-914-A08	pelagibacterales
AG-914-B04	pelagibacterales
AG-914-G22	pelagibacterales
AG-914-M09	pelagibacterales
AG-915-E06	pelagibacterales
AG-915-F23	pelagibacterales
AG-915-G14	pelagibacterales
AG-915-M18	pelagibacterales
AG-915-N05	pelagibacterales
AG-915-N23	pelagibacterales
AG-915-O08	pelagibacterales
AG-916-E19	pelagibacterales
AG-916-L04	pelagibacterales
AG-916-M06	pelagibacterales
AG-917-C11	pelagibacterales
AG-917-I17	pelagibacterales
AG-917-J04	pelagibacterales
AG-917-K10	pelagibacterales
AG-917-P19	pelagibacterales
AG-918-G22	pelagibacterales
AG-918-K09	pelagibacterales
AG-920-C15	pelagibacterales
AG-920-K11	pelagibacterales
AG-893-O16	pelagibacterales
AG-896-G07	pelagibacterales
AG-908-C17	pelagibacterales
AG-913-A06	pelagibacterales
AG-917-B05	pelagibacterales
AG-899-B09	pelagibacterales
AG-915-C05	pelagibacterales
AG-901-E14	pelagibacterales
AG-333-C20	pelagibacterales
AG-337-C13	pelagibacterales
AG-337-C13	pelagibacterales
AG-337-J09	pelagibacterales
AG-337-J09	pelagibacterales
AG-470-E16	pelagibacterales
AG-470-E16	pelagibacterales
AG-891-J16	pelagibacterales
AG-893-K16	pelagibacterales
AG-893-K16	pelagibacterales
AG-900-I19	pelagibacterales
AG-900-I19	pelagibacterales
AG-907-A11	pelagibacterales
AG-910-M23	pelagibacterales
AG-910-M23	pelagibacterales
AG-914-C06	pelagibacterales
AG-914-C06	pelagibacterales
AG-915-A06	pelagibacterales
AG-917-D14	pelagibacterales
AG-918-M03	pelagibacterales
AG-918-O11	pelagibacterales
AG-918-O11	pelagibacterales
AG-349-C13	prochlorococcus
AG-422-C15	prochlorococcus
AG-422-I06	prochlorococcus
AG-422-M23	prochlorococcus
AG-892-L04	prochlorococcus
AG-892-O21	prochlorococcus
AG-893-G02	prochlorococcus
AG-893-G11	prochlorococcus
AG-893-K05	prochlorococcus
AG-893-K23	prochlorococcus
AG-893-L03	prochlorococcus
AG-893-M02	prochlorococcus
AG-895-C15	prochlorococcus
AG-895-D05	prochlorococcus
AG-895-F05	prochlorococcus
AG-895-M18	prochlorococcus
AG-895-O22	prochlorococcus
AG-898-K08	prochlorococcus
AG-899-E18	prochlorococcus
AG-907-P07	prochlorococcus
AG-912-P07	prochlorococcus
AG-914-N13	prochlorococcus
AG-914-N20	prochlorococcus
AG-915-K06	prochlorococcus
AG-915-K14	prochlorococcus
AG-915-N17	prochlorococcus
AG-917-E11	prochlorococcus
AG-920-M14	prochlorococcus
AG-461-B22	prochlorococcus
AG-349-M17	prochlorococcus
AG-917-I07	prochlorococcus
AG-918-A18	prochlorococcus
AG-918-I04	prochlorococcus
AG-919-E02	prochlorococcus
AG-919-J11	prochlorococcus
AG-919-K04	prochlorococcus
AG-920-A05	prochlorococcus
AG-920-F21	prochlorococcus
AG-359-B02	prochlorococcus
