S0627	S0627_13188	S0627_13188_2
S0420	S0420_7522	S0420_7522_1
S0191	S0191_14299	S0191_14299_1
S0192	S0192_24776	S0192_24776_1
S0422	S0422_14583	S0422_14583_2
S0352.2	S0352.2_25424	S0352.2_25424_1
S0318	S0318_50549	S0318_50549_2
S0149	S0149_6096	S0149_6096_2
S0192	S0192_16989	S0192_16989_2
S0291	S0291_13616	S0291_13616_2
S0540	S0540_21234	S0540_21234_1
S0617	S0617_104305	S0617_104305_1
S0292	S0292_27394	S0292_27394_1
S0318	S0318_50793	S0318_50793_1
S0537	S0537_10125	S0537_10125_4
S0435	S0435_20702	S0435_20702_2
S0306	S0306_29657	S0306_29657_2
S0304	S0304_11925	S0304_11925_2
S0507	S0507_35299	S0507_35299_2
