tree,rf,max_rf,norm_rf,effective_tree_size,ref_edges_in_source,source_edges_in_ref,source_subtrees,group
pepm,1372.0,1926.0,0.7123572170301142,999,0.6407035175879398,0.6599378881987578,1,bacteria
rtree_0,1698.0,1988.0,0.8541247484909457,999,0.5743718592964824,0.5732196589769308,1,bacteria
rtree_1,1730.0,1988.0,0.8702213279678068,999,0.5663316582914573,0.5651955867602808,1,bacteria
rtree_2,1674.0,1988.0,0.8420523138832998,999,0.5804020100502513,0.5792377131394183,1,bacteria
rtree_3,1738.0,1988.0,0.8742454728370221,999,0.564321608040201,0.5631895687061184,1,bacteria
rtree_4,1698.0,1988.0,0.8541247484909457,999,0.5743718592964824,0.5732196589769308,1,bacteria
rtree_5,1718.0,1988.0,0.864185110663984,999,0.5693467336683417,0.5682046138415245,1,bacteria
rtree_6,1710.0,1988.0,0.8601609657947686,999,0.571356783919598,0.5702106318956871,1,bacteria
rtree_7,1700.0,1988.0,0.8551307847082495,999,0.5738693467336683,0.5727181544633901,1,bacteria
rtree_8,1700.0,1988.0,0.8551307847082495,999,0.5738693467336683,0.5727181544633901,1,bacteria
rtree_9,1716.0,1988.0,0.8631790744466801,999,0.5698492462311557,0.5687061183550652,1,bacteria
self,0.0,1984.0,0.0,999,1.0,1.0,1,bacteria
pepm,22.0,26.0,0.8461538461538461,16,0.6071428571428571,0.6071428571428571,1,archaea
rtree_0,20.0,26.0,0.7692307692307693,16,0.6428571428571429,0.6428571428571429,1,archaea
rtree_1,26.0,26.0,1.0,16,0.5357142857142857,0.5357142857142857,1,archaea
rtree_2,20.0,26.0,0.7692307692307693,16,0.6428571428571429,0.6428571428571429,1,archaea
rtree_3,22.0,26.0,0.8461538461538461,16,0.6071428571428571,0.6071428571428571,1,archaea
rtree_4,20.0,26.0,0.7692307692307693,16,0.6428571428571429,0.6428571428571429,1,archaea
rtree_5,22.0,26.0,0.8461538461538461,16,0.6071428571428571,0.6071428571428571,1,archaea
rtree_6,24.0,26.0,0.9230769230769231,16,0.5714285714285714,0.5714285714285714,1,archaea
rtree_7,22.0,26.0,0.8461538461538461,16,0.6071428571428571,0.6071428571428571,1,archaea
rtree_8,22.0,26.0,0.8461538461538461,16,0.6071428571428571,0.6071428571428571,1,archaea
rtree_9,20.0,26.0,0.7692307692307693,16,0.6428571428571429,0.6428571428571429,1,archaea
self,0.0,26.0,0.0,16,1.0,1.0,1,archaea
