AG-313-A02_5_7_2919_3719_F	PF05721.12	88.6	5e-25	88.1	6.8e-25
AG-313-A07_11_39_42966_43772_R	PF05721.12	93.6	1.5e-26	93.2	1.9e-26
AG-313-A07_15_10_9084_9842_R	PF05721.12	114.4	6.4e-33	113.5	1.2e-32
AG-313-A07_15_40_44245_45087_F	PF05721.12	98.9	3.5e-28	98.5	4.6e-28
AG-313-A07_16_25_26275_27156_F	PF05721.12	101.4	5.8e-29	101.1	7.4e-29
AG-313-A07_20_3_2104_2916_R	PF05721.12	95.5	3.8e-27	94.0	1.1e-26
AG-313-A07_25_32_29353_30195_F	PF05721.12	109.0	2.8e-31	107.8	6.3e-31
AG-313-A07_28_6_6282_7430_F	PF05721.12	69.5	3.3e-19	68.9	5.4e-19
AG-313-A07_31_21_19688_20536_R	PF05721.12	99.5	2.2e-28	97.8	7.4e-28
AG-313-A07_35_21_21278_22078_R	PF05721.12	114.0	8.4e-33	113.6	1.1e-32
AG-313-A07_35_5_3131_3919_F	PF05721.12	109.3	2.2e-31	109.0	2.8e-31
AG-313-A07_3_56_54253_55230_R	PF05721.12	67.6	1.3e-18	67.1	1.8e-18
AG-313-A07_37_21_20164_21162_F	PF05721.12	51.7	9.8e-14	48.7	7.9e-13
AG-313-A07_3_95_96574_97431_R	PF05721.12	73.6	1.8e-20	73.2	2.4e-20
AG-313-A07_39_7_8772_9575_R	PF05721.12	107.9	6.2e-31	107.5	8.1e-31
AG-313-A07_4_25_26459_27307_R	PF05721.12	43.6	2.9e-11	43.0	4.3e-11
AG-313-A07_4_26_27625_28467_F	PF05721.12	86.7	1.8e-24	86.5	2.2e-24
AG-313-A07_4_30_31010_31909_R	PF05721.12	95.2	4.7e-27	94.9	5.6e-27
AG-313-A07_4_31_32019_32852_R	PF05721.12	98.4	4.9e-28	97.5	9.2e-28
AG-313-A07_4_39_40184_41083_F	PF05721.12	125.9	1.9e-36	125.5	2.4e-36
AG-313-A07_49_3_921_1775_R	PF05721.12	101.2	6.5e-29	99.3	2.6e-28
AG-313-A07_4_94_105755_106546_F	PF05721.12	79.2	3.7e-22	78.7	5e-22
AG-313-A07_50_2_337_1227_R	PF05721.12	80.8	1.2e-22	80.5	1.5e-22
AG-313-A07_58_13_11535_12377_F	PF05721.12	83.4	1.9e-23	83.0	2.6e-23
AG-313-A07_66_11_10365_11162_R	PF05721.12	109.8	1.6e-31	109.6	1.8e-31
AG-313-A10_3_45_41233_42054_R	PF05721.12	66.6	2.6e-18	66.2	3.6e-18
AG-313-A10_7_32_30882_31670_F	PF05721.12	28.1	1.6e-06	27.5	2.5e-06
AG-313-A13_23_3_1570_2397_F	PF05721.12	98.6	4.2e-28	97.7	7.9e-28
AG-313-A14_4_8_6037_6879_R	PF05721.12	97.1	1.2e-27	96.8	1.5e-27
AG-313-A18_11_9_6321_7052_R	PF05721.12	93.9	1.1e-26	93.2	1.9e-26
AG-313-A22_1_4_1948_2775_R	PF05721.12	97.7	7.7e-28	96.6	1.7e-27
AG-313-B05_10_16_12496_13311_R	PF05721.12	112.0	3.3e-32	111.7	4.1e-32
AG-313-B05_16_20_17491_18474_F	PF05721.12	68.6	6.3e-19	66.9	2.1e-18
AG-313-B05_16_21_18485_19366_F	PF05721.12	88.0	7.3e-25	87.6	9.8e-25
AG-313-B05_2_29_22771_23556_F	PF05721.12	99.4	2.3e-28	99.1	2.9e-28
AG-313-B05_2_31_24915_25805_R	PF05721.12	94.4	8.3e-27	94.0	1.1e-26
