genome	mpns	pepm
AAA795-I06	0	1
AG-319-F18	0	1
AG-325-E08	0	1
AG-337-N21	0	1
AG-345-F21	0	1
AG-345-O09	0	1
AG-347-I06	0	1
AG-347-I22	0	1
AG-363-B05	0	1
AG-363-C20	0	1
AG-365-D07	1	1
AG-390-C22	0	1
AG-402-K10	0	1
AG-409-M05	1	1
AG-410-A08	1	1
AG-410-D23	0	1
AG-418-O03	0	1
AG-418-P13	0	1
AG-422-C23	0	1
AG-426-G09	0	1
AG-430-I06	0	1
AG-430-L02	0	1
AG-436-C13	1	1
AG-436-D21	0	1
AG-447-N18	0	1
AG-469-F22	0	1
AG-670-B23	0	1
AG-670-L08	1	1
AG-670-O11	0	1
AG-676-A21	0	1
ARS1176	1	1
ARS1279	0	1
ARS1414	0	1
ARS1419	0	1
ARS1434	0	1
ARS1441	0	1
ARS16	1	1
ARS17	0	1
ARS23	1	1
ARS27	0	1
ARS3	0	1
ARS34	0	1
ARS95	0	1
ATCC19188	0	1
ATCC35185	0	1
ATCC43058	0	1
ATCC49890	0	1
ATCC51630	0	1
ATCC51630	0	1
ATCC51933	0	1
ATCCBAA-691	0	1
CMI55	0	1
CPC1232	0	1
CPC1365	0	1
CPC319	0	1
CPC319	0	1
CPC38	0	1
CPC51	0	1
DSM10491	0	1
DSM11109	0	1
DSM12168	0	1
DSM14955	0	1
DSM15055	0	1
DSM16000	0	1
DSM16054	0	1
DSM16511	0	1
DSM17497	0	1
DSM17683	0	1
DSM17893	0	1
DSM18065	0	1
DSM18834	0	1
DSM19096	0	1
DSM19363	0	1
DSM19509	0	1
DSM19535	0	1
DSM19719	0	1
DSM19736	0	1
DSM20455	0	1
DSM20710	0	1
DSM21527	0	1
DSM21567	0	1
DSM21604	0	1
DSM21763	0	1
DSM23594	0	1
DSM25	0	1
DSM2950	0	1
DSM43889	0	1
DSM44171	0	1
DSM44728	0	1
DSM45090	0	1
DSM45188	0	1
DSM46235	0	1
DSM5886	0	1
DSM6293	0	1
DSM6644	0	1
