genome_id	contig_id	start	end
AG_311_I09	AG_311_I09_c	278697	291980
AG_311_I09	AG_311_I09_c	357521	402907
AG_311_I09	AG_311_I09_c	658277	702729
AG_311_I09	AG_311_I09_c	765104	871496
AG_311_I09	AG_311_I09_c	1088878	1101236
AG_311_I09	AG_311_I09_c	1218535	1254304
AG_311_I09	AG_311_I09_c	1269039	1276670
AG_311_I09	AG_311_I09_c	1351553	1455193
AG_311_J05	AG_311_J05_c	123266	128559
AG_311_J05	AG_311_J05_c	401761	702447
AG_311_J05	AG_311_J05_c	766173	819788
AG_311_J05	AG_311_J05_c	922607	950651
AG_311_J05	AG_311_J05_c	1141984	1218850
AG_311_M23	AG_311_M23_c	52442	56950
AG_311_M23	AG_311_M23_c	340209	368229
AG_311_M23	AG_311_M23_c	378035	384341
AG_311_M23	AG_311_M23_c	804347	822337
AG_311_M23	AG_311_M23_c	914521	948575
AG_311_M23	AG_311_M23_c	1174879	1193770
AG_311_M23	AG_311_M23_c	1305913	1367344
AG_321_D23	AG_321_D23_c	113970	118269
AG_321_D23	AG_321_D23_c	1144699	1215167
AG_321_D23	AG_321_D23_c	1306398	1366893
AG_321_D23	AG_321_D23_c	323264	375345
AG_321_D23	AG_321_D23_c	390262	394328
AG_321_D23	AG_321_D23_c	620099	628376
AG_321_D23	AG_321_D23_c	651500	661164
AG_321_D23	AG_321_D23_c	763546	782095
AG_321_D23	AG_321_D23_c	914516	974825
AG_321_D23	AG_321_D23_c	981037	986253
AG_321_D23	AG_321_D23_c	1069984	1096338
AG_321_E21	AG_321_E21_c	104994	109592
AG_321_E21	AG_321_E21_c	914488	973387
AG_321_E21	AG_321_E21_c	979564	984757
AG_321_E21	AG_321_E21_c	1076512	1083555
AG_321_E21	AG_321_E21_c	1108884	1122421
AG_321_E21	AG_321_E21_c	1148943	1216249
AG_321_E21	AG_321_E21_c	1305514	1363554
AG_321_E21	AG_321_E21_c	120612	135847
AG_321_E21	AG_321_E21_c	295133	300701
AG_321_E21	AG_321_E21_c	327658	332750
AG_321_E21	AG_321_E21_c	343624	365087
AG_321_E21	AG_321_E21_c	586349	593620
AG_321_E21	AG_321_E21_c	618463	704008
AG_321_E21	AG_321_E21_c	761343	777917
AG_321_E21	AG_321_E21_c	806117	817763
AG_321_F02	AG_321_F02_c	324140	329244
AG_321_F02	AG_321_F02_c	614631	702454
AG_321_F02	AG_321_F02_c	1000210	1021972
AG_321_F02	AG_321_F02_c	1060080	1087716
AG_321_F02	AG_321_F02_c	1153410	1376312
AG_321_G20	AG_321_G20_c	324099	352327
AG_321_G20	AG_321_G20_c	804366	833866
AG_321_G20	AG_321_G20_c	915618	959804
AG_321_M21	AG_321_M21_c	336037	437050
AG_321_M21	AG_321_M21_c	619301	629850
AG_321_M21	AG_321_M21_c	653644	677460
AG_321_M21	AG_321_M21_c	763437	780636
AG_321_M21	AG_321_M21_c	914462	973563
AG_321_M21	AG_321_M21_c	979756	984943
AG_321_M21	AG_321_M21_c	1152218	1165625
AG_331_E10	AG_331_E10_c	346552	627617
AG_331_E10	AG_331_E10_c	652368	701252
AG_331_E10	AG_331_E10_c	1107198	1121895
AG_331_E10	AG_331_E10_c	1138720	1216260
AG_331_E10	AG_331_E10_c	1337101	1366110
AG_335_A05	AG_335_A05_c	610477	631356
AG_335_A05	AG_335_A05_c	656217	691554
AG_335_A05	AG_335_A05_c	763552	777260
AG_335_A05	AG_335_A05_c	933857	970280
AG_335_A05	AG_335_A05_c	1111344	1195199
AG_335_B08	AG_335_B08_c	764753	775490
AG_335_B08	AG_335_B08_c	804371	826284
AG_335_B08	AG_335_B08_c	946213	984735
AG_335_B08	AG_335_B08_c	1111661	1120887
AG_335_C21	AG_335_C21_c	688768	695541
AG_335_C21	AG_335_C21_c	804357	826290
AG_335_C21	AG_335_C21_c	1042779	1159212
AG_335_D02	AG_335_D02_c	279222	384791
AG_335_D02	AG_335_D02_c	745880	824093
AG_335_D02	AG_335_D02_c	932965	984741
AG_335_D02	AG_335_D02_c	1336671	1346373
AG_335_D02	AG_335_D02_c	1468293	1474968
AG_335_D04	AG_335_D04_c	334130	344339
AG_335_D04	AG_335_D04_c	652173	655234
AG_335_D04	AG_335_D04_c	762768	775838
AG_335_D04	AG_335_D04_c	805230	864234
AG_335_D04	AG_335_D04_c	1067116	1074125
AG_335_D04	AG_335_D04_c	1112844	1119732
AG_335_E22	AG_335_E22_c	321368	345914
AG_335_E22	AG_335_E22_c	401767	405449
AG_335_E22	AG_335_E22_c	619267	709232
AG_335_E22	AG_335_E22_c	822701	843784
AG_335_E22	AG_335_E22_c	1062168	1075897
AG_335_E22	AG_335_E22_c	1159028	1180633
AG_335_I21	AG_335_I21_c	681908	750753
AG_335_I21	AG_335_I21_c	914236	973013
AG_335_I21	AG_335_I21_c	979545	984765
AG_335_I21	AG_335_I21_c	1058374	1169084
AG_335_J19	AG_335_J19_c	305123	369618
AG_335_J19	AG_335_J19_c	762769	774686
AG_335_J19	AG_335_J19_c	924096	974611
AG_335_J19	AG_335_J19_c	981143	986364
AG_335_J19	AG_335_J19_c	1060079	1216225
AG_335_L06	AG_335_L06_c	61245	69957
AG_335_L06	AG_335_L06_c	1603369	1617575
AG_335_L06	AG_335_L06_c	197420	203059
AG_335_L06	AG_335_L06_c	323857	363899
AG_335_L06	AG_335_L06_c	676886	688946
AG_335_L06	AG_335_L06_c	787721	795449
AG_335_L06	AG_335_L06_c	947556	974385
AG_335_L06	AG_335_L06_c	980910	986132
AG_335_L06	AG_335_L06_c	1115085	1243512
AG_335_L06	AG_335_L06_c	1312397	1367956
AG_335_N20	AG_335_N20_c	585966	623977
AG_335_N20	AG_335_N20_c	648569	715936
AG_335_N20	AG_335_N20_c	1018875	1087782
AG_335_N20	AG_335_N20_c	1133988	1206528
AG_335_N20	AG_335_N20_c	1303006	1367420
AG_335_O19	AG_335_O19_c	333466	404874
AG_335_O19	AG_335_O19_c	620087	627911
AG_335_O19	AG_335_O19_c	678138	702445
AG_335_O19	AG_335_O19_c	772474	776770
AG_335_O19	AG_335_O19_c	807818	818731
AG_335_O19	AG_335_O19_c	914514	975197
AG_335_O19	AG_335_O19_c	981386	1035390
AG_335_O19	AG_335_O19_c	1285598	1346276
AG_335_P02	AG_335_P02_c	346830	365960
AG_335_P02	AG_335_P02_c	620091	628357
AG_335_P02	AG_335_P02_c	688927	776666
AG_335_P02	AG_335_P02_c	804579	826343
AG_335_P02	AG_335_P02_c	955148	973567
AG_335_P02	AG_335_P02_c	979780	985002
AG_335_P02	AG_335_P02_c	1042983	1081061
AG_335_P02	AG_335_P02_c	1090767	1096333
AG_335_P02	AG_335_P02_c	1145617	1216281
AG_347_J22	AG_347_J22_c	343940	400656
AG_347_J22	AG_347_J22_c	704085	711042
AG_347_J22	AG_347_J22_c	773337	802498
AG_347_J22	AG_347_J22_c	827139	844122
AG_347_J22	AG_347_J22_c	931554	978121
AG_347_J22	AG_347_J22_c	1092933	1141906
AG_347_J22	AG_347_J22_c	1194846	1209559
AG_347_J22	AG_347_J22_c	1349566	1404941
AG_363_B18	AG_363_B18_c	36623	41908
AG_363_B18	AG_363_B18_c	1356510	1414303
AG_363_B18	AG_363_B18_c	374724	392447
AG_363_B18	AG_363_B18_c	639156	773880
AG_363_B18	AG_363_B18_c	860634	879240
AG_363_B18	AG_363_B18_c	907327	913624
AG_363_B18	AG_363_B18_c	959603	967076
AG_363_B18	AG_363_B18_c	1056369	1112180
AG_363_B18	AG_363_B18_c	1137478	1153374
AG_363_B18	AG_363_B18_c	1176153	1267125
AG_363_L17	AG_363_L17_c	219267	251117
AG_363_L17	AG_363_L17_c	283520	306441
AG_363_L17	AG_363_L17_c	334788	443006
AG_363_L17	AG_363_L17_c	681012	707111
AG_363_L17	AG_363_L17_c	766086	774163
AG_363_L17	AG_363_L17_c	1109083	1117999
AG_363_L17	AG_363_L17_c	1263210	1413563
AG_363_L17	AG_363_L17_c	1548565	1553166
AG_363_L17	AG_363_L17_c	1604862	1615099
AG_363_P06	AG_363_P06_c	340712	385441
AG_363_P06	AG_363_P06_c	1355603	1413795
AG_363_P06	AG_363_P06_c	620578	654296
AG_363_P06	AG_363_P06_c	679088	707628
AG_363_P06	AG_363_P06_c	805702	850282
AG_363_P06	AG_363_P06_c	937448	966771
AG_363_P06	AG_363_P06_c	995918	999019
AG_363_P06	AG_363_P06_c	1053172	1160950
AG_363_P06	AG_363_P06_c	1186445	1192428
AG_363_P06	AG_363_P06_c	1221201	1265989
AG_388_A04	AG_388_A04_c	324090	369645
AG_388_A04	AG_388_A04_c	1305361	1354602
AG_388_A04	AG_388_A04_c	620092	629559
AG_388_A04	AG_388_A04_c	654523	672750
AG_388_A04	AG_388_A04_c	754105	776107
AG_388_A04	AG_388_A04_c	804365	826079
AG_388_A04	AG_388_A04_c	914539	975942
AG_388_A04	AG_388_A04_c	982148	987369
AG_388_A04	AG_388_A04_c	1060011	1082036
AG_388_A04	AG_388_A04_c	1111659	1163531
AG_388_B05	AG_388_B05_c	324106	364959
AG_388_B05	AG_388_B05_c	1121043	1127782
AG_388_B05	AG_388_B05_c	1146881	1216271
AG_388_B05	AG_388_B05_c	1304148	1376319
AG_388_B05	AG_388_B05_c	401765	405470
AG_388_B05	AG_388_B05_c	619710	627995
AG_388_B05	AG_388_B05_c	652813	702566
AG_388_B05	AG_388_B05_c	762769	776132
AG_388_B05	AG_388_B05_c	804367	852629
AG_388_B05	AG_388_B05_c	912928	973301
AG_388_B05	AG_388_B05_c	979515	984737
AG_388_B05	AG_388_B05_c	1050807	1099597
AG_388_D03	AG_388_D03_c	133092	139956
AG_388_D03	AG_388_D03_c	1153821	1179262
AG_388_D03	AG_388_D03_c	1201060	1251815
AG_388_D03	AG_388_D03_c	1331861	1407765
AG_388_D03	AG_388_D03_c	374171	400282
AG_388_D03	AG_388_D03_c	648332	663801
AG_388_D03	AG_388_D03_c	691822	710140
AG_388_D03	AG_388_D03_c	769679	842506
AG_388_D03	AG_388_D03_c	925179	975743
AG_388_D03	AG_388_D03_c	981989	987211
AG_388_D03	AG_388_D03_c	1049776	1123459
AG_388_D03	AG_388_D03_c	1137619	1144165
AG_388_E21	AG_388_E21_c	37130	44315
AG_388_E21	AG_388_E21_c	1108819	1139694
AG_388_E21	AG_388_E21_c	1158534	1216447
AG_388_E21	AG_388_E21_c	1302623	1373974
AG_388_E21	AG_388_E21_c	334260	376396
AG_388_E21	AG_388_E21_c	627134	635423
AG_388_E21	AG_388_E21_c	662245	695784
AG_388_E21	AG_388_E21_c	758062	770344
AG_388_E21	AG_388_E21_c	800699	822396
AG_388_E21	AG_388_E21_c	910560	971229
AG_388_E21	AG_388_E21_c	977364	982586
AG_388_E21	AG_388_E21_c	1057262	1092917
AG_388_I18	AG_388_I18_c	32032	39219
AG_388_I18	AG_388_I18_c	1141127	1208913
AG_388_I18	AG_388_I18_c	1257018	1263949
AG_388_I18	AG_388_I18_c	1304754	1370556
AG_388_I18	AG_388_I18_c	1569218	1576548
AG_388_I18	AG_388_I18_c	338090	360644
AG_388_I18	AG_388_I18_c	384359	397591
AG_388_I18	AG_388_I18_c	619936	628158
AG_388_I18	AG_388_I18_c	654488	698083
AG_388_I18	AG_388_I18_c	804607	826308
AG_388_I18	AG_388_I18_c	914396	977431
AG_388_I18	AG_388_I18_c	1048452	1081537
AG_388_I18	AG_388_I18_c	1106362	1116561
AG_388_J02	AG_388_J02_c	316037	351902
AG_388_J02	AG_388_J02_c	1190819	1274157
AG_388_J02	AG_388_J02_c	1364934	1428616
AG_388_J02	AG_388_J02_c	604328	633948
AG_388_J02	AG_388_J02_c	658852	709527
AG_388_J02	AG_388_J02_c	774489	824033
AG_388_J02	AG_388_J02_c	852137	874083
AG_388_J02	AG_388_J02_c	960330	1021051
AG_388_J02	AG_388_J02_c	1027291	1032514
AG_388_J02	AG_388_J02_c	1107895	1132815
AG_388_J02	AG_388_J02_c	1157717	1168988
AG_402_K10	AG_402_K10_c	126185	132891
AG_402_K10	AG_402_K10_c	1352511	1417274
AG_402_K10	AG_402_K10_c	329172	339042
AG_402_K10	AG_402_K10_c	560830	627650
AG_402_K10	AG_402_K10_c	710784	724023
AG_402_K10	AG_402_K10_c	750221	778516
AG_402_K10	AG_402_K10_c	844423	867296
AG_402_K10	AG_402_K10_c	950297	972761
AG_402_K10	AG_402_K10_c	1110613	1119983
AG_402_K10	AG_402_K10_c	1180302	1252465
AG_402_L18	AG_402_L18_c	30611	39166
AG_402_L18	AG_402_L18_c	1283380	1291814
AG_402_L18	AG_402_L18_c	1366341	1413551
AG_402_L18	AG_402_L18_c	333803	389944
AG_402_L18	AG_402_L18_c	676502	753557
AG_402_L18	AG_402_L18_c	829633	840981
AG_402_L18	AG_402_L18_c	869607	876466
AG_402_L18	AG_402_L18_c	932071	970015
AG_402_L18	AG_402_L18_c	1053827	1123505
AG_402_L18	AG_402_L18_c	1148063	1171536
AG_402_L18	AG_402_L18_c	1196430	1268573
AG_402_N10	AG_402_N10_c	36365	43989
AG_402_N10	AG_402_N10_c	1065953	1142435
AG_402_N10	AG_402_N10_c	1167198	1174897
AG_402_N10	AG_402_N10_c	1239650	1259890
AG_402_N10	AG_402_N10_c	1361764	1380872
AG_402_N10	AG_402_N10_c	60870	65876
AG_402_N10	AG_402_N10_c	346549	383867
AG_402_N10	AG_402_N10_c	634320	649731
AG_402_N10	AG_402_N10_c	687134	715089
AG_402_N10	AG_402_N10_c	779519	808723
AG_402_N10	AG_402_N10_c	833832	862470
AG_402_N10	AG_402_N10_c	939230	978985
AG_402_N10	AG_402_N10_c	985187	990395
AG_409_A22	AG_409_A22_c	344938	364889
AG_409_A22	AG_409_A22_c	677823	703253
AG_409_A22	AG_409_A22_c	731079	810293
AG_409_A22	AG_409_A22_c	964359	973829
AG_409_A22	AG_409_A22_c	1056321	1168349
AG_409_A22	AG_409_A22_c	1215361	1234384
AG_409_A22	AG_409_A22_c	1359852	1409380
AG_409_A22	AG_409_A22_c	1511847	1518330
AG_409_E23	AG_409_E23_c	639228	1413101
AG_412_F02	AG_412_F02_c	341224	376411
AG_412_F02	AG_412_F02_c	637879	655560
AG_412_F02	AG_412_F02_c	680026	703782
AG_412_F02	AG_412_F02_c	768302	790660
AG_412_F02	AG_412_F02_c	919257	973167
AG_412_F02	AG_412_F02_c	1056177	1120026
AG_412_F02	AG_412_F02_c	1144090	1267752
AG_412_F02	AG_412_F02_c	1357867	1413601
AG_418_M08	AG_418_M08_c	35529	47954
AG_418_M08	AG_418_M08_c	1062540	1129558
AG_418_M08	AG_418_M08_c	1147568	1161390
AG_418_M08	AG_418_M08_c	1181293	1262969
AG_418_M08	AG_418_M08_c	1354415	1410515
AG_418_M08	AG_418_M08_c	133395	138627
AG_418_M08	AG_418_M08_c	350689	400082
AG_418_M08	AG_418_M08_c	642396	673047
AG_418_M08	AG_418_M08_c	697923	727894
AG_418_M08	AG_418_M08_c	790192	797195
AG_418_M08	AG_418_M08_c	826064	837146
AG_418_M08	AG_418_M08_c	932148	976899
AG_418_M08	AG_418_M08_c	983107	988006
AG_436_B23	AG_436_B23_c	637821	653201
AG_436_B23	AG_436_B23_c	739195	746635
AG_436_B23	AG_436_B23_c	1028153	1111534
AG_436_B23	AG_436_B23_c	1149656	1266239
AG_436_B23	AG_436_B23_c	1365065	1413690
AG_436_C05	AG_436_C05_c	346188	358430
AG_436_C05	AG_436_C05_c	683922	703774
AG_436_C05	AG_436_C05_c	766221	774097
AG_436_C05	AG_436_C05_c	805774	829544
AG_436_C05	AG_436_C05_c	923209	934546
AG_436_C05	AG_436_C05_c	948800	969937
AG_436_C05	AG_436_C05_c	1051812	1114292
AG_436_C05	AG_436_C05_c	1197272	1413643
AG_436_O11	AG_436_O11_c	345200	358018
AG_436_O11	AG_436_O11_c	1365297	1377521
