locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
AG-365-D07_00339,AG-365-D07_4,43808,44584,,,,AG-365-D07,-,CDS,
AG-365-D07_00340,AG-365-D07_4,44574,44816,,,,AG-365-D07,-,CDS,
AG-365-D07_00341,AG-365-D07_4,44822,45022,,,,AG-365-D07,-,CDS,
AG-365-D07_00342,AG-365-D07_4,45045,45761,,,,AG-365-D07,-,CDS,
AG-365-D07_00343,AG-365-D07_4,45754,46494,,,,AG-365-D07,-,CDS,
AG-365-D07_00344,AG-365-D07_4,46503,47456,,,,AG-365-D07,-,CDS,
AG-365-D07_00345,AG-365-D07_4,47446,47709,,,,AG-365-D07,-,CDS,
AG-365-D07_00346,AG-365-D07_4,47712,49445,,,,AG-365-D07,-,CDS,
AG-365-D07_00347,AG-365-D07_4,49442,50560,,,,AG-365-D07,-,CDS,
AG-365-D07_00348,AG-365-D07_4,50611,50928,,,,AG-365-D07,+,CDS,
AG-365-D07_00349,AG-365-D07_4,50928,51704,,,,AG-365-D07,+,CDS,
AG-365-D07_00350,AG-365-D07_4,51696,52694,,,,AG-365-D07,-,CDS,
AG-365-D07_00351,AG-365-D07_4,52699,53904,,,,AG-365-D07,-,CDS,
AG-365-D07_00352,AG-365-D07_4,53904,55622,,,,AG-365-D07,-,CDS,
AG-365-D07_00353,AG-365-D07_4,55622,58249,,,,AG-365-D07,-,CDS,
AG-365-D07_00354,AG-365-D07_4,58259,59350,PPDA,TIGR03297,2.2e-111,AG-365-D07,-,CDS,AG-365-D07__00354_2183145
AG-365-D07_00355,AG-365-D07_4,59343,60644,PEPM,TIGR02320,1.1e-107,AG-365-D07,-,CDS,AG-365-D07__00355_2183145
AG-365-D07_00356,AG-365-D07_4,60983,61056,,,,AG-365-D07,+,tRNA,
AG-365-D07_00357,AG-365-D07_4,61109,61184,,,,AG-365-D07,+,tRNA,
AG-365-D07_00358,AG-365-D07_4,61192,61560,,,,AG-365-D07,-,CDS,
AG-365-D07_00359,AG-365-D07_4,61717,62451,,,,AG-365-D07,-,CDS,
AG-365-D07_00360,AG-365-D07_4,62458,63891,,,,AG-365-D07,-,CDS,
AG-365-D07_00361,AG-365-D07_4,63893,65044,,,,AG-365-D07,-,CDS,
AG-365-D07_00362,AG-365-D07_4,65116,66156,,,,AG-365-D07,-,CDS,
AG-365-D07_00363,AG-365-D07_4,66290,66366,,,,AG-365-D07,-,tRNA,
AG-365-D07_00364,AG-365-D07_4,66390,67793,,,,AG-365-D07,-,CDS,
AG-365-D07_00365,AG-365-D07_4,67801,69174,,,,AG-365-D07,-,CDS,
AG-365-D07_00366,AG-365-D07_4,69175,70533,,,,AG-365-D07,-,CDS,
AG-365-D07_00367,AG-365-D07_4,70536,72299,,,,AG-365-D07,-,CDS,
AG-365-D07_00368,AG-365-D07_4,72338,73447,,,,AG-365-D07,+,CDS,
AG-365-D07_00369,AG-365-D07_4,73440,73997,,,,AG-365-D07,+,CDS,
AG-365-D07_00370,AG-365-D07_4,74001,74468,,,,AG-365-D07,+,CDS,
AG-365-D07_00371,AG-365-D07_4,74445,74903,,,,AG-365-D07,-,CDS,
AG-365-D07_00372,AG-365-D07_4,74903,75835,,,,AG-365-D07,-,CDS,
