user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
AG-457-P23	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp003602515	GCA_003602515.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp003602515	99.42	0.8	GCA_003602515.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp003602515	99.42	0.8	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002723045.1, s__MGIIb-O3 sp002723045, 95.0, 88.39, 0.61; GCA_002730445.1, s__MGIIb-O3 sp002730445, 95.0, 84.26, 0.46; GCA_002457155.1, s__MGIIb-O3 sp002457155, 95.0, 83.99, 0.63; GCA_002683155.1, s__MGIIb-O3 sp002683155, 95.0, 81.48, 0.57; GCA_004195615.1, s__MGIIb-O3 sp004195615, 95.0, 79.44, 0.55; GCA_001629235.1, s__MGIIb-O3 sp001629235, 95.0, 79.02, 0.32; GCA_001628485.1, s__MGIIb-O3 sp001628485, 95.0, 78.98, 0.34; GCA_001629255.1, s__MGIIb-O3 sp001629255, 95.0, 78.33, 0.24; GCA_002716085.1, s__MGIIb-O3 sp002716085, 95.0, 77.88, 0.19; GCA_002725315.1, s__MGIIb-O3 sp002725315, 95.0, 77.52, 0.16; GCA_002720055.1, s__MGIIb-O3 sp002720055, 95.0, 77.36, 0.16; GCA_002718695.1, s__MGIIb-O3 sp002718695, 95.0, 77.36, 0.2; GCA_002697065.1, s__MGIIb-O3 sp002697065, 95.0, 77.35, 0.2; GCA_002506755.1, s__MGIIb-O3 sp002506755, 95.0, 77.3, 0.14; GCA_002713185.1, s__MGIIb-O3 sp002713185, 95.0, 77.23, 0.16; GCA_002172185.1, s__MGIIb-O3 sp002172185, 95.0, 77.04, 0.19	64.48	11	N/A	N/A
AG-422-O22	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp002683155	GCA_002683155.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp002683155	97.87	0.78	GCA_002683155.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp002683155	97.87	0.78	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002457155.1, s__MGIIb-O3 sp002457155, 95.0, 82.54, 0.68; GCA_002723045.1, s__MGIIb-O3 sp002723045, 95.0, 81.59, 0.69; GCA_003602515.1, s__MGIIb-O3 sp003602515, 95.0, 81.57, 0.62; GCA_002730445.1, s__MGIIb-O3 sp002730445, 95.0, 81.06, 0.43; GCA_004195615.1, s__MGIIb-O3 sp004195615, 95.0, 79.06, 0.52; GCA_001628485.1, s__MGIIb-O3 sp001628485, 95.0, 78.9, 0.31; GCA_001629235.1, s__MGIIb-O3 sp001629235, 95.0, 78.19, 0.33; GCA_002716085.1, s__MGIIb-O3 sp002716085, 95.0, 78.09, 0.21; GCA_001629255.1, s__MGIIb-O3 sp001629255, 95.0, 78.05, 0.25; GCA_002718695.1, s__MGIIb-O3 sp002718695, 95.0, 77.57, 0.19; GCA_002697065.1, s__MGIIb-O3 sp002697065, 95.0, 77.56, 0.2; GCA_002720055.1, s__MGIIb-O3 sp002720055, 95.0, 77.4, 0.17; GCA_002713185.1, s__MGIIb-O3 sp002713185, 95.0, 77.28, 0.15; GCA_002725315.1, s__MGIIb-O3 sp002725315, 95.0, 77.16, 0.19; GCA_002722735.1, s__MGIIb-O3 sp002722735, 95.0, 76.99, 0.12; GCA_002506755.1, s__MGIIb-O3 sp002506755, 95.0, 76.67, 0.13	65.98	11	N/A	N/A
AH-287-K16	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	GCA_001628485.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	96.96	0.75	GCA_001628485.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	96.96	0.75	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001629235.1, s__MGIIb-O3 sp001629235, 95.0, 94.33, 0.6; GCA_001629255.1, s__MGIIb-O3 sp001629255, 95.0, 91.61, 0.73; GCA_002697065.1, s__MGIIb-O3 sp002697065, 95.0, 83.28, 0.45	22.99	11	N/A	N/A
AG-453-A05	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	GCA_001628485.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	98.11	0.83	GCA_001628485.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	98.11	0.83	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001629235.1, s__MGIIb-O3 sp001629235, 95.0, 93.61, 0.6; GCA_001629255.1, s__MGIIb-O3 sp001629255, 95.0, 91.35, 0.71; GCA_002697065.1, s__MGIIb-O3 sp002697065, 95.0, 81.98, 0.41; GCA_003602515.1, s__MGIIb-O3 sp003602515, 95.0, 79.25, 0.35; GCA_004195615.1, s__MGIIb-O3 sp004195615, 95.0, 77.65, 0.33	18.17	11	N/A	N/A
AH-326-G02	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	GCA_001628485.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	96.91	0.74	GCA_001628485.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	96.91	0.74	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001629235.1, s__MGIIb-O3 sp001629235, 95.0, 93.14, 0.57; GCA_001629255.1, s__MGIIb-O3 sp001629255, 95.0, 91.56, 0.63; GCA_002697065.1, s__MGIIb-O3 sp002697065, 95.0, 82.34, 0.4; GCA_003602515.1, s__MGIIb-O3 sp003602515, 95.0, 79.13, 0.26; GCA_002723045.1, s__MGIIb-O3 sp002723045, 95.0, 79.07, 0.21; GCA_002457155.1, s__MGIIb-O3 sp002457155, 95.0, 78.08, 0.23; GCA_004195615.1, s__MGIIb-O3 sp004195615, 95.0, 77.54, 0.27; GCA_002720055.1, s__MGIIb-O3 sp002720055, 95.0, 77.41, 0.19	42.76	11	N/A	N/A
AH-324-G09	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	GCA_001628485.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	97.17	0.79	GCA_001628485.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	97.17	0.79	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001629235.1, s__MGIIb-O3 sp001629235, 95.0, 93.23, 0.7; GCA_001629255.1, s__MGIIb-O3 sp001629255, 95.0, 91.2, 0.73; GCA_002697065.1, s__MGIIb-O3 sp002697065, 95.0, 82.82, 0.59; GCA_002723045.1, s__MGIIb-O3 sp002723045, 95.0, 79.7, 0.27; GCA_002720055.1, s__MGIIb-O3 sp002720055, 95.0, 78.64, 0.17; GCA_003602515.1, s__MGIIb-O3 sp003602515, 95.0, 78.37, 0.27; GCA_002506755.1, s__MGIIb-O3 sp002506755, 95.0, 78.13, 0.17; GCA_002457155.1, s__MGIIb-O3 sp002457155, 95.0, 78.11, 0.25; GCA_002718695.1, s__MGIIb-O3 sp002718695, 95.0, 78.01, 0.17; GCA_004195615.1, s__MGIIb-O3 sp004195615, 95.0, 78.0, 0.28; GCA_002683155.1, s__MGIIb-O3 sp002683155, 95.0, 77.83, 0.19; GCA_002730445.1, s__MGIIb-O3 sp002730445, 95.0, 77.74, 0.15; GCA_002725315.1, s__MGIIb-O3 sp002725315, 95.0, 77.57, 0.16; GCA_002716085.1, s__MGIIb-O3 sp002716085, 95.0, 77.27, 0.18	60.99	11	N/A	N/A
AH-287-L19	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	GCA_001628485.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	97.12	0.83	GCA_001628485.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	97.12	0.83	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001629235.1, s__MGIIb-O3 sp001629235, 95.0, 93.4, 0.73; GCA_001629255.1, s__MGIIb-O3 sp001629255, 95.0, 91.73, 0.72; GCA_002697065.1, s__MGIIb-O3 sp002697065, 95.0, 83.54, 0.59; GCA_002723045.1, s__MGIIb-O3 sp002723045, 95.0, 80.05, 0.29; GCA_003602515.1, s__MGIIb-O3 sp003602515, 95.0, 78.84, 0.3; GCA_002720055.1, s__MGIIb-O3 sp002720055, 95.0, 78.38, 0.2; GCA_002457155.1, s__MGIIb-O3 sp002457155, 95.0, 78.21, 0.32; GCA_002713185.1, s__MGIIb-O3 sp002713185, 95.0, 78.05, 0.16; GCA_002730445.1, s__MGIIb-O3 sp002730445, 95.0, 78.02, 0.14; GCA_002683155.1, s__MGIIb-O3 sp002683155, 95.0, 77.92, 0.26; GCA_002718695.1, s__MGIIb-O3 sp002718695, 95.0, 77.81, 0.21; GCA_004195615.1, s__MGIIb-O3 sp004195615, 95.0, 77.76, 0.3; GCA_002716085.1, s__MGIIb-O3 sp002716085, 95.0, 77.62, 0.22; GCA_002506755.1, s__MGIIb-O3 sp002506755, 95.0, 77.5, 0.17; GCA_002725315.1, s__MGIIb-O3 sp002725315, 95.0, 77.41, 0.15	64.91	11	N/A	N/A
AH-324-E09	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	GCA_001628485.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	97.23	0.83	GCA_001628485.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001628485	97.23	0.83	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001629235.1, s__MGIIb-O3 sp001629235, 95.0, 93.69, 0.67; GCA_001629255.1, s__MGIIb-O3 sp001629255, 95.0, 91.67, 0.77; GCA_002697065.1, s__MGIIb-O3 sp002697065, 95.0, 82.94, 0.57; GCA_002723045.1, s__MGIIb-O3 sp002723045, 95.0, 79.65, 0.27; GCA_003602515.1, s__MGIIb-O3 sp003602515, 95.0, 78.45, 0.25; GCA_002506755.1, s__MGIIb-O3 sp002506755, 95.0, 78.04, 0.13; GCA_002457155.1, s__MGIIb-O3 sp002457155, 95.0, 77.9, 0.24; GCA_002718695.1, s__MGIIb-O3 sp002718695, 95.0, 77.89, 0.16; GCA_002683155.1, s__MGIIb-O3 sp002683155, 95.0, 77.88, 0.22; GCA_004195615.1, s__MGIIb-O3 sp004195615, 95.0, 77.6, 0.26; GCA_002720055.1, s__MGIIb-O3 sp002720055, 95.0, 77.53, 0.16; GCA_002716085.1, s__MGIIb-O3 sp002716085, 95.0, 77.26, 0.21	48.5	11	N/A	N/A
AG-414-F22	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001629235	GCA_001629235.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001629235	97.73	0.74	GCA_001629235.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001629235	97.73	0.74	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001628485.1, s__MGIIb-O3 sp001628485, 95.0, 94.11, 0.86; GCA_001629255.1, s__MGIIb-O3 sp001629255, 95.0, 92.57, 0.8; GCA_002697065.1, s__MGIIb-O3 sp002697065, 95.0, 83.93, 0.58; GCA_002723045.1, s__MGIIb-O3 sp002723045, 95.0, 80.61, 0.26; GCA_003602515.1, s__MGIIb-O3 sp003602515, 95.0, 78.29, 0.27; GCA_002457155.1, s__MGIIb-O3 sp002457155, 95.0, 77.76, 0.27; GCA_002683155.1, s__MGIIb-O3 sp002683155, 95.0, 77.72, 0.21; GCA_004195615.1, s__MGIIb-O3 sp004195615, 95.0, 77.36, 0.27; GCA_002716085.1, s__MGIIb-O3 sp002716085, 95.0, 77.29, 0.1	43.07	11	N/A	N/A
AG-426-I08	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001629235	GCA_001629235.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001629235	97.58	0.71	GCA_001629235.1	95.0	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp001629235	97.58	0.71	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-O3;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001628485.1, s__MGIIb-O3 sp001628485, 95.0, 94.09, 0.85; GCA_001629255.1, s__MGIIb-O3 sp001629255, 95.0, 92.5, 0.79; GCA_002697065.1, s__MGIIb-O3 sp002697065, 95.0, 84.6, 0.63; GCA_002723045.1, s__MGIIb-O3 sp002723045, 95.0, 80.54, 0.22; GCA_003602515.1, s__MGIIb-O3 sp003602515, 95.0, 78.67, 0.29; GCA_002457155.1, s__MGIIb-O3 sp002457155, 95.0, 78.1, 0.31; GCA_004195615.1, s__MGIIb-O3 sp004195615, 95.0, 77.44, 0.32; GCA_002716085.1, s__MGIIb-O3 sp002716085, 95.0, 77.37, 0.1	39.81	11	N/A	N/A
