locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
HTCC7217_00403,HTCC7217_1,349410,349916,,,,HTCC7217,+,CDS,
HTCC7217_00404,HTCC7217_1,349898,350581,,,,HTCC7217,-,CDS,
HTCC7217_00405,HTCC7217_1,350585,351292,,,,HTCC7217,-,CDS,
HTCC7217_00406,HTCC7217_1,351292,352047,,,,HTCC7217,-,CDS,
HTCC7217_00407,HTCC7217_1,352051,353322,,,,HTCC7217,-,CDS,
HTCC7217_00408,HTCC7217_1,353315,354700,,,,HTCC7217,-,CDS,
HTCC7217_00409,HTCC7217_1,354776,355810,,,,HTCC7217,-,CDS,
HTCC7217_00410,HTCC7217_1,355917,356534,,,,HTCC7217,-,CDS,
HTCC7217_00411,HTCC7217_1,356629,357777,,,,HTCC7217,-,CDS,
HTCC7217_00412,HTCC7217_1,357849,358676,,,,HTCC7217,+,CDS,
HTCC7217_00413,HTCC7217_1,358676,359413,,,,HTCC7217,+,CDS,
HTCC7217_00414,HTCC7217_1,359406,360410,,,,HTCC7217,-,CDS,
HTCC7217_00415,HTCC7217_1,360413,361246,,,,HTCC7217,-,CDS,
HTCC7217_00416,HTCC7217_1,361331,362221,,,,HTCC7217,+,CDS,
HTCC7217_00417,HTCC7217_1,362291,362500,,,,HTCC7217,+,CDS,
HTCC7217_00418,HTCC7217_1,362702,363799,PPDH,PF00465,1.1e-57,HTCC7217,-,CDS,HTCC7217__00418_2182670
HTCC7217_00419,HTCC7217_1,363796,364893,PPDA,TIGR03297,2.6e-115,HTCC7217,-,CDS,HTCC7217__00419_2182670
HTCC7217_00420,HTCC7217_1,364886,366187,PEPM,TIGR02320,3.7e-111,HTCC7217,-,CDS,HTCC7217__00420_2182670
HTCC7217_00421,HTCC7217_1,366184,367488,MPNS,mpns,3.2e-173,HTCC7217,-,CDS,HTCC7217__00421_2182670
HTCC7217_00422,HTCC7217_1,367608,368726,,,,HTCC7217,-,CDS,
HTCC7217_00423,HTCC7217_1,368751,369956,,,,HTCC7217,-,CDS,
HTCC7217_00424,HTCC7217_1,369956,371674,,,,HTCC7217,-,CDS,
HTCC7217_00425,HTCC7217_1,371674,374301,,,,HTCC7217,-,CDS,
HTCC7217_00426,HTCC7217_1,374425,374498,,,,HTCC7217,+,tRNA,
HTCC7217_00427,HTCC7217_1,374549,374624,,,,HTCC7217,+,tRNA,
HTCC7217_00428,HTCC7217_1,374717,375088,,,,HTCC7217,-,CDS,
HTCC7217_00429,HTCC7217_1,375276,376010,,,,HTCC7217,-,CDS,
HTCC7217_00430,HTCC7217_1,376010,377452,,,,HTCC7217,-,CDS,
HTCC7217_00431,HTCC7217_1,377452,378597,,,,HTCC7217,-,CDS,
HTCC7217_00432,HTCC7217_1,378670,379710,,,,HTCC7217,-,CDS,
HTCC7217_00433,HTCC7217_1,379888,379964,,,,HTCC7217,-,tRNA,
HTCC7217_00434,HTCC7217_1,379999,381405,,,,HTCC7217,-,CDS,
