locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
TMED216_00135,TMED216_3,117,1592,,,,TMED216,+,CDS,
TMED216_00136,TMED216_3,1596,3296,,,,TMED216,+,CDS,
TMED216_00137,TMED216_3,3300,4280,,,,TMED216,+,CDS,
TMED216_00138,TMED216_3,4288,6048,,,,TMED216,+,CDS,
TMED216_00139,TMED216_3,6070,6888,,,,TMED216,+,CDS,
TMED216_00140,TMED216_3,6894,8006,PPDA,TIGR03297,9.3e-119,TMED216,+,CDS,TMED216__00140_2183180
TMED216_00141,TMED216_3,8003,8449,,,,TMED216,+,CDS,
TMED216_00142,TMED216_3,8442,9539,PPDH,PF00465,1.8e-52,TMED216,+,CDS,TMED216__00142_2183180
TMED216_00143,TMED216_3,9593,10897,PEPM,TIGR02320,5e-121,TMED216,+,CDS,TMED216__00143_2183180
TMED216_00144,TMED216_3,10905,11525,,,,TMED216,+,CDS,
TMED216_00145,TMED216_3,11492,12193,,,,TMED216,+,CDS,
TMED216_00146,TMED216_3,12195,13106,,,,TMED216,+,CDS,
TMED216_00147,TMED216_3,13103,13834,,,,TMED216,+,CDS,
TMED216_00148,TMED216_3,13842,14714,,,,TMED216,+,CDS,
TMED216_00149,TMED216_3,14720,14794,,,,TMED216,+,tRNA,
TMED216_00150,TMED216_3,14864,14974,,,,TMED216,+,rRNA,
TMED216_00151,TMED216_3,15240,16337,,,,TMED216,+,CDS,
TMED216_00152,TMED216_3,16337,16645,,,,TMED216,+,CDS,
TMED216_00153,TMED216_3,16642,18045,,,,TMED216,+,CDS,
TMED216_00154,TMED216_3,18045,18743,,,,TMED216,+,CDS,
TMED216_00155,TMED216_3,18752,18828,,,,TMED216,-,tRNA,
TMED216_00156,TMED216_3,18832,19035,,,,TMED216,-,CDS,
TMED216_00157,TMED216_3,19060,19167,,,,TMED216,-,CDS,
TMED216_00158,TMED216_3,19346,19930,,,,TMED216,-,CDS,
TMED216_00159,TMED216_3,19934,20158,,,,TMED216,-,CDS,
TMED216_00160,TMED216_3,20187,20990,,,,TMED216,-,CDS,
TMED216_00161,TMED216_3,20991,21554,,,,TMED216,-,CDS,
TMED216_00162,TMED216_3,21554,22156,,,,TMED216,-,CDS,
TMED216_00163,TMED216_3,22162,23175,,,,TMED216,-,CDS,
TMED216_00164,TMED216_3,23172,24371,,,,TMED216,-,CDS,
TMED216_00165,TMED216_3,24380,26359,,,,TMED216,-,CDS,
