locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
SB_01729,SB_2,1076711,1077571,,,,SB,-,CDS,
SB_01730,SB_2,1077568,1078224,,,,SB,-,CDS,
SB_01731,SB_2,1078228,1078791,,,,SB,-,CDS,
SB_01732,SB_2,1079132,1079245,,,,SB,-,CDS,
SB_01733,SB_2,1079304,1080290,,,,SB,+,CDS,
SB_01734,SB_2,1080323,1081135,,,,SB,-,CDS,
SB_01735,SB_2,1081246,1082262,,,,SB,-,CDS,
SB_01736,SB_2,1082664,1083719,,,,SB,+,CDS,
SB_01737,SB_2,1083815,1084834,,,,SB,+,CDS,
SB_01738,SB_2,1084892,1086010,,,,SB,+,CDS,
SB_01739,SB_2,1086007,1087464,,,,SB,+,CDS,
SB_01740,SB_2,1087481,1088920,,,,SB,-,CDS,
SB_01741,SB_2,1089139,1089969,,,,SB,-,CDS,
SB_01742,SB_2,1090152,1091048,,,,SB,+,CDS,
SB_01743,SB_2,1091080,1092246,,,,SB,+,CDS,
SB_01744,SB_2,1092362,1093672,PEPM,TIGR02320,2.9e-125,SB,+,CDS,SB__01744_2182663
SB_01745,SB_2,1093665,1094810,PPDA,TIGR03297,4.6e-144,SB,+,CDS,SB__01745_2182663
SB_01746,SB_2,1094811,1095941,PPDH,PF00465,2.3e-70,SB,+,CDS,SB__01746_2182663
SB_01747,SB_2,1095950,1097257,,,,SB,-,CDS,
SB_01748,SB_2,1097271,1097344,,,,SB,-,tRNA,
SB_01749,SB_2,1097584,1098210,,,,SB,+,CDS,
SB_01750,SB_2,1098212,1098436,,,,SB,-,CDS,
SB_01751,SB_2,1098456,1099319,,,,SB,-,CDS,
SB_01752,SB_2,1099323,1100222,,,,SB,+,CDS,
SB_01753,SB_2,1100226,1102391,,,,SB,-,CDS,
SB_01754,SB_2,1102562,1102849,,,,SB,-,CDS,
SB_01755,SB_2,1102927,1104006,,,,SB,-,CDS,
SB_01756,SB_2,1104016,1105293,,,,SB,-,CDS,
SB_01757,SB_2,1105416,1106882,,,,SB,-,CDS,
SB_01758,SB_2,1106897,1108039,,,,SB,-,CDS,
SB_01759,SB_2,1108102,1108524,,,,SB,-,CDS,
SB_01760,SB_2,1108521,1108907,,,,SB,-,CDS,
