ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	genome	KO	desc	scaffold	start	end	gene_symbol	protein_domain	evalue	strand	ncbitaxid	taxlineage	taxgroup	taxclade
path:map00520	Amino sugar and nucleotide sugar metabolism	6/16	24/754	3.49548E-06	6.64142E-05	6.25508E-05	SB_01735	6	SB	K02377	Nad-dependent epimerase dehydratase	SB_2	1081246	1082262	NA	NA	NA	-	59926	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococus clade HL;Prochlorococus subclade HLII;Prochlorococus sp. SB	Prochlorococcus	HLII
path:map00051	Fructose and mannose metabolism	3/16	13/754	0.001974807	0.018760667	0.017669326	SB_01735	3	SB	K02377	Nad-dependent epimerase dehydratase	SB_2	1081246	1082262	NA	NA	NA	-	59926	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococus clade HL;Prochlorococus subclade HLII;Prochlorococus sp. SB	Prochlorococcus	HLII
path:map00520	Amino sugar and nucleotide sugar metabolism	6/16	24/754	3.49548E-06	6.64142E-05	6.25508E-05	SB_01736	6	SB	K01784	udp-glucose 4-epimerase	SB_2	1082664	1083719	NA	NA	NA	+	59926	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococus clade HL;Prochlorococus subclade HLII;Prochlorococus sp. SB	Prochlorococcus	HLII
path:map00520	Amino sugar and nucleotide sugar metabolism	6/16	24/754	3.49548E-06	6.64142E-05	6.25508E-05	SB_01737	6	SB	K01710,K08679	Nucleotide sugar epimerase	SB_2	1083815	1084834	NA	NA	NA	+	59926	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococus clade HL;Prochlorococus subclade HLII;Prochlorococus sp. SB	Prochlorococcus	HLII
path:map00520	Amino sugar and nucleotide sugar metabolism	6/16	24/754	3.49548E-06	6.64142E-05	6.25508E-05	SB_01738	6	SB	K01711	Gdp-mannose 4,6-dehydratase	SB_2	1084892	1086010	NA	NA	NA	+	59926	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococus clade HL;Prochlorococus subclade HLII;Prochlorococus sp. SB	Prochlorococcus	HLII
path:map00051	Fructose and mannose metabolism	3/16	13/754	0.001974807	0.018760667	0.017669326	SB_01738	3	SB	K01711	Gdp-mannose 4,6-dehydratase	SB_2	1084892	1086010	NA	NA	NA	+	59926	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococus clade HL;Prochlorococus subclade HLII;Prochlorococus sp. SB	Prochlorococcus	HLII
path:map00520	Amino sugar and nucleotide sugar metabolism	6/16	24/754	3.49548E-06	6.64142E-05	6.25508E-05	SB_01739	6	SB	K00971,K16011	Mannose-1-phosphate guanylyltransferase	SB_2	1086007	1087464	NA	NA	NA	+	59926	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococus clade HL;Prochlorococus subclade HLII;Prochlorococus sp. SB	Prochlorococcus	HLII
path:map00051	Fructose and mannose metabolism	3/16	13/754	0.001974807	0.018760667	0.017669326	SB_01739	3	SB	K00971,K16011	Mannose-1-phosphate guanylyltransferase	SB_2	1086007	1087464	NA	NA	NA	+	59926	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococus clade HL;Prochlorococus subclade HLII;Prochlorococus sp. SB	Prochlorococcus	HLII
path:map00520	Amino sugar and nucleotide sugar metabolism	6/16	24/754	3.49548E-06	6.64142E-05	6.25508E-05	SB_01740	6	SB	K00012	Udp-glucose 6-dehydrogenase	SB_2	1087481	1088920	NA	NA	NA	-	59926	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococus clade HL;Prochlorococus subclade HLII;Prochlorococus sp. SB	Prochlorococcus	HLII
path:map01120	Microbial metabolism in diverse environments	6/12	73/614	0.001195909	0.009367272	0.008451674	AAA795-I06_00167	6	AAA795-I06	K01912	Coenzyme F390 synthetase-like protein	AAA795-I06_10	4479	5930	NA	NA	NA	+	1219	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococus clade HL;Prochlorococus subclade HLII;Prochlorococus sp. AAA795-I06	Prochlorococcus	HLII
