AG-337-F21_58_8_5212_6312_R	PF05861.11	369.4	4.7e-112	369.2	5.6e-112
AG-359-A03_37_20_15817_16920_R	PF05861.11	529.7	9e-161	529.5	1e-160
AG-359-A03_66_11_8633_9715_R	PF05861.11	357.3	2.3e-108	357.0	2.7e-108
AG-359-C07_16_16_11062_12141_R	PF05861.11	512.9	1.1e-155	512.7	1.2e-155
AG-359-C09_4_31_25483_26562_F	PF05861.11	510.8	4.9e-155	510.6	5.5e-155
AG-359-D03_69_6_2337_3266_F	PF05861.11	428.6	4.9e-130	428.4	5.4e-130
AG-359-E10_20_18_13434_14513_F	PF05861.11	511.6	2.8e-155	511.4	3.2e-155
AG-359-F18_4_102_70014_71105_R	PF05861.11	510.0	8.2e-155	509.9	9.3e-155
AG-359-J19_18_4_1843_2229_R	PF05861.11	172.1	4.5e-52	172.0	5e-52
AG-359-K08_1_23_19024_20103_F	PF05861.11	512.3	1.7e-155	512.1	1.9e-155
AG-359-K09_14_27_18712_19782_F	PF05861.11	527.9	3.1e-160	527.7	3.5e-160
AG-359-L07_7_15_12355_13446_F	PF05861.11	508.6	2.3e-154	508.4	2.6e-154
AG-359-L15_56_10_9171_10253_R	PF05861.11	359.8	3.9e-109	359.6	4.6e-109
AG-359-L15_61_4_1955_3058_R	PF05861.11	527.8	3.4e-160	527.6	3.8e-160
AG-359-L21_3_5_2137_3213_F	PF05861.11	537.3	4.4e-163	537.1	5e-163
AG-359-M21_5_52_45667_46746_R	PF05861.11	512.1	1.9e-155	511.9	2.2e-155
AG-359-N22_1_100_83189_84268_R	PF05861.11	515.1	2.3e-156	515.0	2.6e-156
AG-359-O10_2_144_121865_122941_F	PF05861.11	526.9	6.3e-160	526.7	7.2e-160
AG-360-B21_9_18_14756_15349_F	PF05861.11	260.4	6.7e-79	260.2	7.4e-79
AG-360-C11_1_9_5737_6807_F	PF05861.11	527.9	3.1e-160	527.7	3.5e-160
AG-360-C15_2_11_7991_9070_F	PF05861.11	513.4	7.9e-156	513.2	9e-156
AG-360-C19_47_5_2991_4082_R	PF05861.11	509.9	9.3e-155	509.7	1.1e-154
