Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
150NLHA	Prochlorococcus (5)	18	730	228	99.56	0.77	81.82	2506893	0	40	40	109417	109417	62672	62672	264269	264269	50.6	4.87	83.49	11	2633	1	718	11	0	0	0
150SH	Prochlorococcus (5)	18	730	228	54.37	0.01	0.00	835245	0	218	218	4202	4202	3831	3831	12789	12789	33.8	3.43	92.14	11	930	284	445	1	0	0	0
150SLHA	Prochlorococcus (5)	18	730	228	99.56	0.77	81.82	2535504	0	48	48	143539	143539	52823	52823	229474	229474	50.6	4.55	83.70	11	2673	1	718	11	0	0	0
150SLHB	Prochlorococcus (5)	18	730	228	100.00	0.44	66.67	2441793	0	76	76	70051	70051	32128	32128	164075	164075	50.8	4.35	83.81	11	2622	0	727	3	0	0	0
3A501NO3	Prochlorococcus (5)	18	730	228	99.28	4.54	80.00	2513231	0	135	135	37216	37216	18616	18616	136294	136294	51.1	4.15	84.18	11	2715	5	699	24	2	0	0
4BC	Prochlorococcus (5)	18	730	228	99.56	3.58	94.12	2507017	0	75	75	66708	66708	33426	33426	238967	238967	50.8	4.91	83.86	11	2665	1	712	17	0	0	0
6A501NO3	Prochlorococcus (5)	18	730	228	95.88	31.59	92.24	2921580	0	414	414	11774	11774	7056	7056	53917	53917	51.2	3.69	84.53	11	3304	34	481	213	2	0	0
AAA795-F05	Prochlorococcus (5)	18	730	228	89.07	0.15	0.00	1372663	0	20	20	125993	125993	68633	68633	500623	500623	31.4	2.16	91.53	11	1576	115	614	1	0	0	0
AAA795-I06	Prochlorococcus (5)	18	730	228	81.48	0.00	0.00	1331900	0	19	19	221123	221123	70100	70100	519987	519987	31.2	2.23	91.08	11	1528	116	614	0	0	0	0
AAA795-I15	Prochlorococcus (5)	18	730	228	78.53	0.01	100.00	1207876	0	31	31	64916	64916	38963	38963	167271	167271	31.4	2.72	91.64	11	1395	139	590	1	0	0	0
AAA795-J16	Prochlorococcus (5)	18	730	228	86.97	0.00	0.00	1431631	0	19	19	179685	179685	75349	75349	244384	244384	31.0	2.12	90.78	11	1636	98	632	0	0	0	0
AAA795-M23	Prochlorococcus (5)	18	730	228	86.04	0.25	0.00	1410672	0	23	23	111624	111624	61333	61333	389688	389688	31.2	2.29	90.40	11	1662	105	623	2	0	0	0
AG-311-D23	Prochlorococcus (5)	18	730	228	73.87	0.00	0.00	1466304	0	65	65	50864	50864	22558	22558	139860	139860	35.0	2.35	85.01	11	1753	186	544	0	0	0	0
AG-311-I02	Prochlorococcus (5)	18	730	228	10.65	0.00	0.00	195290	0	24	24	11853	11853	8137	8137	22279	22279	34.3	3.20	86.11	11	262	640	90	0	0	0	0
AG-311-I09	Prochlorococcus (5)	18	730	228	39.43	0.00	0.00	697970	0	52	52	22653	22653	13422	13422	62937	62937	30.5	2.60	90.00	11	794	433	297	0	0	0	0
AG-311-J05	Prochlorococcus (5)	18	730	228	36.72	0.29	100.00	623148	0	48	48	21371	21371	12982	12982	41523	41523	30.2	2.53	91.28	11	737	470	258	2	0	0	0
AG-311-J23	Prochlorococcus (5)	18	730	228	79.34	0.18	0.00	1427538	0	55	55	44869	44869	25955	25955	166481	166481	35.1	2.37	87.18	11	1628	141	587	2	0	0	0
AG-311-K14	Prochlorococcus (5)	18	730	228	12.72	0.00	0.00	194320	0	19	19	11697	11697	10227	10227	60212	60212	34.9	2.03	87.56	11	238	630	100	0	0	0	0
AG-311-K21	Prochlorococcus (5)	18	730	228	47.94	0.05	100.00	878448	0	52	52	33644	33644	16893	16893	80498	80498	34.8	2.67	88.70	11	1010	371	358	1	0	0	0
AG-311-K22	Prochlorococcus (5)	18	730	228	24.35	0.00	0.00	355689	0	17	17	36447	36447	20922	20922	117339	117339	30.6	1.97	90.74	11	412	577	153	0	0	0	0
AG-311-L21	Prochlorococcus (5)	18	730	228	10.01	0.00	0.00	190276	0	21	21	13646	13646	9060	9060	24716	24716	36.5	2.12	88.56	11	223	650	80	0	0	0	0
AG-311-L23	Prochlorococcus (5)	18	730	228	18.16	0.00	0.00	287318	0	20	20	22089	22089	14365	14365	69466	69466	32.3	2.29	90.05	11	319	584	146	0	0	0	0
AG-311-M15	Prochlorococcus (5)	18	730	228	20.24	0.00	0.00	321570	0	22	22	21010	21010	14616	14616	49754	49754	32.0	3.11	88.43	11	369	592	138	0	0	0	0
AG-311-M23	Prochlorococcus (5)	18	730	228	42.30	0.12	50.00	651213	0	43	43	28009	28009	15144	15144	94182	94182	31.3	2.86	89.20	11	758	414	314	2	0	0	0
AG-311-N19	Prochlorococcus (5)	18	730	228	16.19	0.00	0.00	496564	0	28	28	31058	31058	17734	17734	63635	63635	35.2	2.19	80.46	11	701	569	161	0	0	0	0
AG-315-A03	Prochlorococcus (5)	18	730	228	33.27	1.07	87.50	670439	0	59	59	19620	19620	11363	11363	47058	47058	34.6	2.34	84.91	11	815	487	235	8	0	0	0
AG-315-B03	Prochlorococcus (5)	18	730	228	55.88	0.00	0.00	957139	0	61	61	29311	29311	15690	15690	72420	72420	34.8	2.43	87.49	11	1050	332	398	0	0	0	0
AG-315-C08	Prochlorococcus (5)	18	730	228	53.61	0.05	100.00	961761	0	77	77	23788	23788	12490	12490	65564	65564	34.7	3.08	85.38	11	1105	353	376	1	0	0	0
