AG-359-A03_37_14_11015_12241_R	TIGR02318	412.6	3.4e-125	412.4	3.8e-125
AG-359-C07_16_10_6310_7446_R	TIGR02318	410.6	1.4e-124	410.4	1.5e-124
AG-359-C09_4_37_30178_31314_F	TIGR02318	410.6	1.4e-124	410.4	1.5e-124
AG-359-D07_12_2_409_1545_R	TIGR02318	409.0	4.2e-124	408.8	4.7e-124
AG-359-E10_3_4_2015_3151_F	TIGR02318	410.6	1.4e-124	410.4	1.5e-124
AG-359-K08_1_29_23720_24856_F	TIGR02318	411.1	9.3e-125	410.9	1.1e-124
AG-359-L15_97_4_2288_3514_R	TIGR02318	415.5	4.4e-126	415.3	5.1e-126
AG-359-L21_3_11_6746_7891_F	TIGR02318	405.5	4.8e-123	405.3	5.4e-123
AG-359-M21_5_46_40915_42051_R	TIGR02318	410.6	1.4e-124	410.4	1.5e-124
AG-359-N22_1_94_78437_79573_R	TIGR02318	411.4	7.5e-125	411.3	8.4e-125
AG-359-O10_2_150_126601_127746_F	TIGR02318	424.8	6.4e-129	424.6	7.2e-129
AG-360-B21_9_9_6800_7945_R	TIGR02318	395.5	5.1e-120	395.3	5.7e-120
AG-360-C11_1_15_10409_11551_F	TIGR02318	413.5	1.8e-125	413.3	2e-125
AG-360-C15_2_17_12686_13822_F	TIGR02318	410.5	1.4e-124	410.4	1.6e-124
AG-360-F10_26_2_579_1715_F	TIGR02318	411.1	9.3e-125	410.9	1.1e-124
AG-360-K11_3_21_14888_16024_R	TIGR02318	412.5	3.5e-125	412.3	4e-125
AG-360-L18_11_6_3175_4317_F	TIGR02318	408.7	5e-124	408.5	5.8e-124
AG-360-N03_18_11_8463_9608_R	TIGR02318	423.1	2.1e-128	422.9	2.4e-128
AG-360-N23_7_17_12595_13731_F	TIGR02318	410.6	1.4e-124	410.4	1.5e-124
AG-360-O20_3_14_11258_12403_R	TIGR02318	409.1	3.7e-124	409.0	4.1e-124
AG-360-P05_3_11_10547_11689_R	TIGR02318	430.1	1.6e-130	429.9	1.8e-130
AG-365-M19_26_13_12140_13282_R	TIGR02318	496.6	9.6e-151	496.5	1.1e-150
AG-390-C11_5_10_6304_7446_F	TIGR02318	428.4	5.2e-130	428.2	5.9e-130
AG-390-F11_12_18_12148_13284_R	TIGR02318	410.6	1.4e-124	410.4	1.5e-124
AG-390-G05_14_2_454_1596_F	TIGR02318	412.3	4.2e-125	412.1	4.7e-125
AG-390-G08_20_21_17333_18475_F	TIGR02318	410.8	1.2e-124	410.6	1.4e-124
AG-390-L20_8_96_81238_82383_R	TIGR02318	423.1	2.1e-128	422.9	2.4e-128
AG-414-A01_8_10_8319_9485_R	TIGR02318	399.3	3.6e-121	399.1	4.3e-121
AG-414-C16_8_73_69365_70510_R	TIGR02318	406.0	3.3e-123	405.8	3.7e-123
AG-414-D10_11_34_29212_30348_F	TIGR02318	410.6	1.4e-124	410.4	1.5e-124
AG-414-I04_10_36_28678_29820_F	TIGR02318	413.5	1.8e-125	413.3	2e-125
AG-414-I19_5_35_30302_31438_R	TIGR02318	411.3	8.2e-125	411.1	9.2e-125
AG-414-K15_3_87_73599_74735_R	TIGR02318	411.1	9.3e-125	410.9	1.1e-124
AG-414-L09_6_47_43473_44609_F	TIGR02318	410.6	1.4e-124	410.4	1.5e-124
AG-414-L13_37_6_2901_4043_F	TIGR02318	414.1	1.1e-125	413.9	1.3e-125
AG-414-M06_10_26_20839_21975_F	TIGR02318	411.1	9.3e-125	410.9	1.1e-124
AG-414-O09_6_43_37398_38534_R	TIGR02318	411.1	9.3e-125	410.9	1.1e-124
AG-414-O11_3_115_110618_111754_F	TIGR02318	410.6	1.4e-124	410.4	1.5e-124
