locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
AG-447-N18_00297,AG-447-N18_2,70643,71614,,,,AG-447-N18,-,CDS,
AG-447-N18_00298,AG-447-N18_2,71611,72612,,,,AG-447-N18,-,CDS,
AG-447-N18_00299,AG-447-N18_2,72736,73431,,,,AG-447-N18,+,CDS,
AG-447-N18_00300,AG-447-N18_2,73424,75220,,,,AG-447-N18,+,CDS,
AG-447-N18_00301,AG-447-N18_2,75206,75862,,,,AG-447-N18,-,CDS,
AG-447-N18_00302,AG-447-N18_2,75862,76902,,,,AG-447-N18,-,CDS,
AG-447-N18_00303,AG-447-N18_2,76915,77280,,,,AG-447-N18,-,CDS,
AG-447-N18_00304,AG-447-N18_2,77277,78191,,,,AG-447-N18,-,CDS,
AG-447-N18_00305,AG-447-N18_2,78224,79567,,,,AG-447-N18,-,CDS,
AG-447-N18_00306,AG-447-N18_2,79673,81019,,,,AG-447-N18,-,CDS,
AG-447-N18_00307,AG-447-N18_2,81098,81883,,,,AG-447-N18,+,CDS,
AG-447-N18_00308,AG-447-N18_2,81903,82823,,,,AG-447-N18,-,CDS,
AG-447-N18_00309,AG-447-N18_2,82816,83511,,,,AG-447-N18,-,CDS,
AG-447-N18_00310,AG-447-N18_2,83508,84596,,,,AG-447-N18,-,CDS,
AG-447-N18_00311,AG-447-N18_2,84598,85296,,,,AG-447-N18,-,CDS,
AG-447-N18_00312,AG-447-N18_2,85263,85892,,,,AG-447-N18,-,CDS,
AG-447-N18_00313,AG-447-N18_2,85873,86283,,,,AG-447-N18,-,CDS,
AG-447-N18_00314,AG-447-N18_2,86290,87591,PEPM,TIGR02320,4.5e-117,AG-447-N18,-,CDS,AG-447-N18__00314_2182702
AG-447-N18_00315,AG-447-N18_2,87678,88664,,,,AG-447-N18,-,CDS,
AG-447-N18_00316,AG-447-N18_2,88665,89774,PPDA,TIGR03297,5.6e-118,AG-447-N18,-,CDS,AG-447-N18__00316_2182702
AG-447-N18_00317,AG-447-N18_2,89771,91558,,,,AG-447-N18,-,CDS,
AG-447-N18_00318,AG-447-N18_2,91527,92537,,,,AG-447-N18,-,CDS,
AG-447-N18_00319,AG-447-N18_2,92534,94258,,,,AG-447-N18,-,CDS,
AG-447-N18_00320,AG-447-N18_2,94264,95424,,,,AG-447-N18,-,CDS,
AG-447-N18_00321,AG-447-N18_2,95433,95750,,,,AG-447-N18,-,CDS,
AG-447-N18_00322,AG-447-N18_2,95906,96130,,,,AG-447-N18,-,CDS,
AG-447-N18_00323,AG-447-N18_2,96135,96800,,,,AG-447-N18,-,CDS,
AG-447-N18_00324,AG-447-N18_2,96801,97571,,,,AG-447-N18,-,CDS,
AG-447-N18_00325,AG-447-N18_2,97568,98998,,,,AG-447-N18,-,CDS,
AG-447-N18_00326,AG-447-N18_2,99152,100015,,,,AG-447-N18,+,CDS,
AG-447-N18_00327,AG-447-N18_2,100008,101036,,,,AG-447-N18,+,CDS,
AG-447-N18_00328,AG-447-N18_2,101085,102338,,,,AG-447-N18,+,CDS,
AG-447-N18_00329,AG-447-N18_2,102395,103087,,,,AG-447-N18,+,CDS,
