locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
AG-436-C13_00155,AG-436-C13_1,125612,126436,,,,AG-436-C13,+,CDS,
AG-436-C13_00156,AG-436-C13_1,126458,126820,,,,AG-436-C13,+,CDS,
AG-436-C13_00157,AG-436-C13_1,126920,127504,,,,AG-436-C13,+,CDS,
AG-436-C13_00158,AG-436-C13_1,127560,127697,,,,AG-436-C13,+,CDS,
AG-436-C13_00159,AG-436-C13_1,127758,128141,,,,AG-436-C13,+,CDS,
AG-436-C13_00160,AG-436-C13_1,128141,128542,,,,AG-436-C13,+,CDS,
AG-436-C13_00161,AG-436-C13_1,128631,129773,,,,AG-436-C13,+,CDS,
AG-436-C13_00162,AG-436-C13_1,129832,131310,,,,AG-436-C13,+,CDS,
AG-436-C13_00163,AG-436-C13_1,131319,132596,,,,AG-436-C13,+,CDS,
AG-436-C13_00164,AG-436-C13_1,132605,133687,,,,AG-436-C13,+,CDS,
AG-436-C13_00165,AG-436-C13_1,133746,134048,,,,AG-436-C13,+,CDS,
AG-436-C13_00166,AG-436-C13_1,134240,136408,,,,AG-436-C13,+,CDS,
AG-436-C13_00167,AG-436-C13_1,136430,137347,,,,AG-436-C13,-,CDS,
AG-436-C13_00168,AG-436-C13_1,137349,138236,,,,AG-436-C13,+,CDS,
AG-436-C13_00169,AG-436-C13_1,138278,138511,,,,AG-436-C13,+,CDS,
AG-436-C13_00170,AG-436-C13_1,138518,139225,,,,AG-436-C13,-,CDS,
AG-436-C13_00171,AG-436-C13_1,139918,141297,MPNS,mpns,1.6e-143,AG-436-C13,-,CDS,AG-436-C13__00171_2182948
AG-436-C13_00172,AG-436-C13_1,141321,142631,PEPM,TIGR02320,6.7e-115,AG-436-C13,-,CDS,AG-436-C13__00172_2182948
AG-436-C13_00173,AG-436-C13_1,143438,144418,,,,AG-436-C13,+,CDS,
AG-436-C13_00174,AG-436-C13_1,144439,145527,,,,AG-436-C13,-,CDS,
AG-436-C13_00175,AG-436-C13_1,145788,146660,,,,AG-436-C13,+,CDS,
AG-436-C13_00176,AG-436-C13_1,146676,146780,,,,AG-436-C13,+,CDS,
AG-436-C13_00177,AG-436-C13_1,147051,147124,,,,AG-436-C13,+,tRNA,
AG-436-C13_00178,AG-436-C13_1,147181,148620,,,,AG-436-C13,+,CDS,
AG-436-C13_00179,AG-436-C13_1,148868,149545,,,,AG-436-C13,+,CDS,
AG-436-C13_00180,AG-436-C13_1,149542,149910,,,,AG-436-C13,+,CDS,
AG-436-C13_00181,AG-436-C13_1,149950,151227,,,,AG-436-C13,-,CDS,
AG-436-C13_00182,AG-436-C13_1,151272,153215,,,,AG-436-C13,-,CDS,
AG-436-C13_00183,AG-436-C13_1,153402,154616,,,,AG-436-C13,-,CDS,
AG-436-C13_00184,AG-436-C13_1,154840,154913,,,,AG-436-C13,+,tRNA,
AG-436-C13_00185,AG-436-C13_1,155008,155727,,,,AG-436-C13,-,CDS,
AG-436-C13_00186,AG-436-C13_1,156210,157298,,,,AG-436-C13,+,CDS,
AG-436-C13_00187,AG-436-C13_1,157353,158492,PPDH,PF00465,1.2e-74,AG-436-C13,-,CDS,AG-436-C13__00187_2182948
