AG-313-A04_1_98_98015_99313_F	PF04932.14	53.9	4.3e-15	53.9	4.3e-15
AG-313-A07_16_23_24299_25501_R	PF04932.14	62.3	1.2e-17	62.3	1.2e-17
AG-313-A14_9_8_6854_8092_F	PF04932.14	55.5	1.3e-15	55.5	1.3e-15
AG-313-A15_2_22_18411_19625_R	PF04932.14	52.2	1.4e-14	52.2	1.4e-14
AG-313-A15_2_24_20411_21817_R	PF04932.14	51.8	1.9e-14	51.8	1.9e-14
AG-313-A18_15_1_1_1266_F	PF04932.14	40.7	5e-11	40.7	5e-11
AG-313-A18_15_4_2364_3653_R	PF04932.14	54.9	2.1e-15	54.9	2.1e-15
AG-313-B04_42_3_12215_13819_R	PF04932.14	52.4	1.2e-14	52.4	1.2e-14
AG-313-B21_1_9_5322_6554_F	PF04932.14	45.0	2.4e-12	45.0	2.4e-12
AG-313-B22_2_21_19122_20396_R	PF04932.14	66.0	8.3e-19	66.0	8.3e-19
AG-313-B22_2_31_33119_34936_F	PF04932.14	67.2	3.4e-19	67.2	3.4e-19
AG-313-C03_2_34_36814_38208_F	PF04932.14	39.2	1.5e-10	39.2	1.5e-10
AG-313-C04_36_5_4266_5402_R	PF04932.14	62.6	9e-18	62.6	9e-18
AG-313-C05_64_1_2_1102_R	PF04932.14	30.5	6.7e-08	30.5	6.7e-08
AG-313-C07_15_6_4391_6367_F	PF04932.14	37.7	4.2e-10	37.7	4.2e-10
AG-313-C08_10_10_9166_10491_F	PF04932.14	32.1	2.2e-08	32.1	2.2e-08
AG-313-C08_8_39_37954_39156_R	PF04932.14	26.9	8.8e-07	26.9	8.8e-07
AG-313-C18_2_39_33342_34733_F	PF04932.14	46.5	8.2e-13	46.5	8.2e-13
AG-313-C18_4_12_12014_13222_F	PF04932.14	36.0	1.4e-09	36.0	1.4e-09
AG-313-C18_4_1_2_1591_F	PF04932.14	37.5	4.7e-10	35.5	1.9e-09
AG-313-C23_26_4_2507_3766_R	PF04932.14	45.1	2.3e-12	45.1	2.3e-12
AG-313-D08_21_1_1_1005_R	PF04932.14	39.6	1.1e-10	39.6	1.1e-10
AG-313-D08_9_35_35334_36536_F	PF04932.14	60.2	5.1e-17	60.2	5.1e-17
AG-313-D16_37_1_1_1035_R	PF04932.14	29.8	1.1e-07	29.8	1.1e-07
AG-313-D18_2_17_12197_13465_F	PF04932.14	43.4	7.2e-12	43.4	7.2e-12
AG-313-D21_13_7_4471_5709_R	PF04932.14	62.8	8e-18	62.8	8e-18
AG-313-E13_1_119_118521_119915_F	PF04932.14	36.0	1.4e-09	36.0	1.4e-09
AG-313-E13_1_73_69033_70235_R	PF04932.14	53.2	7e-15	53.2	7e-15
AG-313-E13_1_75_71010_72383_R	PF04932.14	44.5	3.3e-12	44.5	3.3e-12
AG-313-E16_27_2_726_2018_F	PF04932.14	54.9	2.1e-15	54.9	2.1e-15
AG-313-F04_17_5_3813_5072_F	PF04932.14	58.1	2.2e-16	58.1	2.2e-16
AG-313-F05_21_9_7420_8622_F	PF04932.14	27.7	5e-07	27.7	5e-07
AG-313-F05_4_17_17048_18346_F	PF04932.14	46.9	6.1e-13	46.9	6.1e-13
AG-313-F06_8_26_28193_29434_F	PF04932.14	54.3	3.3e-15	54.3	3.3e-15
