locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
AG-325-E08_00864,AG-325-E08_13,14429,14659,,,,AG-325-E08,+,CDS,
AG-325-E08_00865,AG-325-E08_13,14660,15229,,,,AG-325-E08,+,CDS,
AG-325-E08_00866,AG-325-E08_13,15290,15496,,,,AG-325-E08,+,CDS,
AG-325-E08_00867,AG-325-E08_13,15503,15579,,,,AG-325-E08,+,tRNA,
AG-325-E08_00868,AG-325-E08_13,15589,16287,,,,AG-325-E08,-,CDS,
AG-325-E08_00869,AG-325-E08_13,16297,17694,,,,AG-325-E08,-,CDS,
AG-325-E08_00870,AG-325-E08_13,17694,18002,,,,AG-325-E08,-,CDS,
AG-325-E08_00871,AG-325-E08_13,18007,19095,,,,AG-325-E08,-,CDS,
AG-325-E08_00872,AG-325-E08_13,19105,19215,,,,AG-325-E08,-,CDS,
AG-325-E08_00873,AG-325-E08_13,19221,19346,,,,AG-325-E08,-,CDS,
AG-325-E08_00874,AG-325-E08_13,19366,19473,,,,AG-325-E08,-,rRNA,
AG-325-E08_00875,AG-325-E08_13,19530,20252,,,,AG-325-E08,-,CDS,
AG-325-E08_00876,AG-325-E08_13,20245,21912,,,,AG-325-E08,-,CDS,
AG-325-E08_00877,AG-325-E08_13,21932,22663,,,,AG-325-E08,-,CDS,
AG-325-E08_00878,AG-325-E08_13,22725,23735,,,,AG-325-E08,-,CDS,
AG-325-E08_00879,AG-325-E08_13,23722,24738,,,,AG-325-E08,-,CDS,
AG-325-E08_00880,AG-325-E08_13,24898,25812,,,,AG-325-E08,-,CDS,
AG-325-E08_00881,AG-325-E08_13,25805,26500,,,,AG-325-E08,-,CDS,
AG-325-E08_00882,AG-325-E08_13,26504,27595,,,,AG-325-E08,-,CDS,
AG-325-E08_00883,AG-325-E08_13,27592,28398,,,,AG-325-E08,-,CDS,
AG-325-E08_00884,AG-325-E08_13,28417,29514,PPDA,TIGR03297,2.9e-110,AG-325-E08,-,CDS,AG-325-E08__00884_2182690
AG-325-E08_00885,AG-325-E08_13,29604,30923,PEPM,TIGR02320,5.2e-113,AG-325-E08,+,CDS,AG-325-E08__00885_2182690
AG-325-E08_00886,AG-325-E08_13,30982,31956,,,,AG-325-E08,+,CDS,
AG-325-E08_00887,AG-325-E08_13,31953,32369,,,,AG-325-E08,+,CDS,
AG-325-E08_00888,AG-325-E08_13,32396,33100,,,,AG-325-E08,+,CDS,
AG-325-E08_00889,AG-325-E08_13,33164,34912,,,,AG-325-E08,+,CDS,
AG-325-E08_00890,AG-325-E08_13,34940,36250,,,,AG-325-E08,-,CDS,
AG-325-E08_00891,AG-325-E08_13,36280,37347,,,,AG-325-E08,-,CDS,
