genome	2AEP	CPLyase	Hpn	Phosphite
AAA536-G10	0	1	0	0
AAA536-K22	0	1	0	0
AG-355-M18	0	0	0	1
AG-355-N22	0	0	0	1
AG-355-O21	0	1	0	0
AG-355-P11	0	0	0	1
AG-363-B18	0	0	0	1
AG-388-E21	0	0	0	1
AG-388-I18	0	0	0	1
AG-390-L20	0	1	0	0
AG-412-C21	0	0	0	1
AG-412-F02	0	0	0	1
AG-412-L10	0	0	0	1
AG-414-O11	0	1	0	0
AG-424-P23	0	0	0	1
AG-426-B08	0	1	0	0
AG-426-I14	0	1	0	0
AG-430-E20	0	1	0	0
AG-447-C21	0	1	0	0
AG-447-K02	0	1	0	0
AG-670-D07	0	0	0	1
AG-670-G20	0	0	0	1
AG-670-M15	0	0	0	1
ARS101	1	0	0	0
ATCC12639	0	1	0	0
ATCC14035	1	0	0	0
ATCC14547	1	0	0	0
ATCC15381	1	0	0	0
ATCC35903	0	1	0	0
ATCC49260	0	1	0	0
ATCC49890	0	1	0	0
ATCC51759	0	1	0	0
ATCCBAA-1503	0	1	0	0
ATCCBAA-638	1	0	0	0
ATCCBAA-691	0	1	0	0
ATCCBAA-78	1	0	0	0
ATCCBAA-817	0	1	0	0
ATCCBAA-899	1	0	0	0
B241_528O2	0	0	0	1
B241_528P14	0	0	0	1
B243_498I20	0	0	0	1
BACL7-MAG-120910-bin24	1	0	0	0
CPC320	1	0	0	0
DSM10491	0	1	0	0
DSM11391	0	1	0	0
DSM1382	1	0	0	0
DSM14000	0	1	0	0
DSM14296	0	1	0	0
DSM14347	0	1	0	0
DSM14573	1	0	0	0
DSM14782	0	1	0	0
DSM14790	0	1	0	0
DSM14985	0	1	0	0
DSM15459	1	0	0	0
DSM16000	0	1	0	0
DSM16072	1	0	0	0
DSM16109	0	1	0	0
DSM16212	0	1	0	0
DSM16300	0	1	0	0
DSM16456	0	1	0	0
DSM16503	0	0	0	1
DSM17143	0	1	0	0
DSM17366	0	1	0	0
DSM17556	0	1	0	0
DSM17657	0	1	0	0
DSM17808	0	1	0	0
DSM17972	0	1	0	0
DSM18065	0	1	0	0
DSM18137	1	0	0	0
DSM18316	1	0	0	0
DSM18339	0	1	0	0
DSM18348	0	1	0	0
DSM18356	1	0	0	0
DSM18519	1	0	0	0
DSM18598	0	1	0	0
DSM18658	0	0	1	0
DSM18922	0	1	0	0
DSM18995	0	1	0	0
DSM19363	0	1	0	0
DSM19522	1	0	0	0
DSM19524	0	1	0	0
DSM19539	0	1	0	0
DSM19542	1	0	0	0
DSM19796	1	0	0	0
DSM19808	0	1	0	0
DSM19833	1	0	0	0
DSM21189	0	1	0	0
DSM21201	0	1	0	0
DSM21440	1	0	0	0
DSM21506	1	0	0	0
DSM21604	0	1	0	0
DSM21757	1	0	0	0
DSM22380	1	0	0	0
DSM22720	1	0	0	0
DSM22990	1	1	0	0
DSM23064	1	1	0	0
DSM23236	1	0	0	0
DSM23277	0	1	0	1
DSM23481	0	1	0	0
DSM23508	0	1	0	0
DSM23545	0	1	0	0
DSM23864	1	0	0	0
DSM30083	0	1	0	0
DSM3379	0	1	0	0
DSM4028	0	1	0	0
DSM50071	0	1	0	0
DSM513	0	1	0	0
DSM5886	1	1	0	0
DSM5888	1	1	0	0
DSM5890	0	1	0	0
DSM6286	0	1	0	0
DSM6293	1	0	0	0
DSM6295	0	1	0	0
DSM7166	1	1	0	0
DSM9154	0	1	0	0
EAC21	0	1	0	0
HTCC7211	0	1	0	0
HTCC7217	0	1	0	0
KORDI-52	0	0	0	1
MED1008	1	0	0	0
MED139	0	1	0	0
MED595	0	1	0	0
MED717	0	1	0	0
MED756	0	1	0	0
MED792	0	1	0	0
MED834	0	1	0	0
MIT9301	0	0	0	1
MIT9302	0	0	0	1
MIT9303	0	0	0	1
MMP00622974	1	0	0	0
MMP01915661	0	1	0	0
MMP02603049	1	1	0	0
MMP02603483	1	0	0	0
MMP02603624	0	1	0	0
MMP02603960	1	0	0	0
MMP03081458	0	1	0	0
MMP03292294	0	1	0	0
MMP03294491	0	1	0	0
MMP03379852	1	0	0	0
MMP03701403	1	1	0	0
MMP04168691	1	0	0	0
MMP04457466	1	0	0	0
MMP04914658	1	0	0	0
MMP05216535	0	1	0	0
MMP05860641	1	0	0	0
MMP05860642	1	0	0	0
MMP05860643	1	0	0	0
MMP05860644	1	0	0	0
MMP05860645	1	0	0	0
MMP06054042	0	1	0	0
MMP06234523	0	1	0	0
MMP06909310	1	0	0	0
MMP1705917	1	0	0	0
MMP2272383	1	0	0	0
MMP2272703	0	1	0	0
NAT173	0	1	0	0
NAT194	1	0	0	0
NP29	0	1	0	0
NP49	0	1	0	0
RS01	0	0	0	1
RS04	0	0	0	1
RS461	1	0	0	0
RS50	0	0	0	1
SAT1416	1	0	0	0
SAT198	0	1	0	0
SAT2866	0	1	0	0
SAT87	0	0	1	0
SAT89	0	1	0	0
SAT9	0	1	0	0
SP3001	1	0	0	0
SP4	0	0	1	0
SP486	1	0	0	0
specI-1001530	1	0	0	0
specI-1001585	0	1	0	0
specI-1002340	1	1	0	0
specI-1002368	1	1	0	0
specI-1003200	0	1	0	0
specI-1005048	1	0	0	0
specI-1005994	0	1	0	0
specI-1006000	1	1	0	0
specI-1006004	0	1	0	0
specI-1007103	1	0	0	0
specI-102129	0	1	0	0
specI-1028307	1	1	0	0
specI-1028800	0	1	0	0
specI-1028801	0	1	0	0
specI-1033991	0	1	0	0
specI-1036673	1	0	0	0
specI-103690	0	1	0	0
specI-1037409	0	1	0	0
specI-1038858	0	1	0	0
specI-1038859	0	1	0	0
specI-1038860	0	1	0	0
specI-1038862	0	1	0	0
specI-1038866	0	1	0	0
specI-1038867	0	1	0	0
specI-1038869	0	1	0	0
specI-1040982	1	1	0	0
specI-1040983	1	1	0	0
specI-1040986	0	1	0	0
specI-1040987	1	1	0	0
specI-1040989	0	1	0	0
specI-1041138	0	1	0	0
specI-1041139	0	1	0	0
specI-1041142	0	1	0	0
specI-1041146	0	1	0	0
specI-1041147	0	1	0	0
specI-1041159	0	1	0	0
specI-1042326	0	1	0	0
specI-1042375	1	1	0	0
specI-1045856	0	1	0	0
specI-104623	0	1	0	0
specI-1050720	0	1	0	0
specI-1054213	0	1	0	0
specI-1055104	1	0	0	0
specI-1056512	0	1	0	0
specI-1057002	0	1	0	0
specI-106592	1	1	0	0
specI-1072583	1	0	0	0
specI-1076550	0	1	0	0
specI-1079460	0	1	0	0
specI-1080067	0	1	0	0
specI-1082705	0	1	0	0
specI-1082932	0	1	0	0
specI-1082933	0	1	0	0
specI-1089444	0	1	0	0
specI-1089551	0	1	0	0
specI-1089552	0	1	0	0
specI-1096546	0	1	0	0
specI-1097668	0	1	0	0
specI-1100720	0	1	0	0
specI-1101188	0	1	0	0
specI-1101191	0	1	0	0
specI-1105367	0	1	0	0
specI-1114922	0	1	0	0
specI-1116369	1	1	0	0
specI-1116391	1	0	0	0
specI-1117943	0	1	0	0
specI-1118054	1	0	0	0
specI-1120792	1	0	0	0
specI-1120956	0	1	0	0
specI-1120970	1	1	0	0
specI-1120999	1	0	0	0
specI-1121011	1	0	0	0
