AG-313-A03_11_11_11085_11657_R	PF01966.21	22.9	7.3e-05	22.3	0.00012
AG-313-A07_93_4_3292_3900_R	PF01966.21	23.8	3.9e-05	20.7	0.00035
AG-313-A10_2_28_25487_26029_R	PF01966.21	31.3	1.8e-07	30.8	2.7e-07
AG-313-A17_18_7_5863_7119_R	PF01966.21	35.1	1.2e-08	34.3	2.1e-08
AG-313-A18_19_2_478_1014_R	PF01966.21	28.4	1.5e-06	28.1	1.9e-06
AG-313-B04_2_35_40195_41430_R	PF01966.21	29.1	8.9e-07	28.3	1.6e-06
AG-313-B05_3_8_12279_12857_F	PF01966.21	24.2	3e-05	23.8	3.8e-05
AG-313-B09_39_5_4030_4647_R	PF01966.21	29.9	4.9e-07	29.4	7.3e-07
AG-313-C04_1_71_79348_79932_F	PF01966.21	29.1	8.9e-07	28.6	1.3e-06
AG-313-C05_9_46_47348_48574_F	PF01966.21	35.1	1.2e-08	31.4	1.8e-07
AG-313-C14_6_23_28606_30030_R	PF01966.21	40.6	2.5e-10	38.8	8.6e-10
AG-313-C17_3_20_14706_15290_R	PF01966.21	29.7	5.7e-07	29.1	8.6e-07
AG-313-D02_8_14_13781_14350_R	PF01966.21	27.4	2.9e-06	27.0	3.9e-06
AG-313-D08_3_84_89847_90431_F	PF01966.21	34.0	2.6e-08	33.6	3.5e-08
AG-313-D11_2_20_19749_20288_R	PF01966.21	27.1	3.8e-06	26.5	5.7e-06
AG-313-D11_6_15_14709_15266_R	PF01966.21	31.7	1.4e-07	31.0	2.3e-07
AG-313-D17_2_14_10875_11432_F	PF01966.21	26.8	4.7e-06	26.4	6e-06
AG-313-F06_1_113_120516_121121_F	PF01966.21	28.8	1.1e-06	27.8	2.3e-06
AG-313-F20_4_18_18530_19066_R	PF01966.21	27.2	3.4e-06	26.8	4.6e-06
AG-313-F20_7_4_3810_4367_F	PF01966.21	26.1	7.7e-06	25.0	1.7e-05
AG-313-G06_38_3_1398_1955_R	PF01966.21	26.3	6.7e-06	24.9	1.8e-05
AG-313-G17_3_14_13450_13986_R	PF01966.21	29.1	8.6e-07	28.8	1.1e-06
AG-313-G19_13_7_6073_6636_F	PF01966.21	24.2	3e-05	23.5	4.7e-05
AG-313-I06_1_5_4902_5459_F	PF01966.21	28.5	1.4e-06	27.4	3e-06
AG-313-I09_6_42_34196_34636_F	PF01966.21	22.1	0.00013	21.3	0.00023
AG-313-I15_22_9_7401_7955_F	PF01966.21	32.1	1e-07	31.5	1.6e-07
AG-313-I15_24_8_8481_9017_R	PF01966.21	35.3	1.1e-08	34.8	1.5e-08
AG-313-J11_9_13_9929_10486_F	PF01966.21	28.5	1.4e-06	27.4	3e-06
AG-313-J19_19_14_10201_10737_F	PF01966.21	27.6	2.5e-06	27.4	3.1e-06
AG-313-K05_5_28_25651_26184_R	PF01966.21	29.9	5e-07	29.2	8.5e-07
AG-313-K16_11_3_2557_3579_R	PF01966.21	39.0	7.5e-10	37.0	3.1e-09
AG-313-K22_12_11_10102_10638_R	PF01966.21	31.9	1.2e-07	31.3	1.9e-07
