locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
AG-670-L08_00651,AG-670-L08_8,27,623,,,,AG-670-L08,+,CDS,
AG-670-L08_00652,AG-670-L08_8,608,1678,,,,AG-670-L08,+,CDS,
AG-670-L08_00653,AG-670-L08_8,1718,2236,,,,AG-670-L08,+,CDS,
AG-670-L08_00654,AG-670-L08_8,2241,3464,,,,AG-670-L08,+,CDS,
AG-670-L08_00655,AG-670-L08_8,3468,4316,,,,AG-670-L08,+,CDS,
AG-670-L08_00656,AG-670-L08_8,4345,4905,,,,AG-670-L08,-,CDS,
AG-670-L08_00657,AG-670-L08_8,5180,5509,,,,AG-670-L08,+,CDS,
AG-670-L08_00658,AG-670-L08_8,6178,6387,,,,AG-670-L08,+,CDS,
AG-670-L08_00659,AG-670-L08_8,6572,7339,,,,AG-670-L08,+,CDS,
AG-670-L08_00660,AG-670-L08_8,7345,8259,,,,AG-670-L08,+,CDS,
AG-670-L08_00661,AG-670-L08_8,8241,9080,,,,AG-670-L08,+,CDS,
AG-670-L08_00662,AG-670-L08_8,9453,9566,,,,AG-670-L08,+,CDS,
AG-670-L08_00663,AG-670-L08_8,9563,10498,,,,AG-670-L08,-,CDS,
AG-670-L08_00664,AG-670-L08_8,10720,11739,,,,AG-670-L08,+,CDS,
AG-670-L08_00665,AG-670-L08_8,11967,13100,PPDH,PF00465,2.6e-66,AG-670-L08,-,CDS,AG-670-L08__00665_2182667
AG-670-L08_00666,AG-670-L08_8,13120,14256,PPDA,TIGR03297,1.3e-140,AG-670-L08,-,CDS,AG-670-L08__00666_2182667
AG-670-L08_00667,AG-670-L08_8,14259,15572,PEPM,TIGR02320,6.9e-124,AG-670-L08,-,CDS,AG-670-L08__00667_2182667
AG-670-L08_00668,AG-670-L08_8,15697,16137,,,,AG-670-L08,-,CDS,
AG-670-L08_00669,AG-670-L08_8,16109,17437,MPNS,hepdI,5e-118,AG-670-L08,-,CDS,AG-670-L08__00669_2182667
AG-670-L08_00670,AG-670-L08_8,17749,18276,,,,AG-670-L08,-,CDS,
AG-670-L08_00671,AG-670-L08_8,18548,19216,,,,AG-670-L08,+,CDS,
AG-670-L08_00672,AG-670-L08_8,19232,20269,,,,AG-670-L08,+,CDS,
AG-670-L08_00673,AG-670-L08_8,20266,21093,,,,AG-670-L08,+,CDS,
AG-670-L08_00674,AG-670-L08_8,21099,22034,,,,AG-670-L08,+,CDS,
AG-670-L08_00675,AG-670-L08_8,22071,22697,,,,AG-670-L08,+,CDS,
AG-670-L08_00676,AG-670-L08_8,22810,24153,,,,AG-670-L08,+,CDS,
AG-670-L08_00677,AG-670-L08_8,24156,24554,,,,AG-670-L08,+,CDS,
AG-670-L08_00678,AG-670-L08_8,24573,25559,,,,AG-670-L08,+,CDS,
AG-670-L08_00679,AG-670-L08_8,25641,26444,,,,AG-670-L08,+,CDS,
AG-670-L08_00680,AG-670-L08_8,26486,27115,,,,AG-670-L08,+,CDS,
AG-670-L08_00681,AG-670-L08_8,27112,27396,,,,AG-670-L08,+,CDS,
AG-670-L08_00682,AG-670-L08_8,27386,28978,,,,AG-670-L08,+,CDS,
AG-670-L08_00683,AG-670-L08_8,28985,29689,,,,AG-670-L08,+,CDS,
AG-670-L08_00684,AG-670-L08_8,29686,31083,,,,AG-670-L08,-,CDS,
