AG-359-A03_37_17_13497_14123_R	TIGR02324	281.3	1.3e-85	281.1	1.4e-85
AG-359-C07_16_13_8750_9427_R	TIGR02324	282.1	7.1e-86	282.0	8e-86
AG-359-C09_4_34_28197_28874_F	TIGR02324	282.1	7.1e-86	282.0	8e-86
AG-359-E10_3_1_34_711_F	TIGR02324	282.4	5.9e-86	282.2	6.7e-86
AG-359-F18_4_99_67716_68411_R	TIGR02324	286.6	3.1e-87	286.4	3.5e-87
AG-359-K08_1_26_21739_22416_F	TIGR02324	278.0	1.3e-84	277.8	1.5e-84
AG-359-L07_7_18_15049_15744_F	TIGR02324	286.1	4.5e-87	285.9	5e-87
AG-359-L21_3_8_4838_5506_F	TIGR02324	291.5	9.7e-89	291.3	1.1e-88
AG-359-M21_5_49_43355_44032_R	TIGR02324	282.1	7.1e-86	282.0	8e-86
AG-359-N22_1_97_80877_81554_R	TIGR02324	282.1	7.5e-86	281.9	8.5e-86
AG-359-O10_2_147_124605_125270_F	TIGR02324	295.2	7.3e-90	295.0	8.1e-90
AG-360-C11_1_12_8450_9124_F	TIGR02324	278.3	1e-84	278.1	1.2e-84
AG-360-C15_2_14_10705_11382_F	TIGR02324	281.6	1e-85	281.4	1.2e-85
AG-360-C19_47_2_693_1388_R	TIGR02324	286.6	3.1e-87	286.4	3.5e-87
AG-360-F21_64_3_786_1451_R	TIGR02324	294.8	9.7e-90	294.6	1.1e-89
AG-360-K11_3_24_17331_18008_R	TIGR02324	277.7	1.6e-84	277.5	1.8e-84
AG-360-L18_11_3_1224_1916_F	TIGR02324	300.6	1.6e-91	300.5	1.8e-91
AG-360-N03_18_14_10939_11604_R	TIGR02324	295.2	7.3e-90	295.0	8.1e-90
AG-360-N23_7_14_10614_11291_F	TIGR02324	279.6	4.3e-85	279.4	4.9e-85
AG-360-O20_3_26_21905_22582_F	TIGR02324	296.3	3.3e-90	296.1	3.8e-90
AG-360-P05_3_14_13033_13698_R	TIGR02324	279.7	4e-85	279.5	4.5e-85
AG-365-D23_1_34_34330_35034_F	TIGR02324	334.5	6.9e-102	334.3	7.8e-102
AG-365-M19_26_14_13279_13980_R	TIGR02324	327.7	8.2e-100	327.5	9.2e-100
AG-390-C11_5_7_4275_4949_F	TIGR02324	298.8	5.9e-91	298.6	6.6e-91
AG-390-F11_12_21_14588_15265_R	TIGR02324	281.0	1.6e-85	280.8	1.8e-85
AG-390-G08_20_18_15382_16074_F	TIGR02324	298.6	6.5e-91	298.4	7.3e-91
AG-390-L20_8_99_83714_84379_R	TIGR02324	295.2	7.3e-90	295.0	8.1e-90
AG-414-A01_8_13_10788_11462_R	TIGR02324	269.6	4.7e-82	269.5	5.2e-82
AG-414-B10_16_4_1827_2504_R	TIGR02324	278.0	1.3e-84	277.8	1.5e-84
AG-414-D10_11_31_27231_27908_F	TIGR02324	282.9	4.2e-86	282.7	4.7e-86
AG-414-I04_10_33_26719_27393_F	TIGR02324	278.3	1e-84	278.1	1.2e-84
AG-414-I19_5_38_32742_33419_R	TIGR02324	277.9	1.4e-84	277.7	1.6e-84
AG-414-K15_3_90_76039_76716_R	TIGR02324	279.2	5.6e-85	279.0	6.3e-85
AG-414-L09_6_44_41492_42169_F	TIGR02324	281.4	1.2e-85	281.2	1.3e-85
AG-414-L13_37_3_942_1616_F	TIGR02324	278.3	1e-84	278.1	1.2e-84
AG-414-M06_10_23_18858_19535_F	TIGR02324	278.0	1.3e-84	277.8	1.5e-84
AG-414-O09_6_46_39838_40515_R	TIGR02324	278.0	1.3e-84	277.8	1.5e-84
AG-414-O11_3_112_108637_109314_F	TIGR02324	285.6	6.1e-87	285.4	7e-87
AG-414-O15_22_33_30464_31132_R	TIGR02324	290.6	1.8e-88	290.4	2e-88
AG-414-P19_9_23_18922_19599_F	TIGR02324	278.0	1.3e-84	277.8	1.5e-84
AG-426-B08_4_14_11820_12485_R	TIGR02324	295.2	7.3e-90	295.0	8.1e-90
AG-426-C16_7_7_4677_5354_R	TIGR02324	278.0	1.3e-84	277.8	1.5e-84
AG-426-D13_1_97_81699_82376_R	TIGR02324	277.9	1.4e-84	277.8	1.5e-84
AG-426-E04_25_3_617_1294_R	TIGR02324	277.9	1.4e-84	277.8	1.5e-84
AG-426-E23_10_12_8653_9327_R	TIGR02324	269.8	4.2e-82	269.6	4.8e-82
AG-426-F11_10_23_19133_19810_F	TIGR02324	278.0	1.3e-84	277.8	1.5e-84
AG-426-F15_6_9_5038_5715_R	TIGR02324	278.0	1.3e-84	277.8	1.5e-84
AG-426-I14_60_2_429_1094_R	TIGR02324	295.2	7.3e-90	295.0	8.1e-90
AG-426-I21_6_14_11181_11855_R	TIGR02324	278.3	1e-84	278.1	1.2e-84
AG-426-J11_4_15_28147_28842_R	TIGR02324	274.4	1.7e-83	274.2	1.9e-83
AG-426-L13_1_19_15983_16666_R	TIGR02324	295.9	4.4e-90	295.7	5e-90
AG-426-N08_3_3_1271_1945_R	TIGR02324	269.8	4.3e-82	269.6	4.8e-82
AG-430-A20_3_64_55482_56156_F	TIGR02324	278.8	7.5e-85	278.6	8.7e-85
AG-430-B08_29_6_3831_4508_F	TIGR02324	279.1	5.9e-85	278.9	6.7e-85
AG-430-D11_4_18_12444_13139_F	TIGR02324	274.8	1.2e-83	274.6	1.4e-83
AG-430-E18_5_19_15478_16155_F	TIGR02324	277.9	1.4e-84	277.8	1.5e-84
AG-430-E18_5_4_2054_2731_R	TIGR02324	277.9	1.4e-84	277.8	1.5e-84
AG-430-E20_4_70_67815_68492_F	TIGR02324	281.0	1.6e-85	280.8	1.8e-85
AG-430-F09_22_17_14039_14731_F	TIGR02324	299.1	4.6e-91	298.9	5.1e-91
AG-430-F17_3_46_38803_39477_F	TIGR02324	278.3	1e-84	278.1	1.2e-84
AG-430-M22_73_6_3530_4195_F	TIGR02324	294.3	1.4e-89	294.1	1.5e-89
AG-430-N20_10_24_16602_17276_F	TIGR02324	278.3	1e-84	278.1	1.2e-84
AG-430-O05_15_8_4785_5462_F	TIGR02324	278.0	1.3e-84	277.8	1.5e-84
AG-430-O19_7_15_12595_13269_R	TIGR02324	275.5	7.4e-84	275.3	8.5e-84
AG-430-P03_18_13_9262_9936_F	TIGR02324	278.9	7e-85	278.7	8.1e-85
AG-430-P14_1_135_129308_129982_F	TIGR02324	269.6	4.7e-82	269.5	5.2e-82
AG-439-C07_8_14_11476_12159_R	TIGR02324	298.1	9.4e-91	297.9	1.1e-90
AG-447-C21_26_30_27249_27959_F	TIGR02324	318.8	4.4e-97	318.6	5e-97
AG-447-K02_13_28_28258_28968_R	TIGR02324	315.2	5.4e-96	315.0	6.2e-96
AG-457-O08_2_33_27597_28307_F	TIGR02324	339.1	2.6e-103	339.0	3e-103
AG-891-A05_6_73_70572_71249_F	TIGR02324	277.3	2.1e-84	277.1	2.4e-84
AG-891-A14_1_92_97668_98342_F	TIGR02324	302.6	3.9e-92	302.4	4.4e-92
AG-891-A21_7_20_17214_17882_F	TIGR02324	290.6	1.8e-88	290.4	2e-88
AG-891-B11_5_28_21675_22370_F	TIGR02324	274.4	1.7e-83	274.2	1.9e-83
AG-891-D05_6_21_16869_17546_F	TIGR02324	277.7	1.6e-84	277.5	1.8e-84
AG-891-F10_4_10_5841_6518_R	TIGR02324	281.6	1.1e-85	281.4	1.2e-85
AG-891-G03_10_38_36033_36698_F	TIGR02324	294.3	1.4e-89	294.1	1.5e-89
AG-891-I13_2_80_65254_65931_R	TIGR02324	281.6	1.1e-85	281.4	1.2e-85
AG-891-J04_2_203_202724_203398_F	TIGR02324	278.3	1e-84	278.1	1.2e-84
AG-891-J06_4_144_130713_131381_F	TIGR02324	285.2	7.9e-87	285.1	8.8e-87
AG-891-J10_13_18_14209_14874_F	TIGR02324	295.2	7.3e-90	295.0	8.1e-90
AG-891-K05_6_14_11725_12420_F	TIGR02324	275.6	7e-84	275.4	7.9e-84
AG-891-L23_18_16_13314_13991_F	TIGR02324	292.8	3.8e-89	292.6	4.3e-89
AG-891-N20_2_16_15001_15666_R	TIGR02324	279.7	4e-85	279.5	4.5e-85
AG-891-P17_1_38_32983_33678_F	TIGR02324	274.1	2e-83	274.0	2.2e-83
AG-891-P23_8_28_22665_23360_F	TIGR02324	286.6	3.1e-87	286.4	3.5e-87
AG-892-A04_16_21_17645_18310_F	TIGR02324	281.0	1.6e-85	280.8	1.7e-85
AG-892-B06_4_120_114121_114819_R	TIGR02324	278.1	1.2e-84	277.9	1.4e-84
AG-892-B19_5_29_24346_25020_F	TIGR02324	298.5	6.8e-91	298.4	7.7e-91
AG-892-C19_3_16_12811_13476_F	TIGR02324	295.2	7.3e-90	295.0	8.1e-90
AG-892-D19_2_40_37421_38131_F	TIGR02324	340.2	1.3e-103	340.0	1.4e-103
AG-892-E07_4_20_16817_17482_F	TIGR02324	281.4	1.2e-85	281.3	1.3e-85
AG-892-E08_3_182_169474_170151_F	TIGR02324	282.1	7.4e-86	281.9	8.4e-86
AG-892-F07_2_58_54497_55171_R	TIGR02324	269.6	4.7e-82	269.5	5.2e-82
AG-892-F19_13_17_12968_13660_F	TIGR02324	298.6	6.5e-91	298.4	7.3e-91
AG-892-F22_4_68_67670_68335_R	TIGR02324	295.2	7.3e-90	295.0	8.1e-90
AG-892-G03_2_30_27150_27845_F	TIGR02324	286.1	4.5e-87	285.9	5e-87
AG-892-G22_2_202_172891_173568_R	TIGR02324	277.9	1.4e-84	277.8	1.5e-84
AG-892-I13_7_14_10941_11606_F	TIGR02324	294.8	9.7e-90	294.6	1.1e-89
AG-892-J06_35_5_3189_3863_F	TIGR02324	269.8	4.2e-82	269.6	4.8e-82
AG-892-J13_11_26_14812_15507_R	TIGR02324	286.6	3.1e-87	286.4	3.5e-87
AG-892-M03_7_30_26993_27667_F	TIGR02324	269.8	4.2e-82	269.6	4.8e-82
AG-892-M06_2_100_90881_91555_F	TIGR02324	278.3	1e-84	278.1	1.2e-84
AG-892-M17_5_13_12744_13409_R	TIGR02324	293.9	1.8e-89	293.7	2e-89
AG-892-N18_27_2_429_1094_R	TIGR02324	295.2	7.3e-90	295.0	8.1e-90
AG-892-O13_2_20_14994_15671_F	TIGR02324	277.8	1.5e-84	277.6	1.7e-84
AG-892-O16_1_72_65977_66642_R	TIGR02324	295.2	7.1e-90	295.0	7.9e-90
AG-892-P13_17_14_13321_13986_R	TIGR02324	295.2	7.3e-90	295.0	8.1e-90
AG-893-B07_4_33_26634_27308_F	TIGR02324	278.3	1e-84	278.1	1.2e-84
AG-893-C03_4_25_16789_17463_F	TIGR02324	278.3	1e-84	278.1	1.2e-84
AG-893-E11_12_5_3360_4055_R	TIGR02324	275.4	8.3e-84	275.2	9.4e-84
AG-893-E15_3_25_19149_19844_F	TIGR02324	286.6	3.1e-87	286.4	3.5e-87
AG-893-F05_3_94_81543_82238_F	TIGR02324	275.4	8.3e-84	275.2	9.4e-84
AG-893-G05_2_120_107836_108501_R	TIGR02324	295.2	7.3e-90	295.0	8.1e-90
AG-893-G16_5_94_95612_96286_F	TIGR02324	302.6	3.9e-92	302.4	4.4e-92
AG-893-J17_4_15_13165_13839_R	TIGR02324	298.8	5.9e-91	298.6	6.6e-91
AG-893-K18_1_38_24740_25417_F	TIGR02324	293.5	2.3e-89	293.3	2.7e-89
AG-893-L04_4_79_65181_65855_R	TIGR02324	278.3	1e-84	278.1	1.2e-84
AG-893-L07_5_72_57973_58650_R	TIGR02324	278.0	1.3e-84	277.8	1.5e-84
AG-893-L10_41_6_3891_4556_F	TIGR02324	295.2	7.3e-90	295.0	8.1e-90
AG-893-M03_2_19_13644_14318_F	TIGR02324	277.5	1.9e-84	277.3	2.2e-84
AG-893-M17_7_56_53875_54570_F	TIGR02324	286.1	4.5e-87	285.9	5e-87
AG-893-M18_13_26_21105_21779_F	TIGR02324	297.3	1.6e-90	297.2	1.8e-90
AG-893-N10_16_18_15886_16554_R	TIGR02324	291.5	9.7e-89	291.3	1.1e-88
AG-893-N22_1_26_21797_22474_F	TIGR02324	281.6	1.1e-85	281.4	1.2e-85
AG-893-O20_36_6_4662_5327_R	TIGR02324	295.2	7.3e-90	295.0	8.1e-90
AG-893-P05_4_99_95253_95918_F	TIGR02324	294.5	1.2e-89	294.4	1.3e-89
AG-894-A10_5_33_26718_27395_R	TIGR02324	278.0	1.3e-84	277.8	1.5e-84
AG-894-A16_1_292_255199_255864_F	TIGR02324	294.3	1.4e-89	294.1	1.5e-89
AG-894-B17_6_27_25279_25953_R	TIGR02324	269.6	4.7e-82	269.5	5.2e-82
AG-894-B22_51_9_6424_7092_F	TIGR02324	290.6	1.8e-88	290.4	2e-88
AG-894-C08_2_11_8188_8862_F	TIGR02324	303.7	1.8e-92	303.6	2e-92
AG-894-C14_5_41_35821_36498_R	TIGR02324	281.6	1.1e-85	281.4	1.2e-85
AG-894-D22_27_2_105_782_R	TIGR02324	276.1	5e-84	275.9	5.6e-84
AG-894-E05_3_88_93561_94265_R	TIGR02324	294.3	1.3e-89	294.2	1.5e-89
AG-894-E21_4_11_6994_7671_R	TIGR02324	279.8	3.7e-85	279.6	4.2e-85
AG-894-F10_18_17_16887_17564_R	TIGR02324	302.9	3.1e-92	302.7	3.6e-92
AG-894-F19_56_3_1217_1912_F	TIGR02324	274.4	1.7e-83	274.2	1.9e-83
AG-894-I22_1_248_251170_251865_F	TIGR02324	286.6	3.1e-87	286.4	3.5e-87
AG-894-K13_18_11_7778_8452_R	TIGR02324	278.3	1e-84	278.1	1.2e-84
AG-894-K22_5_54_47207_47881_R	TIGR02324	278.4	9.9e-85	278.2	1.1e-84
AG-894-L05_2_109_104120_104788_R	TIGR02324	291.5	9.7e-89	291.3	1.1e-88
AG-894-L17_1_80_76543_77220_F	TIGR02324	277.9	1.4e-84	277.8	1.5e-84
AG-894-M05_7_36_30575_31267_F	TIGR02324	298.6	6.5e-91	298.4	7.3e-91
AG-894-M09_27_4_2514_3200_R	TIGR02324	297.2	1.8e-90	297.0	2e-90
AG-894-M11_13_17_13091_13765_R	TIGR02324	269.8	4.2e-82	269.6	4.8e-82
AG-894-M23_38_2_362_1039_R	TIGR02324	282.1	7.4e-86	281.9	8.4e-86
AG-895-B04_57_2_664_1338_R	TIGR02324	269.6	4.7e-82	269.5	5.2e-82
AG-895-B13_19_12_8613_9290_F	TIGR02324	293.5	2.3e-89	293.3	2.7e-89
AG-895-B19_2_53_51853_52530_F	TIGR02324	278.0	1.3e-84	277.8	1.5e-84
AG-895-D04_7_69_60359_61054_R	TIGR02324	274.4	1.7e-83	274.2	1.9e-83
AG-895-E06_3_71_55440_56105_R	TIGR02324	294.8	9.7e-90	294.6	1.1e-89
AG-895-F06_18_27_22179_22883_F	TIGR02324	294.6	1.1e-89	294.4	1.2e-89
AG-895-F07_3_43_35008_35682_F	TIGR02324	278.3	1e-84	278.1	1.2e-84
AG-895-F09_1_75_84093_84767_F	TIGR02324	302.0	5.8e-92	301.9	6.4e-92
AG-895-I03_21_13_11659_12336_F	TIGR02324	293.5	2.3e-89	293.3	2.7e-89
AG-895-J17_5_79_62379_63053_R	TIGR02324	278.3	1e-84	278.1	1.2e-84
AG-895-J18_15_13_10249_10914_R	TIGR02324	281.0	1.6e-85	280.8	1.7e-85
AG-895-K08_31_5_3254_3919_R	TIGR02324	279.7	4e-85	279.5	4.5e-85
