locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
AG-469-F22_00526,AG-469-F22_11,586,1383,,,,AG-469-F22,-,CDS,
AG-469-F22_00527,AG-469-F22_11,1521,3605,,,,AG-469-F22,+,CDS,
AG-469-F22_00528,AG-469-F22_11,3739,4614,,,,AG-469-F22,+,CDS,
AG-469-F22_00529,AG-469-F22_11,4650,5822,,,,AG-469-F22,+,CDS,
AG-469-F22_00530,AG-469-F22_11,6102,7412,PEPM,TIGR02320,2.3e-124,AG-469-F22,+,CDS,AG-469-F22__00530_2182667
AG-469-F22_00531,AG-469-F22_11,7405,8550,PPDA,TIGR03297,1.2e-141,AG-469-F22,+,CDS,AG-469-F22__00531_2182667
AG-469-F22_00532,AG-469-F22_11,8551,9681,PPDH,PF00465,5.3e-76,AG-469-F22,+,CDS,AG-469-F22__00532_2182667
AG-469-F22_00533,AG-469-F22_11,10024,10683,,,,AG-469-F22,+,CDS,
AG-469-F22_00534,AG-469-F22_11,10688,10909,,,,AG-469-F22,-,CDS,
AG-469-F22_00535,AG-469-F22_11,10940,11803,,,,AG-469-F22,-,CDS,
AG-469-F22_00536,AG-469-F22_11,11807,12709,,,,AG-469-F22,+,CDS,
AG-469-F22_00537,AG-469-F22_11,12713,14878,,,,AG-469-F22,-,CDS,
AG-469-F22_00538,AG-469-F22_11,15071,15358,,,,AG-469-F22,-,CDS,
AG-469-F22_00539,AG-469-F22_11,15440,16519,,,,AG-469-F22,-,CDS,
AG-469-F22_00540,AG-469-F22_11,16529,17806,,,,AG-469-F22,-,CDS,
AG-469-F22_00541,AG-469-F22_11,17938,19404,,,,AG-469-F22,-,CDS,
AG-469-F22_00542,AG-469-F22_11,19424,20563,,,,AG-469-F22,-,CDS,
AG-469-F22_00543,AG-469-F22_11,20636,21049,,,,AG-469-F22,-,CDS,
AG-469-F22_00544,AG-469-F22_11,21046,21432,,,,AG-469-F22,-,CDS,
AG-469-F22_00545,AG-469-F22_11,21444,21581,,,,AG-469-F22,-,CDS,
AG-469-F22_00546,AG-469-F22_11,21612,22187,,,,AG-469-F22,-,CDS,
AG-469-F22_00547,AG-469-F22_11,22253,22636,,,,AG-469-F22,-,CDS,
