locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
NAT182_01052,NAT182_39,55,798,,,,NAT182,+,CDS,
NAT182_01053,NAT182_39,790,1581,,,,NAT182,-,CDS,
NAT182_01054,NAT182_39,1617,2414,,,,NAT182,+,CDS,
NAT182_01055,NAT182_39,2411,3109,,,,NAT182,-,CDS,
NAT182_01056,NAT182_39,3144,4493,,,,NAT182,+,CDS,
NAT182_01057,NAT182_39,4496,6319,,,,NAT182,+,CDS,
NAT182_01058,NAT182_39,6306,7322,,,,NAT182,+,CDS,
NAT182_01059,NAT182_39,7319,8023,,,,NAT182,-,CDS,
NAT182_01060,NAT182_39,8016,9023,PPDH,PF00465,4.4e-48,NAT182,-,CDS,NAT182__01060_2183191
NAT182_01061,NAT182_39,9029,10126,PPDA,TIGR03297,1.3e-111,NAT182,-,CDS,NAT182__01061_2183191
NAT182_01062,NAT182_39,10127,11428,PEPM,TIGR02320,3.1e-115,NAT182,-,CDS,NAT182__01062_2183191
