AG-313-A04_1_237_229103_229609_F	PF00583.24	35.6	9.8e-09	35.3	1.2e-08
AG-313-A07_16_17_18496_18984_R	PF00583.24	48.6	9.6e-13	48.3	1.1e-12
AG-313-A07_1_90_95096_95476_R	PF00583.24	48.5	1e-12	48.1	1.3e-12
AG-313-A07_5_44_32517_33020_R	PF00583.24	30.8	3.2e-07	30.4	4.2e-07
AG-313-A07_5_70_58715_59182_R	PF00583.24	61.3	1.1e-16	61.0	1.3e-16
AG-313-A07_89_2_245_958_F	PF00583.24	47.5	2e-12	46.9	3.2e-12
AG-313-A10_21_4_2067_2567_R	PF00583.24	42.0	1e-10	41.7	1.3e-10
AG-313-A11_20_2_227_658_R	PF00583.24	53.2	3.5e-14	52.8	4.5e-14
AG-313-A11_4_18_15805_16308_R	PF00583.24	28.3	1.9e-06	28.0	2.3e-06
AG-313-A13_8_8_5730_6167_F	PF00583.24	46.4	4.4e-12	46.1	5.5e-12
AG-313-A14_3_14_8983_9417_R	PF00583.24	37.4	2.9e-09	37.0	3.6e-09
AG-313-A14_7_37_35649_36128_F	PF00583.24	46.9	3.2e-12	46.6	4e-12
AG-313-A15_10_13_18191_18691_F	PF00583.24	67.3	1.5e-18	67.0	1.9e-18
AG-313-A15_1_39_43423_43917_R	PF00583.24	63.1	3.1e-17	62.8	3.7e-17
AG-313-A15_16_4_1571_1993_F	PF00583.24	45.8	7e-12	45.5	8.3e-12
AG-313-A15_9_28_25696_26190_F	PF00583.24	45.5	8.9e-12	45.1	1.1e-11
AG-313-A17_5_20_18070_18573_R	PF00583.24	53.1	3.9e-14	52.7	5e-14
AG-313-A18_20_3_691_1194_R	PF00583.24	38.5	1.3e-09	38.2	1.6e-09
AG-313-A20_11_23_14414_14887_R	PF00583.24	61.9	7e-17	61.5	9.2e-17
AG-313-A20_2_54_45232_45765_F	PF00583.24	34.6	2.1e-08	34.3	2.6e-08
AG-313-A23_8_12_6125_6637_R	PF00583.24	45.8	6.9e-12	45.6	8.2e-12
AG-313-B04_1_34_24900_25415_R	PF00583.24	46.9	3.1e-12	46.2	5.1e-12
AG-313-B04_7_13_11504_11989_R	PF00583.24	61.1	1.3e-16	60.7	1.7e-16
AG-313-B05_13_20_18839_19312_R	PF00583.24	55.7	6e-15	55.3	7.6e-15
AG-313-B05_13_7_4630_5163_R	PF00583.24	36.8	4.2e-09	36.5	5.3e-09
AG-313-B05_9_27_24058_24546_R	PF00583.24	42.7	6.3e-11	42.4	8.1e-11
AG-313-B09_10_11_10086_10400_F	PF00583.24	44.3	2e-11	44.3	2e-11
AG-313-B09_10_7_7414_7854_F	PF00583.24	57.8	1.3e-15	57.4	1.7e-15
AG-313-B09_11_46_42020_42445_F	PF00583.24	64.7	9.8e-18	64.3	1.2e-17
AG-313-B09_14_33_31838_32374_F	PF00583.24	38.6	1.2e-09	38.3	1.5e-09
AG-313-B09_2_64_64254_64712_R	PF00583.24	63.1	3e-17	62.8	3.6e-17
AG-313-B09_34_7_7696_8106_R	PF00583.24	57.2	2e-15	57.0	2.3e-15
AG-313-B09_37_8_3942_4382_R	PF00583.24	43.2	4.6e-11	42.9	5.6e-11
AG-313-B09_49_2_288_803_F	PF00583.24	26.8	5.5e-06	26.5	6.7e-06
AG-313-B10_20_2_672_1139_F	PF00583.24	43.3	4.1e-11	43.1	4.9e-11
AG-313-B10_24_2_591_1028_R	PF00583.24	40.7	2.6e-10	40.5	3.1e-10
AG-313-B13_22_5_6622_7116_F	PF00583.24	63.1	3.1e-17	62.8	3.7e-17
AG-313-B13_2_40_43664_44131_F	PF00583.24	60.9	1.5e-16	60.6	1.8e-16
AG-313-B13_35_2_634_1128_F	PF00583.24	45.4	8.9e-12	45.1	1.1e-11
AG-313-B13_3_58_56831_57253_R	PF00583.24	45.8	7e-12	45.5	8.3e-12
AG-313-B19_18_6_4215_4652_F	PF00583.24	49.1	6.5e-13	48.8	8.1e-13
AG-313-B20_10_10_9838_10353_R	PF00583.24	67.1	1.7e-18	66.8	2.2e-18
AG-313-B20_2_65_57838_58977_F	PF00583.24	28.7	1.4e-06	19.1	0.0013
AG-313-B20_4_9_7483_7968_F	PF00583.24	55.2	8.5e-15	54.9	1e-14
AG-313-B22_2_46_47057_47566_F	PF00583.24	61.6	8.5e-17	61.3	1e-16
AG-313-B22_29_3_474_920_F	PF00583.24	51.7	1e-13	51.4	1.3e-13
AG-313-B22_3_41_35707_36846_F	PF00583.24	33.8	3.7e-08	19.1	0.0013
AG-313-B22_6_37_32895_33365_F	PF00583.24	58.8	6.3e-16	58.5	8e-16
AG-313-B22_8_16_14516_15001_R	PF00583.24	56.7	2.9e-15	56.4	3.6e-15
AG-313-C02_22_4_1535_1972_F	PF00583.24	51.5	1.2e-13	51.3	1.4e-13
AG-313-C03_16_28_26927_28051_F	PF00583.24	31.9	1.4e-07	27.3	3.7e-06
AG-313-C03_32_10_8016_8480_F	PF00583.24	55.3	7.8e-15	55.0	9.8e-15
