Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
A9_spades	Pelagibacteraceae (4)	15	695	142	17.35	0.04	100.00	272231	0	26	26	15072	15072	10470	10470	29250	29250	30.2	2.76	94.09	11	346	540	154	1	0	0	0
AAA023-L09	Pelagibacteraceae (4)	15	695	142	54.98	1.80	85.71	740796	8	38	38	31312	31312	19494	19494	59964	59963	29.1	2.29	95.83	11	827	259	417	18	1	0	0
AAA024-N17	Pelagibacteraceae (4)	15	695	142	24.78	0.54	40.00	310608	15	29	29	17129	17129	10710	10710	35260	35260	30.0	4.59	93.64	11	347	522	168	5	0	0	0
AAA027-C06	Pelagibacteraceae (4)	15	695	142	64.64	1.12	36.36	734419	4	44	44	38495	38495	16691	16691	70157	70157	29.6	4.46	95.50	11	828	231	453	11	0	0	0
AAA027-J10	Pelagibacteraceae (4)	15	695	142	67.34	0.83	40.00	744238	3	26	26	45498	45498	28624	28624	96767	96767	29.7	2.42	95.39	11	828	230	460	5	0	0	0
AAA027-L15	Pelagibacteraceae (4)	15	695	142	63.46	0.86	33.33	687112	3	17	17	126188	126187	40418	40418	245217	245216	29.3	4.02	96.34	11	758	270	419	6	0	0	0
AAA028-C07	Pelagibacteraceae (4)	15	695	142	72.80	1.21	0.00	834848	7	16	16	88240	88240	52178	52177	203146	203146	29.5	2.15	96.14	11	938	178	512	5	0	0	0
AAA028-D10	Pelagibacteraceae (4)	15	695	142	75.71	1.29	50.00	895141	1786	23	32	126387	126386	38919	27917	176148	176147	29.6	2.06	94.73	11	992	170	517	8	0	0	0
AAA240-E13	Pelagibacteraceae (4)	15	695	142	74.24	2.66	15.00	1318823	18	57	58	61913	61913	23137	22738	112059	112059	28.9	3.65	93.81	11	1419	117	560	17	1	0	0
AAA280-B11	Pelagibacteraceae (4)	15	695	142	53.07	0.65	0.00	653924	9	29	29	35544	35544	22549	22548	54526	54524	29.9	3.13	95.04	11	760	356	335	4	0	0	0
AAA280-P20	Pelagibacteraceae (4)	15	695	142	59.93	0.83	0.00	692456	2	30	30	35627	35627	23081	23081	90870	90870	29.5	2.77	94.94	11	754	277	414	4	0	0	0
AAA288-E13	Pelagibacteraceae (4)	15	695	142	48.82	2.03	46.15	771518	14	60	60	27039	27039	12858	12858	99567	99567	29.0	3.63	93.52	11	856	331	351	13	0	0	0
AAA288-G21	Pelagibacteraceae (4)	15	695	142	59.75	0.09	100.00	836678	17	45	45	31391	31391	18592	18592	85870	85870	29.9	2.66	94.05	11	920	297	396	2	0	0	0
AAA288-N07	Pelagibacteraceae (4)	15	695	142	56.18	0.85	44.44	922244	12	45	45	37425	37424	20494	20494	88003	88002	29.1	3.36	94.42	11	1017	276	410	9	0	0	0
AAA487-M09	Pelagibacteraceae (4)	15	695	142	46.46	1.78	79.17	574574	3	33	33	28248	28248	17411	17411	54427	54427	29.0	2.04	95.82	11	669	316	357	21	1	0	0
AAA795-A08	Pelagibacteraceae (4)	15	695	142	24.58	0.03	100.00	345366	0	24	24	37626	37626	14390	14390	67335	67335	28.3	2.74	95.64	11	373	549	145	1	0	0	0
AAA795-A20	Pelagibacteraceae (4)	15	695	142	87.53	0.00	0.00	1114625	0	31	31	106301	106301	35955	35955	164562	164562	29.2	2.34	96.24	11	1199	76	619	0	0	0	0
AAA795-B16	Pelagibacteraceae (4)	15	695	142	42.55	0.03	0.00	497805	0	40	40	18649	18649	12445	12445	59748	59748	29.3	2.63	95.89	11	581	369	325	1	0	0	0
AAA795-C09	Pelagibacteraceae (4)	15	695	142	51.99	0.85	0.00	616683	0	27	27	62015	62015	22840	22840	115530	115530	28.4	2.70	95.92	11	696	323	369	3	0	0	0
AAA795-C10	Pelagibacteraceae (4)	15	695	142	36.53	0.23	100.00	453094	0	24	24	51223	51223	18878	18878	63581	63581	29.4	1.62	95.82	11	510	505	189	1	0	0	0
AAA795-D22	Pelagibacteraceae (4)	15	695	142	82.23	0.35	0.00	978204	0	33	33	79594	79594	29642	29642	163519	163519	28.8	3.38	96.56	11	1065	127	567	1	0	0	0
AAA795-E07	Pelagibacteraceae (4)	15	695	142	61.44	0.28	33.33	613294	0	27	27	50970	50970	22714	22714	118265	118265	29.8	2.14	96.96	11	676	278	414	3	0	0	0
AAA795-E22	Pelagibacteraceae (4)	15	695	142	55.40	0.22	33.33	775868	0	34	34	56618	56618	22819	22819	205219	205219	29.0	2.17	96.38	11	829	245	444	6	0	0	0
AAA795-F16	Pelagibacteraceae (4)	15	695	142	67.56	0.00	0.00	895136	0	22	22	101331	101331	40688	40688	362296	362296	29.1	2.54	96.31	11	970	207	488	0	0	0	0
AAA795-G15	Pelagibacteraceae (4)	15	695	142	19.34	0.42	0.00	257662	0	27	27	15870	15870	9543	9543	52603	52603	30.3	3.01	96.22	11	323	573	119	3	0	0	0
AAA795-J21	Pelagibacteraceae (4)	15	695	142	54.73	0.00	0.00	825765	0	23	23	120490	120490	35902	35902	195050	195050	29.1	2.18	96.12	11	912	303	392	0	0	0	0
AAA795-K18	Pelagibacteraceae (4)	15	695	142	49.45	1.06	0.00	661788	0	37	37	40193	40193	17886	17886	158450	158450	30.0	2.69	96.73	11	724	421	272	2	0	0	0
