enzyme	seqid	genome	contig	gene_no	start	end	strand	pfam	dbit	devalue	fullbit	fullevalue
phnS2	AG-359-B02_2_9_3654_4706_F	AG-359-B02	2	9	3654	4706	F	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnT2	AG-359-B02_2_10_4788_5894_F	AG-359-B02	2	10	4788	5894	F	TIGR03265	473.2	6.3e-144	473	7.2e-144
phnU2	AG-359-B02_2_11_5899_7638_F	AG-359-B02	2	11	5899	7638	F	TIGR03262	706.8	2.3e-214	706.6	2.7e-214
hpnW	AG-359-B02_2_13_8415_9560_F	AG-359-B02	2	13	8415	9560	F	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnZ	AG-359-B02_2_14_9557_10135_R	AG-359-B02	2	14	9557	10135	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnZ	AG-359-F16_11_34_21842_22429_F	AG-359-F16	11	34	21842	22429	F	PF01966.21	28.1	1.8e-6	27.6	2.6e-6
hpnW	AG-359-F16_11_35_22418_23563_R	AG-359-F16	11	35	22418	23563	R	TIGR03364	420.3	4.9e-128	420.2	5.5e-128
phnU2	AG-359-F16_11_37_24337_26076_R	AG-359-F16	11	37	24337	26076	R	TIGR03262	707	2e-214	706.8	2.4e-214
phnT2	AG-359-F16_11_38_26081_27187_R	AG-359-F16	11	38	26081	27187	R	TIGR03265	472.9	7.9e-144	472.7	9.1e-144
phnS2	AG-359-F16_11_39_27269_28321_R	AG-359-F16	11	39	27269	28321	R	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnZ	AG-359-I05_1_130_120457_121029_F	AG-359-I05	1	130	120457	121029	F	PF01966.21	27.6	2.7e-6	26.9	4.3e-6
hpnW	AG-359-I05_1_131_121031_122176_R	AG-359-I05	1	131	121031	122176	R	TIGR03364	421	3e-128	420.9	3.4e-128
phnU2	AG-359-I05_1_133_122951_124711_R	AG-359-I05	1	133	122951	124711	R	TIGR03262	706.5	2.9e-214	706.2	3.4e-214
phnT2	AG-359-I05_1_134_124695_125801_R	AG-359-I05	1	134	124695	125801	R	TIGR03265	473.2	6.3e-144	473	7.2e-144
phnS2	AG-359-I05_1_135_125883_126935_R	AG-359-I05	1	135	125883	126935	R	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
hpnW	AG-360-B22_16_3_2009_3154_F	AG-360-B22	16	3	2009	3154	F	TIGR03364	419.8	7.1e-128	419.6	8e-128
phnZ	AG-360-B22_16_4_3151_3729_R	AG-360-B22	16	4	3151	3729	R	PF01966.21	27.2	3.5e-6	26.6	5.4e-6
phnZ	AG-360-E03_29_3_1313_1891_F	AG-360-E03	29	3	1313	1891	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-360-E03_29_4_1888_3033_R	AG-360-E03	29	4	1888	3033	R	TIGR03364	419.8	7.1e-128	419.6	8e-128
phnZ	AG-360-I02_15_3_1391_1969_F	AG-360-I02	15	3	1391	1969	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-360-I02_15_4_1966_3111_R	AG-360-I02	15	4	1966	3111	R	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnU2	AG-360-I02_15_6_3885_5645_R	AG-360-I02	15	6	3885	5645	R	TIGR03262	705.4	6.3e-214	705.1	7.5e-214
phnT2	AG-360-I02_15_7_5629_6735_R	AG-360-I02	15	7	5629	6735	R	TIGR03265	472.7	9e-144	472.5	1e-143
phnS2	AG-360-I02_15_8_6817_7869_R	AG-360-I02	15	8	6817	7869	R	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnZ	AG-426-D20_1_32_18177_18755_F	AG-426-D20	1	32	18177	18755	F	PF01966.21	28.1	1.8e-6	27.7	2.5e-6
hpnW	AG-426-D20_1_33_18752_19837_R	AG-426-D20	1	33	18752	19837	R	TIGR03364	382.2	1.9e-116	382.1	2.1e-116
phnU2	AG-426-D20_1_36_20672_22411_R	AG-426-D20	1	36	20672	22411	R	TIGR03262	704.3	1.3e-213	704.1	1.5e-213
phnT2	AG-426-D20_1_37_22416_23522_R	AG-426-D20	1	37	22416	23522	R	TIGR03265	472.2	1.3e-143	472	1.5e-143
phnS2	AG-426-D20_1_38_23604_24656_R	AG-426-D20	1	38	23604	24656	R	TIGR03261	459.3	8.7e-140	459	1e-139
hpnW	AG-426-I02_4_1_1_1032_F	AG-426-I02	4	1	1	1032	F	TIGR03364	361.6	3.5e-110	361.4	3.9e-110
phnZ	AG-426-I02_4_2_1029_1607_R	AG-426-I02	4	2	1029	1607	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnS2	AG-426-I23_24_6_2919_3971_F	AG-426-I23	24	6	2919	3971	F	TIGR03261	458	2.1e-139	457.8	2.5e-139
phnT2	AG-426-I23_24_7_4053_5159_F	AG-426-I23	24	7	4053	5159	F	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnU2	AG-426-I23_24_8_5164_6903_F	AG-426-I23	24	8	5164	6903	F	TIGR03262	705.2	7.3e-214	704.9	8.6e-214
hpnW	AG-426-I23_24_10_7677_8822_F	AG-426-I23	24	10	7677	8822	F	TIGR03364	419.8	7.1e-128	419.6	8e-128
phnZ	AG-426-I23_24_11_8819_9397_R	AG-426-I23	24	11	8819	9397	R	PF01966.21	26.9	4.4e-6	26.2	6.8e-6
phnU2	AG-426-N02_47_1_2_1612_F	AG-426-N02	47	1	2	1612	F	TIGR03262	689.1	5.4e-209	688.9	6e-209
hpnW	AG-426-N02_47_3_2386_3531_F	AG-426-N02	47	3	2386	3531	F	TIGR03364	419.5	8.5e-128	419.4	9.6e-128
phnZ	AG-426-N02_47_4_3528_4106_R	AG-426-N02	47	4	3528	4106	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnZ	AG-426-N05_10_4_1607_2185_F	AG-426-N05	10	4	1607	2185	F	PF01966.21	26.5	5.6e-6	26	8.1e-6
hpnW	AG-426-N05_10_5_2182_3327_R	AG-426-N05	10	5	2182	3327	R	TIGR03364	419.8	7.3e-128	419.6	8.2e-128
phnU2	AG-426-N05_10_7_4101_5840_R	AG-426-N05	10	7	4101	5840	R	TIGR03262	706.6	2.7e-214	706.4	3.1e-214
phnT2	AG-426-N05_10_8_5845_6951_R	AG-426-N05	10	8	5845	6951	R	TIGR03265	471.9	1.5e-143	471.7	1.7e-143
phnS2	AG-426-N05_10_9_7033_8085_R	AG-426-N05	10	9	7033	8085	R	TIGR03261	459.3	8.5e-140	459.1	1e-139
phnS2	AG-426-N09_1_78_44197_45249_F	AG-426-N09	1	78	44197	45249	F	TIGR03261	457.9	2.3e-139	457.6	2.8e-139
phnT2	AG-426-N09_1_79_45331_46437_F	AG-426-N09	1	79	45331	46437	F	TIGR03265	473.5	5e-144	473.3	5.7e-144
phnU2	AG-426-N09_1_80_46442_48181_F	AG-426-N09	1	80	46442	48181	F	TIGR03262	705.2	7.3e-214	704.9	8.6e-214
hpnW	AG-426-N09_1_82_48956_50101_F	AG-426-N09	1	82	48956	50101	F	TIGR03364	419.8	7.1e-128	419.6	8e-128
phnZ	AG-426-N09_1_83_50098_50676_R	AG-426-N09	1	83	50098	50676	R	PF01966.21	28	1.9e-6	27.5	2.8e-6
phnZ	AG-426-N14_7_18_9270_9848_F	AG-426-N14	7	18	9270	9848	F	PF01966.21	28	1.9e-6	26.9	4.3e-6
hpnW	AG-426-N14_7_19_9845_10990_R	AG-426-N14	7	19	9845	10990	R	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnU2	AG-426-N14_7_21_11764_13503_R	AG-426-N14	7	21	11764	13503	R	TIGR03262	704.6	1.1e-213	704.4	1.3e-213
phnT2	AG-426-N14_7_22_13508_14614_R	AG-426-N14	7	22	13508	14614	R	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnS2	AG-426-N14_7_23_14696_15748_R	AG-426-N14	7	23	14696	15748	R	TIGR03261	459.5	7.5e-140	459.2	9e-140
phnS2	AG-430-E04_8_9_2739_3821_F	AG-430-E04	8	9	2739	3821	F	TIGR03261	454.9	1.8e-138	454.7	2.2e-138
phnT2	AG-430-E04_8_10_3903_5009_F	AG-430-E04	8	10	3903	5009	F	TIGR03265	472.9	7.6e-144	472.7	8.7e-144
phnU2	AG-430-E04_8_11_5014_6753_F	AG-430-E04	8	11	5014	6753	F	TIGR03262	708.4	7.6e-215	708.2	8.9e-215
hpnW	AG-430-E04_8_13_7525_8670_F	AG-430-E04	8	13	7525	8670	F	TIGR03364	421.2	2.6e-128	421.1	2.9e-128
phnZ	AG-430-E04_8_14_8667_9245_R	AG-430-E04	8	14	8667	9245	R	PF01966.21	28.9	1e-6	28.2	1.7e-6
phnZ	AG-430-N06_25_3_1377_1955_F	AG-430-N06	25	3	1377	1955	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-430-N06_25_4_1952_3097_R	AG-430-N06	25	4	1952	3097	R	TIGR03364	418.5	1.7e-127	418.3	2e-127
phnU2	AG-430-N06_25_6_3872_5533_R	AG-430-N06	25	6	3872	5533	R	TIGR03262	703.5	2.3e-213	703.3	2.6e-213
phnZ	AG-891-B08_5_14_7187_7765_F	AG-891-B08	5	14	7187	7765	F	PF01966.21	27.8	2.3e-6	27.3	3.2e-6
hpnW	AG-891-B08_5_15_7762_8907_R	AG-891-B08	5	15	7762	8907	R	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnU2	AG-891-B08_5_17_9682_11421_R	AG-891-B08	5	17	9682	11421	R	TIGR03262	706	4e-214	705.8	4.7e-214
phnT2	AG-891-B08_5_18_11426_12532_R	AG-891-B08	5	18	11426	12532	R	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
