AG-313-B10_2_7_7175_8275_F	TIGR03297	365.7	5.1e-111	365.5	5.8e-111
AG-313-D18_25_2_986_2086_R	TIGR03297	366.8	2.3e-111	366.7	2.5e-111
AG-313-F20_12_11_7677_8777_R	TIGR03297	372.3	5e-113	372.1	5.5e-113
AG-313-I18_24_2_869_1969_R	TIGR03297	365.1	7.7e-111	364.9	8.6e-111
AG-313-K22_14_4_3664_4755_F	TIGR03297	397.3	1.3e-120	397.1	1.4e-120
AG-313-N22_48_4_3309_4418_R	TIGR03297	344.7	1.2e-104	344.5	1.4e-104
AG-319-C06_26_5_4012_5145_F	TIGR03297	468.7	2.5e-142	468.5	2.8e-142
AG-319-F18_42_2_310_1422_F	TIGR03297	352.6	4.7e-107	352.4	5.7e-107
AG-319-P13_1_44_46786_47913_F	TIGR03297	450.6	7.8e-137	450.4	8.8e-137
AG-325-A21_1_52_44726_45871_R	TIGR03297	500.7	4.7e-152	500.5	5.3e-152
AG-325-C18_22_2_397_1491_F	TIGR03297	345.5	7.1e-105	345.3	7.9e-105
AG-325-D14_63_2_971_2002_F	TIGR03297	352.7	4.5e-107	352.5	5.1e-107
AG-325-E02_17_6_3959_4885_F	TIGR03297	373.8	1.8e-113	373.6	2e-113
AG-325-E08_13_37_28417_29514_R	TIGR03297	358.8	6.2e-109	358.7	7e-109
AG-325-G02_4_2_978_2078_R	TIGR03297	372.8	3.5e-113	372.6	4e-113
AG-325-G18_2_8_7125_8231_F	TIGR03297	363.1	3e-110	363.0	3.4e-110
AG-325-N07_16_4_2122_3234_R	TIGR03297	356.3	3.6e-108	356.2	4e-108
AG-325-N13_20_4_3539_4651_F	TIGR03297	355.5	6.2e-108	355.3	7.1e-108
AG-333-A18_1_27_31370_32473_F	TIGR03297	367.7	1.3e-111	367.4	1.5e-111
AG-333-B15_2_11_10152_11306_R	TIGR03297	463.1	1.3e-140	462.9	1.4e-140
AG-333-B21_9_12_9580_10725_R	TIGR03297	500.7	4.7e-152	500.5	5.3e-152
AG-333-C20_4_8_9393_10493_F	TIGR03297	375.1	7e-114	374.9	8e-114
AG-333-E22_11_9_9141_10244_R	TIGR03297	350.2	2.6e-106	349.9	3.2e-106
AG-333-F04_20_5_3197_4300_R	TIGR03297	352.6	4.8e-107	352.3	5.8e-107
AG-333-I03_50_4_1980_3113_F	TIGR03297	452.9	1.6e-137	452.7	1.8e-137
AG-333-I10_1_28_30628_31719_R	TIGR03297	391.1	9.8e-119	390.9	1.1e-118
AG-333-J14_3_6_5761_6876_F	TIGR03297	365.2	6.9e-111	365.0	8.2e-111
AG-333-M03_23_9_6424_7518_R	TIGR03297	362.4	5.1e-110	362.2	5.8e-110
AG-333-M17_9_27_26560_27675_R	TIGR03297	382.0	5.7e-116	381.8	6.4e-116
AG-333-P08_10_13_14010_15113_R	TIGR03297	393.7	1.6e-119	393.5	1.8e-119
AG-337-C04_6_1_3_887_R	TIGR03297	376.2	3.2e-114	376.1	3.5e-114
AG-337-C07_21_11_8588_9685_F	TIGR03297	365.4	6.1e-111	365.3	6.9e-111
AG-337-C08_6_7_5739_6836_R	TIGR03297	384.0	1.4e-116	383.8	1.6e-116
AG-337-C13_3_16_14906_16015_R	TIGR03297	386.0	3.5e-117	385.8	3.9e-117
AG-337-C21_3_28_30491_31594_R	TIGR03297	373.9	1.6e-113	373.6	2e-113
AG-337-D23_10_9_10166_11269_R	TIGR03297	380.7	1.3e-115	380.5	1.6e-115
AG-337-E23_7_2_961_2061_R	TIGR03297	370.2	2.1e-112	370.1	2.4e-112
AG-337-F16_13_10_8477_9571_R	TIGR03297	387.3	1.3e-117	387.1	1.6e-117
AG-337-G21_1_143_137427_138539_R	TIGR03297	357.3	1.8e-108	357.1	2e-108
AG-337-I18_14_22_23024_24124_F	TIGR03297	352.4	5.7e-107	352.2	6.4e-107
AG-337-K13_11_5_3510_4622_R	TIGR03297	357.3	1.8e-108	357.1	2e-108
AG-337-K16_8_49_40834_41964_R	TIGR03297	467.6	5.5e-142	467.4	6.2e-142
AG-337-M14_6_2_470_1576_F	TIGR03297	361.6	8.9e-110	361.4	1.1e-109
AG-337-M15_1_17_16261_17409_F	TIGR03297	386.6	2.2e-117	386.5	2.4e-117
AG-337-N21_3_103_106187_107335_R	TIGR03297	445.3	3.2e-135	445.1	3.6e-135
AG-337-O16_18_9_7338_8447_R	TIGR03297	344.6	1.3e-104	344.4	1.5e-104
AG-337-O17_12_18_18292_19404_R	TIGR03297	355.5	6.2e-108	355.3	7.1e-108
AG-337-P16_11_3_1308_2432_R	TIGR03297	446.5	1.4e-135	446.3	1.5e-135
AG-343-A19_7_6_4222_5367_R	TIGR03297	405.5	4e-123	405.3	4.6e-123
AG-343-C06_38_7_6855_7991_F	TIGR03297	419.1	2.9e-127	418.9	3.3e-127
