locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
AG-670-O11_00464,AG-670-O11_17,90,1103,PEPM,PF13714,2.3e-48,AG-670-O11,+,CDS,AG-670-O11__00464_2182747
AG-670-O11_00465,AG-670-O11_17,1093,1458,,,,AG-670-O11,+,CDS,
AG-670-O11_00466,AG-670-O11_17,1537,2223,,,,AG-670-O11,+,CDS,
AG-670-O11_00467,AG-670-O11_17,2272,3393,,,,AG-670-O11,-,CDS,
AG-670-O11_00468,AG-670-O11_17,3853,5223,,,,AG-670-O11,-,CDS,
AG-670-O11_00469,AG-670-O11_17,5310,5462,,,,AG-670-O11,+,CDS,
AG-670-O11_00470,AG-670-O11_17,5576,7432,,,,AG-670-O11,+,CDS,
AG-670-O11_00471,AG-670-O11_17,7434,7826,,,,AG-670-O11,+,CDS,
AG-670-O11_00472,AG-670-O11_17,7829,7990,,,,AG-670-O11,+,CDS,
AG-670-O11_00473,AG-670-O11_17,8091,8165,,,,AG-670-O11,-,tRNA,
AG-670-O11_00474,AG-670-O11_17,8553,9692,,,,AG-670-O11,+,CDS,
AG-670-O11_00475,AG-670-O11_17,9753,10370,,,,AG-670-O11,-,CDS,
AG-670-O11_00476,AG-670-O11_17,10428,11354,,,,AG-670-O11,-,CDS,
AG-670-O11_00477,AG-670-O11_17,11383,13245,,,,AG-670-O11,-,CDS,
AG-670-O11_00478,AG-670-O11_17,13370,14461,,,,AG-670-O11,-,CDS,
AG-670-O11_00479,AG-670-O11_17,14476,14976,,,,AG-670-O11,-,CDS,
AG-670-O11_00480,AG-670-O11_17,14951,15202,,,,AG-670-O11,-,CDS,
AG-670-O11_00481,AG-670-O11_17,15820,16365,,,,AG-670-O11,-,CDS,
