genome	phnC	phnD	phnE	phnF	phnG	phnH	phnI	phnJ	phnK	phnL	phnM	phnN	phnO	phnP	phn01	phn02
AAA536-G10	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1
AAA536-K22	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1
AG-355-O21	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0
AG-390-L20	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
AG-414-O11	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0
AG-426-B08	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
AG-426-I14	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
AG-430-E20	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0
AG-447-C21	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0
AG-447-K02	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0
ATCC12639	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0
ATCC35903	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0
ATCC49260	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0
ATCC49890	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
ATCC51759	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
ATCCBAA-1503	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
ATCCBAA-691	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ATCCBAA-817	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
DSM10491	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0
DSM11391	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1
DSM14000	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
DSM14296	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0
DSM14347	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
DSM14782	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
