locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
AG-418-P13_01105,AG-418-P13_10,1,210,,,,AG-418-P13,+,CDS,
AG-418-P13_01106,AG-418-P13_10,207,1658,,,,AG-418-P13,-,CDS,
AG-418-P13_01107,AG-418-P13_10,1872,2702,,,,AG-418-P13,-,CDS,
AG-418-P13_01108,AG-418-P13_10,2888,3784,,,,AG-418-P13,+,CDS,
AG-418-P13_01109,AG-418-P13_10,3824,4990,,,,AG-418-P13,+,CDS,
AG-418-P13_01110,AG-418-P13_10,5107,6417,PEPM,TIGR02320,1.7e-125,AG-418-P13,+,CDS,AG-418-P13__01110_2182663
AG-418-P13_01111,AG-418-P13_10,6410,7555,PPDA,TIGR03297,1.5e-143,AG-418-P13,+,CDS,AG-418-P13__01111_2182663
AG-418-P13_01112,AG-418-P13_10,7556,8686,PPDH,PF00465,7.3e-71,AG-418-P13,+,CDS,AG-418-P13__01112_2182663
AG-418-P13_01113,AG-418-P13_10,8695,9987,,,,AG-418-P13,-,CDS,
AG-418-P13_01114,AG-418-P13_10,10016,10089,,,,AG-418-P13,-,tRNA,
AG-418-P13_01115,AG-418-P13_10,10343,10582,,,,AG-418-P13,+,CDS,
AG-418-P13_01116,AG-418-P13_10,10633,12051,,,,AG-418-P13,+,CDS,
AG-418-P13_01117,AG-418-P13_10,12394,13020,,,,AG-418-P13,+,CDS,
AG-418-P13_01118,AG-418-P13_10,13022,13246,,,,AG-418-P13,-,CDS,
AG-418-P13_01119,AG-418-P13_10,13266,14129,,,,AG-418-P13,-,CDS,
AG-418-P13_01120,AG-418-P13_10,14133,15032,,,,AG-418-P13,+,CDS,
AG-418-P13_01121,AG-418-P13_10,15036,17201,,,,AG-418-P13,-,CDS,
AG-418-P13_01122,AG-418-P13_10,17373,17675,,,,AG-418-P13,-,CDS,
AG-418-P13_01123,AG-418-P13_10,17737,18816,,,,AG-418-P13,-,CDS,
AG-418-P13_01124,AG-418-P13_10,18826,20103,,,,AG-418-P13,-,CDS,
AG-418-P13_01125,AG-418-P13_10,20226,21692,,,,AG-418-P13,-,CDS,
