t1	t2	DifferentPhylogeneticInfo	MatchingSplitInfoDistance	ClusteringInfoDistance
Species	PepM	0.7090529972653068	0.5721455995752478	0.644617753778227
Species	TIGR00019 - PrfA	0.2940386674243212	0.23224993169493327	0.270235341786811
Species	TIGR00006 - RsmH	0.28999576462934207	0.22907940025963588	0.27297208880119445
Species	TIGR00020 - PrfB	0.2898125724579512	0.24119754508712185	0.27759227499727585
Species	TIGR00043 - YbeY	0.28834387510101034	0.23389698152588242	0.27610597757855915
Species	TIGR00092 - YchF	0.34473269117546906	0.27633626931777094	0.3191601393113063
Species	TIGR00755 - KsgA	0.3625188603212848	0.3211939436997308	0.35294427856298793
Species	TIGR00936 - AhcY	0.45014332352357134	0.32391280968349384	0.3970463477689443
Species	PF01025 - GrpE	0.42977310400089913	0.28956061619727547	0.3505086380090705
Species	TIGR00086 - SsrA	0.3259485635139068	0.25842267504737554	0.30259255498575566
Species	TIGR00083 - RibF	0.32975833009619165	0.25898161659590774	0.30957641777007666
Species	Random	1.2809825977656522	1.2946461199123909	1.271366989081696
