AG-313-A07_87_1_3_824_F	PF12974.6	182.0	1.7e-54	181.8	2e-54
AG-313-B09_1_124_130418_131161_R	PF12974.6	76.8	2.4e-22	76.5	2.9e-22
AG-313-C04_2_39_40555_41328_F	PF12974.6	61.3	1.3e-17	61.1	1.5e-17
AG-313-C07_4_16_16183_17265_R	PF12974.6	186.3	8.9e-56	185.7	1.3e-55
AG-313-C08_13_22_20651_21337_R	PF12974.6	114.9	5.3e-34	114.7	6.5e-34
AG-313-C14_4_2_1270_2340_R	PF12974.6	76.8	2.4e-22	76.3	3.5e-22
AG-313-C17_12_16_11743_12486_F	PF12974.6	56.6	3.5e-16	56.4	4.1e-16
AG-313-C18_3_97_84218_85348_F	PF12974.6	190.9	3.4e-57	190.3	5.2e-57
AG-313-F05_42_3_947_2065_R	PF12974.6	186.1	9.9e-56	185.6	1.4e-55
AG-313-F06_4_27_24055_24768_R	PF12974.6	47.5	2e-13	47.2	2.7e-13
AG-313-F06_6_38_32798_33775_R	TIGR01098	221.3	1.7e-66	221.0	2e-66
AG-313-I13_3_31_27949_29067_R	PF12974.6	187.3	4.1e-56	186.9	5.7e-56
AG-313-J17_1_103_92692_93600_F	PF12974.6	217.8	2e-65	217.6	2.3e-65
AG-313-K22_29_2_599_1453_F	TIGR01098	174.7	2.7e-52	174.4	3.5e-52
AG-313-L14_8_38_31406_32536_F	PF12974.6	190.9	3.4e-57	190.3	5.2e-57
AG-313-L18_6_10_18433_20532_F	PF12974.6	138.4	3.7e-41	77.5	1.5e-22
AG-313-L18_6_14_23716_24786_R	PF12974.6	75.1	7.8e-22	74.6	1.1e-21
AG-313-M09_9_16_15206_16324_R	PF12974.6	186.1	9.9e-56	185.6	1.4e-55
AG-313-M16_15_18_22658_23077_R	PF12974.6	37.2	2.9e-10	37.0	3.4e-10
AG-313-O09_11_13_13186_15285_R	PF12974.6	130.1	1.2e-38	77.7	1.2e-22
AG-313-O09_11_9_9140_10210_F	PF12974.6	76.8	2.4e-22	76.3	3.5e-22
AG-319-A05_12_8_4092_4946_R	TIGR01098	178.7	1.7e-53	178.5	2e-53
AG-319-A08_6_19_22585_24705_R	PF12974.6	150.0	1.1e-44	75.3	6.9e-22
AG-319-C05_9_8_5678_6451_R	PF12974.6	58.7	7.9e-17	58.5	8.9e-17
