locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
AG-409-M05_01188,AG-409-M05_7,57,1565,,,,AG-409-M05,+,CDS,
AG-409-M05_01189,AG-409-M05_7,1567,1728,,,,AG-409-M05,+,CDS,
AG-409-M05_01190,AG-409-M05_7,1802,2971,,,,AG-409-M05,+,CDS,
AG-409-M05_01191,AG-409-M05_7,3358,3444,,,,AG-409-M05,-,tRNA,
AG-409-M05_01192,AG-409-M05_7,3624,5666,,,,AG-409-M05,+,CDS,
AG-409-M05_01193,AG-409-M05_7,5691,6071,,,,AG-409-M05,+,CDS,
AG-409-M05_01194,AG-409-M05_7,6102,7130,,,,AG-409-M05,-,CDS,
AG-409-M05_01195,AG-409-M05_7,7270,7935,,,,AG-409-M05,+,CDS,
AG-409-M05_01196,AG-409-M05_7,8030,8284,,,,AG-409-M05,+,CDS,
AG-409-M05_01197,AG-409-M05_7,8421,10043,,,,AG-409-M05,-,CDS,
AG-409-M05_01198,AG-409-M05_7,10317,11183,,,,AG-409-M05,-,CDS,
AG-409-M05_01199,AG-409-M05_7,11477,11722,,,,AG-409-M05,+,CDS,
AG-409-M05_01200,AG-409-M05_7,11795,13081,,,,AG-409-M05,-,CDS,
AG-409-M05_01201,AG-409-M05_7,13312,14412,MPNS,mpns,6.7e-49,AG-409-M05,+,CDS,AG-409-M05__01201_2183018
AG-409-M05_01202,AG-409-M05_7,14390,15727,PEPM,TIGR02320,1.4e-109,AG-409-M05,+,CDS,AG-409-M05__01202_2183018
AG-409-M05_01203,AG-409-M05_7,15861,17003,PPDA,TIGR03297,6.4e-139,AG-409-M05,+,CDS,AG-409-M05__01203_2183018
AG-409-M05_01204,AG-409-M05_7,16996,18126,PPDH,PF00465,2.8e-75,AG-409-M05,+,CDS,AG-409-M05__01204_2183018
AG-409-M05_01205,AG-409-M05_7,18670,18834,,,,AG-409-M05,+,CDS,
AG-409-M05_01206,AG-409-M05_7,18994,20049,,,,AG-409-M05,-,CDS,
AG-409-M05_01207,AG-409-M05_7,20342,20479,,,,AG-409-M05,-,CDS,
AG-409-M05_01208,AG-409-M05_7,20691,21215,,,,AG-409-M05,+,CDS,
AG-409-M05_01209,AG-409-M05_7,21399,21554,,,,AG-409-M05,+,CDS,
AG-409-M05_01210,AG-409-M05_7,21770,23365,,,,AG-409-M05,+,CDS,
AG-409-M05_01211,AG-409-M05_7,23541,24239,,,,AG-409-M05,+,CDS,
AG-409-M05_01212,AG-409-M05_7,24323,24727,,,,AG-409-M05,+,CDS,
AG-409-M05_01213,AG-409-M05_7,24773,26491,,,,AG-409-M05,+,CDS,
AG-409-M05_01214,AG-409-M05_7,26583,28283,,,,AG-409-M05,+,CDS,
AG-409-M05_01215,AG-409-M05_7,28447,29235,,,,AG-409-M05,+,CDS,
AG-409-M05_01216,AG-409-M05_7,29232,30083,,,,AG-409-M05,+,CDS,
AG-409-M05_01217,AG-409-M05_7,30192,31076,,,,AG-409-M05,+,CDS,
