genome	contig	PepM	Ppd	Pdh	MpnS	PgiL
AG-313-B10	2	1	1	1	0	0
AG-313-D18	25	1	1	1	1	0
AG-313-F20	12	1	1	1	0	0
AG-313-I17	1	1	0	1	0	0
AG-313-I18	24	1	1	1	0	0
AG-313-K22	14	1	1	1	0	0
AG-313-N22	48	1	1	0	0	0
AG-319-C06	26	1	1	1	0	0
AG-319-F10	6	1	0	0	0	0
AG-319-F18	2	1	0	0	0	0
AG-319-F18	42	0	1	0	0	0
AG-319-F23	1	1	0	0	0	0
AG-319-N07	41	1	0	0	0	0
AG-319-P13	1	1	1	1	1	0
AG-319-P20	26	1	0	1	0	0
AG-325-A21	1	1	1	1	0	1
AG-325-C07	1	1	0	0	0	1
AG-325-C18	22	0	1	0	0	0
AG-325-D14	63	1	1	0	0	0
AG-325-E02	17	0	1	0	0	0
AG-325-E08	13	1	1	0	0	1
AG-325-F08	113	1	0	0	0	0
AG-325-G02	4	1	1	1	1	0
AG-325-G18	2	1	1	1	0	0
AG-325-N07	16	1	1	1	0	0
AG-325-N13	20	1	1	1	0	0
AG-333-A18	1	1	1	1	0	0
AG-333-B15	2	1	1	0	0	1
AG-333-B21	9	1	1	1	0	0
AG-333-C20	4	1	1	1	1	0
AG-333-E22	11	1	1	0	0	0
AG-333-F04	20	1	1	0	0	0
AG-333-I03	50	0	1	1	0	0
AG-333-I10	1	1	1	1	0	0
AG-333-J09	25	1	0	1	0	0
AG-333-J14	3	1	1	0	0	0
AG-333-J17	18	1	0	0	0	0
AG-333-M03	23	1	1	1	0	0
AG-333-M17	9	1	1	1	0	1
AG-333-P08	10	1	1	1	0	0
AG-337-C04	6	1	1	0	0	0
AG-337-C07	21	0	1	0	0	0
AG-337-C08	6	1	1	0	0	0
AG-337-C13	3	1	1	1	1	0
AG-337-C21	3	1	1	1	0	0
AG-337-D23	10	1	1	1	0	0
AG-337-E23	7	1	1	1	0	1
AG-337-F16	13	1	1	1	0	0
AG-337-G21	1	0	1	0	0	1
AG-337-I18	14	1	1	1	0	0
AG-337-K13	11	1	1	1	0	1
AG-337-K16	8	1	1	1	0	0
AG-337-M06	47	1	0	0	0	0
AG-337-M14	6	0	1	1	0	0
AG-337-M15	1	1	1	0	0	1
AG-337-N21	3	1	1	0	0	1
AG-337-O17	12	1	1	1	0	1
AG-337-P16	11	1	1	0	0	0
AG-343-A19	7	1	1	0	0	0
AG-343-C06	38	1	1	0	0	0
AG-343-D03	27	1	1	1	0	0
AG-343-D04	4	1	1	0	0	0
AG-343-D05	5	1	1	1	0	0
AG-343-D15	2	1	1	1	1	1
AG-343-E17	2	1	1	1	0	0
AG-343-F19	22	1	0	0	0	0
AG-343-G20	5	1	1	0	0	0
AG-343-G21	15	1	1	0	0	0
AG-343-I11	4	1	1	0	0	0
AG-343-J05	23	1	1	0	0	0
AG-343-L08	15	1	1	0	0	0
AG-343-M19	1	1	0	1	0	0
AG-343-N18	1	0	1	1	0	0
AG-343-O11	27	1	1	1	0	0
AG-343-O21	2	1	1	0	0	0
AG-343-P19	26	1	1	0	0	0
AG-349-A01	2	1	1	1	0	0
AG-349-B03	16	1	1	0	0	1
AG-349-C13	6	1	1	0	0	0
AG-349-C14	9	1	0	0	0	0
AG-349-D19	7	1	1	0	0	1
AG-349-I11	13	1	0	0	0	0
AG-349-K17	25	1	0	0	0	0
AG-349-M13	8	1	1	0	0	0
AG-349-P23	5	1	0	0	0	1
AG-359-G16	33	1	0	0	0	0
AG-359-G17	6	1	1	1	0	0
AG-359-L11	17	0	1	0	0	0
AG-359-L11	24	1	0	0	0	0
AG-360-A21	47	1	0	0	0	0
AG-360-B07	2	1	1	1	0	0
AG-360-D04	12	1	0	0	1	0
AG-360-G20	1	0	1	1	0	0
AG-360-N07	24	1	1	0	0	0
AG-361-G19	6	1	1	1	1	0
AG-362-B06	3	1	1	1	0	0
AG-362-L22	4	1	1	0	0	0
AG-362-O23	11	1	0	1	0	0
AG-365-A08	35	1	1	1	0	0
AG-365-C10	16	1	1	0	0	0
AG-365-C20	19	1	1	1	0	0
AG-365-C23	10	1	1	0	0	0
AG-365-D07	4	1	1	0	0	0
AG-365-D18	4	1	1	0	0	1
AG-365-D20	25	1	1	0	0	0
AG-365-F14	9	1	1	0	0	0
AG-365-F20	15	1	1	1	2	0
AG-365-I10	20	1	1	1	0	0
AG-365-J16	4	1	0	1	0	0
AG-365-J21	10	1	0	0	0	1
AG-365-J21	37	0	1	0	1	0
AG-365-K15	2	1	1	1	0	0
AG-365-L08	3	1	1	0	0	0
AG-365-L13	12	1	1	0	0	0
AG-365-M05	5	1	1	0	0	0
AG-365-M19	32	1	1	0	0	0
AG-365-N18	8	1	1	0	0	0
AG-365-P19	12	1	0	0	0	0
AG-390-A20	12	1	1	0	0	0
AG-390-C19	1	1	1	0	0	0
AG-390-C22	2	1	1	1	0	0
AG-390-E21	4	1	1	0	0	0
AG-390-G10	1	1	1	1	0	1
AG-390-I17	6	1	1	0	0	0
AG-390-J07	1	1	1	1	1	0
AG-390-M02	9	1	1	1	1	0
AG-390-M15	2	1	1	1	0	0
AG-390-N06	4	1	1	0	0	0
AG-390-N18	1	1	0	1	0	1
AG-390-N18	43	0	1	0	0	0
AG-390-P05	6	1	0	0	1	0
AG-390-P11	38	1	1	1	0	0
AG-390-P19	20	1	0	0	0	0
AG-404-A15	17	1	0	0	0	0
AG-404-A15	41	0	1	0	0	0
AG-404-G08	21	0	1	0	0	0
AG-404-P20	10	1	1	1	0	1
AG-410-D23	46	1	0	0	0	0
AG-410-F03	40	0	1	0	0	0
AG-410-K13	1	1	0	0	0	0
AG-410-L19	9	1	1	1	0	0
AG-414-B07	12	1	0	0	0	0
AG-414-B09	9	1	0	1	0	0
AG-414-D07	3	1	1	1	2	0
AG-414-E19	9	1	1	1	0	0
AG-414-I06	19	0	1	0	0	0
AG-414-I06	32	1	0	0	0	0
AG-414-I15	2	1	1	0	0	0
AG-414-K14	3	1	0	0	0	0
AG-422-A05	10	1	1	1	0	0
AG-422-A22	14	1	0	0	0	0
AG-422-B06	15	1	1	1	1	0
AG-422-C15	12	1	1	1	0	1
AG-422-C20	11	1	1	1	0	0
AG-422-C23	3	1	1	1	0	0
AG-422-D13	34	1	0	0	1	0
AG-422-G03	9	1	1	1	1	0
AG-422-I14	2	1	1	1	0	0
AG-422-J03	11	1	1	0	0	1
AG-422-J20	16	1	0	0	0	0
AG-422-J20	19	0	1	0	0	0
AG-422-K15	20	1	1	0	0	0
AG-422-M03	73	1	1	0	0	0
AG-422-N22	6	1	1	1	0	0
AG-426-A03	32	0	1	0	0	0
AG-426-B13	1	1	0	0	0	0
AG-426-C04	19	1	1	1	0	0
AG-426-D22	51	0	1	0	0	0
AG-426-E05	3	1	1	0	0	0
AG-426-E06	16	1	1	1	0	0
AG-426-F14	3	1	1	1	0	0
AG-426-G09	27	1	1	1	0	0
AG-426-I05	12	1	1	0	0	0
AG-426-N22	26	1	0	0	0	0
AG-426-O10	23	1	1	0	0	0
AG-426-P09	3	1	1	0	0	0
AG-430-B09	2	1	1	1	1	0
AG-430-F08	32	1	1	0	0	0
AG-430-I06	14	1	0	0	0	0
AG-430-I15	1	1	1	2	1	0
AG-430-J04	1	1	1	0	0	1
AG-430-L02	1	1	1	1	0	1
AG-430-N16	8	1	1	1	0	0
AG-430-O05	2	1	1	0	0	0
AG-430-O09	45	1	0	0	0	0
AG-430-P01	1	1	1	0	0	0
AG-430-P06	3	1	1	0	0	0
AG-435-A07	1	1	1	1	0	0
AG-435-A22	12	1	1	0	0	0
AG-435-B08	1	1	1	1	0	2
AG-435-C13	15	0	1	1	0	0
AG-435-E11	38	1	1	1	0	0
AG-435-E13	6	1	1	1	1	0
AG-435-G10	5	1	1	1	0	0
AG-435-G17	10	0	1	1	0	0
AG-435-I17	10	1	1	0	0	0
AG-435-J14	32	1	0	1	0	0
AG-435-M21	19	1	1	1	0	0
AG-439-B12	4	1	1	1	0	0
AG-439-C02	11	1	1	1	1	0
AG-439-C20	6	1	1	1	0	0
AG-439-C22	15	1	1	2	0	0
AG-439-D14	16	1	1	0	0	0
AG-439-F03	3	1	1	1	0	0
AG-439-I07	1	1	1	0	0	0
AG-439-I10	55	0	1	0	0	0
AG-439-J08	49	1	0	0	0	0
AG-439-J22	6	1	1	0	0	0
AG-439-K19	3	0	1	1	0	0
AG-439-L02	4	1	1	1	0	1
AG-439-L15	3	1	0	0	0	0
AG-439-M12	2	1	0	1	0	0
AG-439-O10	5	1	1	0	0	0
AG-439-O14	1	1	1	0	0	1
AG-439-O23	16	1	1	1	0	2
AG-439-P17	1	1	1	1	1	0
AG-439-P20	2	1	1	1	0	0
AG-447-A20	42	0	1	0	0	0
AG-447-B19	8	1	1	1	0	0
AG-447-B20	7	1	0	0	0	0
AG-447-D02	3	1	1	0	0	2
AG-447-D03	1	1	1	0	0	0
AG-447-G18	19	1	0	0	0	0
AG-447-J03	3	1	1	1	0	0
AG-447-K10	2	1	1	1	0	0
AG-447-L20	43	1	0	0	0	0
AG-447-M20	28	1	0	0	0	0
AG-447-N18	2	1	1	0	0	1
AG-447-O06	12	1	1	0	0	0
AG-447-O13	9	1	1	0	0	0
AG-447-O22	2	1	1	1	0	0
AG-447-P02	11	1	1	0	0	0
AG-447-P18	4	1	1	1	0	0
AG-453-B18	12	1	1	0	0	0
AG-453-C21	29	1	1	1	0	0
AG-453-C23	11	1	1	1	0	0
AG-453-E14	2	1	1	0	0	0
AG-453-F05	3	1	1	0	0	0
AG-453-G11	9	1	1	1	1	0
AG-453-K06	12	1	1	0	0	0
AG-453-K20	3	1	1	1	0	0
AG-453-L09	2	1	1	1	0	0
AG-453-O10	3	1	1	1	0	0
AG-453-P03	31	1	0	0	0	0
AG-453-P15	4	1	1	1	1	0
AG-457-C05	30	1	1	0	0	0
AG-457-C14	28	1	1	0	0	0
AG-457-D13	13	1	1	0	0	0
AG-457-F09	5	1	1	1	0	0
AG-457-G18	2	1	1	0	0	0
AG-457-I17	1	1	1	1	0	1
