genome	phnC	phnD-like	phnE	ptxD	phyH	phnZ
AG-355-M18	1	1	1	1	1	1
AG-355-N22	1	1	1	1	1	1
AG-355-P11	0	1	1	1	1	1
AG-363-B18	1	1	1	1	1	1
AG-388-E21	1	1	1	1	1	1
AG-388-I18	1	1	1	1	1	1
AG-412-C21	1	1	1	1	1	1
AG-412-F02	1	1	1	1	1	1
AG-412-L10	1	1	1	1	1	0
AG-424-P23	1	1	1	1	1	1
AG-670-D07	1	1	1	1	1	0
AG-670-G20	1	1	1	1	1	0
AG-670-M15	1	1	1	1	1	1
B241_528O2	1	1	1	1	1	1
B241_528P14	1	1	1	1	1	1
B243_498I20	1	1	1	1	1	1
DSM16503	1	1	1	1	1	0
DSM23277	1	0	1	1	0	1
KORDI-52	1	1	1	1	1	0
MIT9301	1	1	1	1	1	1
MIT9302	1	1	1	1	1	1
MIT9303	1	1	1	1	1	0
RS01	1	1	1	1	1	1
RS04	1	1	1	1	1	1
RS50	1	1	1	1	1	1
specI-1121280	1	0	1	1	0	1
TMED223	1	1	1	1	1	0
UBA2505	1	1	1	1	1	0
