locus_id,scaffold,start,end,gene_symbol,protein_domain,evalue,genome,strand,ft_type,kaijudb_id
RS40_00095,RS40_1,88490,89143,,,,RS40,-,CDS,
RS40_00096,RS40_1,89372,90118,,,,RS40,-,CDS,
RS40_00097,RS40_1,90118,91572,,,,RS40,-,CDS,
RS40_00098,RS40_1,91597,92931,,,,RS40,-,CDS,
RS40_00099,RS40_1,92928,93539,,,,RS40,-,CDS,
RS40_00100,RS40_1,93586,94686,,,,RS40,-,CDS,
RS40_00101,RS40_1,94829,96439,,,,RS40,+,CDS,
RS40_00102,RS40_1,96440,97021,,,,RS40,+,CDS,
RS40_00103,RS40_1,97021,97779,,,,RS40,+,CDS,
RS40_00104,RS40_1,97779,98567,,,,RS40,+,CDS,
RS40_00105,RS40_1,98577,99350,,,,RS40,+,CDS,
RS40_00106,RS40_1,99350,100501,,,,RS40,+,CDS,
RS40_00107,RS40_1,100498,101061,,,,RS40,-,CDS,
RS40_00108,RS40_1,101075,101401,,,,RS40,-,CDS,
RS40_00109,RS40_1,101479,101796,,,,RS40,-,CDS,
RS40_00110,RS40_1,101857,102426,,,,RS40,-,CDS,
RS40_00111,RS40_1,102478,103470,,,,RS40,+,CDS,
RS40_00112,RS40_1,103472,104059,,,,RS40,+,CDS,
RS40_00113,RS40_1,104072,104947,PEPM,PF13714,5.3e-52,RS40,-,CDS,RS40__00113_2182711
RS40_00114,RS40_1,104950,106221,,,,RS40,-,CDS,
RS40_00115,RS40_1,106218,106694,,,,RS40,-,CDS,
RS40_00116,RS40_1,106735,107724,,,,RS40,-,CDS,
RS40_00117,RS40_1,107797,108699,,,,RS40,+,CDS,
RS40_00118,RS40_1,108825,110225,,,,RS40,+,CDS,
RS40_00119,RS40_1,110222,110335,,,,RS40,-,CDS,
RS40_00120,RS40_1,110335,110607,,,,RS40,-,CDS,
RS40_00121,RS40_1,110631,111119,,,,RS40,-,CDS,
RS40_00122,RS40_1,111187,112332,,,,RS40,-,CDS,
RS40_00123,RS40_1,112534,113838,,,,RS40,-,CDS,
RS40_00124,RS40_1,113904,115688,,,,RS40,-,CDS,
RS40_00125,RS40_1,115781,116068,,,,RS40,+,CDS,
RS40_00126,RS40_1,116070,117236,,,,RS40,+,CDS,
RS40_00127,RS40_1,117250,118335,,,,RS40,+,CDS,
RS40_00128,RS40_1,118332,119420,,,,RS40,-,CDS,
RS40_00129,RS40_1,119663,120013,,,,RS40,-,CDS,
RS40_00832,RS40_1,769430,770731,,,,RS40,+,CDS,
RS40_00833,RS40_1,770770,771198,,,,RS40,+,CDS,
RS40_00834,RS40_1,771195,771923,,,,RS40,-,CDS,
RS40_00835,RS40_1,771989,773203,,,,RS40,+,CDS,
RS40_00836,RS40_1,773205,774311,,,,RS40,+,CDS,
RS40_00837,RS40_1,774311,775384,,,,RS40,+,CDS,
RS40_00838,RS40_1,775384,776229,,,,RS40,+,CDS,
RS40_00839,RS40_1,776229,776633,,,,RS40,+,CDS,
RS40_00840,RS40_1,776630,777928,,,,RS40,-,CDS,
RS40_00841,RS40_1,778215,779686,,,,RS40,+,rRNA,
RS40_00842,RS40_1,779790,779866,,,,RS40,+,tRNA,
RS40_00843,RS40_1,779876,779951,,,,RS40,+,tRNA,
RS40_00844,RS40_1,780107,782854,,,,RS40,+,rRNA,
RS40_00845,RS40_1,782955,784070,PPDH,PF00465,8.8e-61,RS40,-,CDS,RS40__00845_2182711
RS40_00846,RS40_1,784071,785171,PPDA,TIGR03297,7.5e-113,RS40,-,CDS,RS40__00846_2182711
RS40_00847,RS40_1,785164,786465,PEPM,TIGR02320,4.9e-111,RS40,-,CDS,RS40__00847_2182711
RS40_00848,RS40_1,786532,787053,,,,RS40,-,CDS,
RS40_00849,RS40_1,787421,789403,,,,RS40,+,CDS,
RS40_00850,RS40_1,789618,790622,,,,RS40,+,CDS,
RS40_00851,RS40_1,790609,791769,,,,RS40,+,CDS,
RS40_00852,RS40_1,791770,792663,,,,RS40,+,CDS,
RS40_00853,RS40_1,792641,793657,,,,RS40,+,CDS,
RS40_00854,RS40_1,793657,794823,,,,RS40,+,CDS,
RS40_00855,RS40_1,794879,795931,,,,RS40,+,CDS,
RS40_00856,RS40_1,795954,796952,,,,RS40,+,CDS,
RS40_00857,RS40_1,796959,797120,,,,RS40,-,CDS,
RS40_00858,RS40_1,797146,797766,,,,RS40,+,CDS,
RS40_00859,RS40_1,797997,799832,,,,RS40,-,CDS,
RS40_00860,RS40_1,799833,799982,,,,RS40,-,CDS,
RS40_00861,RS40_1,799984,800367,,,,RS40,-,CDS,
RS40_00862,RS40_1,800520,801962,,,,RS40,+,CDS,
