enzyme	seqid	genome	contig	gene_no	start	end	strand	pfam	dbit	devalue	fullbit	fullevalue
ptxD	AG-453-E13_1_13_12049_13077_F	AG-453-E13	1	13	12049	13077	F	PF02826.18	145.7	1.8e-42	145.1	2.7e-42
phyH	AG-899-O16_1_16_14930_15919_F	AG-899-O16	1	16	14930	15919	F	PF05721.12	60.9	1.5e-16	60.3	2.2e-16
phyH	AG-453-E13_1_17_16054_16824_F	AG-453-E13	1	17	16054	16824	F	PF05721.12	108.8	3.2e-31	108.6	3.8e-31
ptxD	AG-899-O16_1_17_15934_16890_F	AG-899-O16	1	17	15934	16890	F	PF02826.18	177.1	4.2e-52	176.3	7.1e-52
phnZ	AG-453-E13_1_19_18388_18924_R	AG-453-E13	1	19	18388	18924	R	PF01966.21	27.1	3.7e-6	26.3	6.4e-6
phnC	AG-899-O16_1_95_90581_91405_F	AG-899-O16	1	95	90581	91405	F	TIGR02315	320.6	9.2e-97	320.4	1.1e-96
phnD-like	AG-899-O16_1_96_91472_92422_F	AG-899-O16	1	96	91472	92422	F	TIGR01098	212.2	1e-63	211.6	1.5e-63
phnE	AG-899-O16_1_97_92489_93343_F	AG-899-O16	1	97	92489	93343	F	TIGR01097	235.4	9.2e-71	235.2	1.1e-70
phnE	AG-899-O16_1_98_93340_94740_F	AG-899-O16	1	98	93340	94740	F	TIGR01097	230.6	2.7e-69	230	4.3e-69
phnZ	AG-899-O16_1_101_96455_97006_R	AG-899-O16	1	101	96455	97006	R	PF01966.21	26.5	5.5e-6	25.8	9.1e-6
phnZ	AG-422-G07_2_32_24917_25522_R	AG-422-G07	2	32	24917	25522	R	PF01966.21	29.4	7.2e-7	28.9	9.9e-7
phyH	AG-422-G07_2_33_25519_26256_R	AG-422-G07	2	33	25519	26256	R	PF05721.12	78.2	7.4e-22	77.8	9.5e-22
ptxD	AG-422-G07_2_35_26735_27691_R	AG-422-G07	2	35	26735	27691	R	PF02826.18	153.8	6e-45	153	1e-44
phnE	AG-422-G07_2_36_27702_28499_R	AG-422-G07	2	36	27702	28499	R	TIGR01097	277.1	1.7e-83	276.9	2e-83
phnD-like	AG-422-G07_2_37_28537_29415_R	AG-422-G07	2	37	28537	29415	R	TIGR01098	229.6	4.8e-69	229.4	5.5e-69
phnC	AG-422-G07_2_38_29448_30233_R	AG-422-G07	2	38	29448	30233	R	TIGR02315	305.4	4.1e-92	305.2	4.6e-92
phnZ	AG-912-N22_3_20_19573_20178_R	AG-912-N22	3	20	19573	20178	R	PF01966.21	28.3	1.5e-6	27.9	2.1e-6
phyH	AG-912-N22_3_21_20175_20900_R	AG-912-N22	3	21	20175	20900	R	PF05721.12	76.7	2.1e-21	76.4	2.7e-21
ptxD	AG-912-N22_3_23_21391_22347_R	AG-912-N22	3	23	21391	22347	R	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phnE	AG-912-N22_3_24_22358_23155_R	AG-912-N22	3	24	22358	23155	R	TIGR01097	277.1	1.8e-83	276.8	2.2e-83
phnD-like	AG-912-N22_3_25_23192_24070_R	AG-912-N22	3	25	23192	24070	R	TIGR01098	227.3	2.5e-68	227.1	2.8e-68
phnC	AG-912-N22_3_26_24103_24888_R	AG-912-N22	3	26	24103	24888	R	TIGR02315	302.5	3.1e-91	302.3	3.5e-91
phnE	AG-912-N22_3_27_25115_25930_R	AG-912-N22	3	27	25115	25930	R	TIGR01097	280.5	1.6e-84	280.3	1.9e-84
phnE	AG-912-N22_3_28_25930_26727_R	AG-912-N22	3	28	25930	26727	R	TIGR01097	266.8	2.5e-80	266.6	2.8e-80
phnC	AG-912-N22_3_29_26739_27506_R	AG-912-N22	3	29	26739	27506	R	TIGR02315	333.4	1.1e-100	333.2	1.3e-100
phnD-like	AG-912-N22_3_30_27538_28536_R	AG-912-N22	3	30	27538	28536	R	TIGR01098	219.8	5e-66	219.4	6.4e-66
phnZ	AG-909-L16_3_44_23349_23954_R	AG-909-L16	3	44	23349	23954	R	PF01966.21	28.3	1.5e-6	27.9	2.1e-6
phyH	AG-909-L16_3_45_23951_24676_R	AG-909-L16	3	45	23951	24676	R	PF05721.12	76.7	2.1e-21	76.4	2.7e-21
ptxD	AG-909-L16_3_47_25167_26123_R	AG-909-L16	3	47	25167	26123	R	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phnE	AG-909-L16_3_48_26134_26931_R	AG-909-L16	3	48	26134	26931	R	TIGR01097	277.2	1.6e-83	277	1.9e-83
phnD-like	AG-909-L16_3_49_26968_27846_R	AG-909-L16	3	49	26968	27846	R	TIGR01098	228.1	1.4e-68	228	1.6e-68
phnC	AG-909-L16_3_50_27879_28664_R	AG-909-L16	3	50	27879	28664	R	TIGR02315	302.5	3.1e-91	302.3	3.5e-91
phnE	AG-909-L16_3_51_28890_29705_R	AG-909-L16	3	51	28890	29705	R	TIGR01097	280	2.3e-84	279.7	2.8e-84
phnE	AG-909-L16_3_52_29705_30502_R	AG-909-L16	3	52	29705	30502	R	TIGR01097	265.9	4.5e-80	265.7	5.2e-80
phnC	AG-909-L16_3_53_30514_31281_R	AG-909-L16	3	53	30514	31281	R	TIGR02315	330.5	8.4e-100	330.3	9.5e-100
phnD-like	AG-909-L16_3_54_31313_32311_R	AG-909-L16	3	54	31313	32311	R	TIGR01098	219.9	4.4e-66	219.5	5.7e-66
ptxD	AG-464-P04_4_2_1199_2227_F	AG-464-P04	4	2	1199	2227	F	PF02826.18	146.2	1.2e-42	145.6	1.9e-42
phyH	AG-464-P04_4_7_6569_7339_F	AG-464-P04	4	7	6569	7339	F	PF05721.12	105.3	3.7e-30	105.1	4.4e-30
phnZ	AG-464-P04_4_9_8946_9482_R	AG-464-P04	4	9	8946	9482	R	PF01966.21	30.2	4e-7	29.6	6.2e-7
phnZ	AG-430-K16_4_13_5903_6508_R	AG-430-K16	4	13	5903	6508	R	PF01966.21	28.3	1.5e-6	27.9	2.1e-6
phyH	AG-430-K16_4_14_6505_7230_R	AG-430-K16	4	14	6505	7230	R	PF05721.12	76.7	2.1e-21	76.4	2.7e-21
phnZ	AG-464-O08_4_16_14214_14750_F	AG-464-O08	4	16	14214	14750	F	PF01966.21	32.1	1e-7	31.6	1.4e-7
ptxD	AG-430-K16_4_16_7721_8677_R	AG-430-K16	4	16	7721	8677	R	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
