AG-313-A07_30_27_27384_28241_R	PF13714.5	161.8	7.6e-48	161.4	9.7e-48
AG-313-A07_39_11_14736_15614_R	PF13714.5	132.3	7.7e-39	131.9	1e-38
AG-313-B10_2_6_5871_7178_F	TIGR02320	359.4	4e-108	358.8	5.9e-108
AG-313-D16_1_39_40079_41380_F	TIGR02320	341.1	1.5e-102	339.0	6.4e-102
AG-313-D18_25_3_2079_3377_R	TIGR02320	362.6	4.1e-109	362.2	5.4e-109
AG-313-D21_13_19_17323_18642_F	PF13714.5	163.1	3e-48	162.8	3.7e-48
AG-313-F20_12_12_8770_10074_R	TIGR02320	367.3	1.5e-110	362.5	4.5e-109
AG-313-I17_1_1_3_947_R	PF13714.5	118.7	1.1e-34	118.4	1.4e-34
AG-313-I18_24_3_1969_3267_R	TIGR02320	348.9	6.2e-105	348.6	7.7e-105
AG-313-J08_1_20_15148_16029_R	PF13714.5	166.1	3.6e-49	165.9	4.2e-49
AG-313-K22_14_3_2366_3664_F	TIGR02320	374.1	1.3e-112	373.7	1.7e-112
AG-313-N22_48_5_4415_5146_R	TIGR02320	340.7	2e-102	340.5	2.2e-102
AG-319-C06_26_4_2714_4015_F	TIGR02320	410.7	9.1e-124	410.4	1.1e-123
AG-319-F10_6_12_9323_10630_F	TIGR02320	439.7	1.3e-132	439.4	1.7e-132
AG-319-F18_2_100_96877_98163_F	TIGR02320	358.6	6.8e-108	358.3	8.6e-108
AG-319-F23_1_72_57344_58240_R	PF13714.5	225.9	2e-67	225.7	2.3e-67
AG-319-K02_18_5_3643_4872_R	PF13714.5	76.1	1.2e-21	75.3	2e-21
AG-319-N07_41_10_8371_9105_F	PF13714.5	176.0	3.4e-52	175.9	3.8e-52
AG-319-P13_1_43_45472_46782_F	TIGR02320	395.3	4.7e-119	394.7	6.8e-119
AG-319-P20_26_6_5058_6326_R	TIGR02320	397.5	9.9e-120	397.2	1.2e-119
AG-325-A21_1_51_43432_44739_R	TIGR02320	423.8	9.4e-128	423.3	1.3e-127
AG-325-A21_41_5_3096_3569_F	PF13714.5	83.0	9e-24	82.7	1.1e-23
AG-325-C02_4_25_13087_13962_F	PF13714.5	170.6	1.6e-50	170.4	1.8e-50
AG-325-C07_1_88_83126_84430_R	TIGR02320	398.7	4.1e-120	398.1	6.2e-120
AG-325-C17_34_5_3536_4438_R	PF13714.5	183.5	1.7e-54	183.3	2e-54
AG-325-D14_63_1_1_978_F	TIGR02320	367.6	1.2e-110	367.4	1.4e-110
AG-325-D16_3_86_73042_74346_R	PF13714.5	112.7	7.7e-33	112.2	1.1e-32
AG-325-E08_13_38_29604_30923_F	TIGR02320	370.6	1.5e-111	370.3	1.9e-111
AG-325-E11_22_4_2070_2945_R	PF13714.5	172.5	4e-51	172.3	4.7e-51
AG-325-F08_113_1_2_1378_F	TIGR02320	402.2	3.7e-121	401.8	4.7e-121
AG-325-F15_32_4_2266_3141_R	PF13714.5	172.1	5.2e-51	171.9	6.1e-51
AG-325-F22_44_12_10743_11429_F	PF13714.5	150.2	2.7e-44	149.9	3.2e-44
AG-325-G02_4_3_2071_3435_R	TIGR02320	365.8	4.4e-110	364.2	1.4e-109
AG-325-G18_2_7_5817_7118_F	TIGR02320	357.2	1.8e-107	356.8	2.5e-107
AG-325-I13_14_7_4563_5438_R	PF13714.5	169.7	3e-50	169.5	3.4e-50
AG-325-I21_5_43_45208_46101_R	PF13714.5	170.0	2.3e-50	169.8	2.6e-50
AG-325-K04_3_7_3696_4571_R	PF13714.5	170.5	1.6e-50	170.3	1.9e-50
AG-325-K19_7_5_4420_5262_F	PF13714.5	160.0	2.7e-47	159.8	3.1e-47
AG-325-N07_16_6_3958_5307_F	TIGR02320	351.2	1.3e-105	350.5	2e-105
AG-325-N13_20_3_2256_3539_F	TIGR02320	384.4	9.5e-116	384.1	1.2e-115
AG-333-A04_4_31_24085_24960_F	PF13714.5	174.5	9.6e-52	174.3	1.1e-51
AG-333-A18_1_26_30071_31366_F	TIGR02320	349.2	5e-105	347.6	1.5e-104
AG-333-B15_2_14_13596_14894_R	TIGR02320	405.5	3.6e-122	405.1	4.8e-122
AG-333-B21_9_11_8286_9563_R	TIGR02320	423.9	8.8e-128	423.4	1.2e-127
AG-333-C17_8_20_19428_20303_R	PF13714.5	172.5	3.9e-51	172.3	4.6e-51
AG-333-C20_4_7_8093_9400_F	TIGR02320	362.3	5e-109	362.0	6.2e-109
